"id","y_2020"
2,1505
3,6188
4,305
5,157
6,833
7,354
8,1325
9,449
10,1745
11,1272
12,1494
13,2319
14,2731
15,725
16,3010
17,1597
18,1893
19,1832
20,1084
21,1417
22,594
23,474
24,831
25,1287
26,1116
27,1589
28,341
29,462
30,1169
31,802
32,153
33,724
34,1110
35,974
36,1097
37,1086
38,858
39,1400
40,1997
41,680
42,1271
43,370
44,553
45,2472
46,942
47,497
48,657
49,802
50,1107
51,1187
52,994
53,1286
54,831
55,792
56,460
57,671
58,741
59,1544
60,1587
61,335
62,1006
64,2292
65,1131
66,1528
67,741
68,1210
69,443
70,506
71,2400
72,1841
73,1443
74,521
75,860
76,1436
77,2909
78,1315
79,965
80,1136
81,563
82,1984
83,449
84,209
85,405
86,1067
87,408
88,328
89,610
90,938
91,1232
92,1704
93,783
94,564
95,976
96,4773
97,2217
98,1315
99,583
100,813
101,709
102,568
103,670
105,893
106,818
107,1074
108,798
109,862
110,967
111,2266
112,685
113,1886
114,396
115,1978
116,1999
117,1920
118,389
119,621
120,592
121,1424
122,0
123,671
124,665
125,1237
126,762
127,1025
128,1095
129,1320
130,683
131,971
132,380
133,513
134,663
135,610
136,732
137,588
138,266
139,619
140,1214
141,300
142,1507
143,598
144,1357
145,964
146,896
147,1125
148,898
149,482
150,582
151,1467
152,297
153,1782
154,1161
155,1667
156,2455
157,388
158,1330
159,672
160,1040
161,1103
162,855
163,686
164,2132
165,1439
166,412
167,258
168,705
169,1172
170,549
171,453
172,1479
173,405
174,933
175,928
176,1398
177,898
178,2145
179,660
180,709
181,1157
182,251
183,611
184,778
185,1641
186,1261
187,563
188,888
189,775
190,612
191,1283
192,1593
193,402
194,1360
195,255
196,764
197,1291
198,328
199,1551
200,405
201,1022
202,973
203,816
204,987
205,326
206,679
207,1862
208,603
209,1667
210,1204
211,1251
212,635
213,518
215,254
216,335
217,593
218,1579
219,1133
220,682
221,1458
222,605
223,928
224,1479
225,574
226,401
227,1104
228,397
229,1664
230,1699
231,922
232,1903
233,1267
234,1426
235,948
236,418
237,2068
238,976
240,1044
241,730
242,810
243,20
244,849
245,851
246,891
247,337
248,1249
249,1126
250,302
251,784
252,488
253,821
254,609
255,1165
256,1619
257,1381
258,2777
259,1285
260,857
261,1281
262,1222
263,989
264,867
265,443
266,1319
267,2969
268,1017
269,1286
270,803
271,689
272,1127
273,1313
274,592
275,940
276,939
277,952
278,970
279,732
280,939
281,361
282,492
283,1199
284,518
285,0
286,281
287,1611
288,1053
289,2115
290,45
291,1083
292,335
293,361
294,306
295,472
296,948
297,135
298,779
299,1596
300,335
301,1414
302,1117
303,713
304,363
305,480
306,143
307,2110
308,452
309,931
310,1115
311,288
312,487
313,978
314,870
315,1467
316,1763
317,263
318,970
319,1758
320,598
321,690
322,606
323,1233
324,869
325,1289
326,368
327,667
328,1140
329,989
330,1348
331,573
332,1018
333,1307
334,514
335,1260
336,2522
337,1186
338,1317
339,1650
343,1084
344,994
345,615
346,1326
347,389
348,1435
349,608
350,910
351,551
352,889
353,1030
354,1361
355,1529
356,1944
357,1241
358,1770
359,703
360,2203
361,751
362,1238
363,1048
364,946
365,1101
366,353
367,3402
368,1642
369,244
370,1072
371,2575
372,5245
373,1098
374,638
375,1060
376,2021
377,3669
378,2737
379,1229
380,2623
381,2248
382,1235
383,2506
385,1902
386,832
387,1172
388,1387
389,4336
390,715
391,1017
392,4136
393,3382
394,1277
395,1324
396,1004
397,963
398,404
399,1029
400,1521
401,1465
402,646
403,1096
404,707
405,1309
406,1046
407,709
408,1776
409,1109
410,490
411,513
412,135
413,1491
416,795
417,1128
418,1396
419,1241
420,1130
421,956
422,1318
423,1425
424,628
425,417
426,1497
428,819
430,1188
431,922
432,1312
433,384
434,1728
435,222
436,772
437,1562
438,759
442,936
443,477
444,1039
445,1316
446,787
447,1490
448,1774
449,726
450,1530
451,1569
452,544
453,946
454,875
455,798
456,285
457,482
458,710
459,1427
460,1872
462,1214
463,824
464,1648
466,871
467,1075
468,557
469,771
470,563
471,1203
472,493
473,960
474,901
475,589
476,9660
