"id","y_2011","y_2013","y_2015","y_2016","y_2017","y_2018","y_2021","y_2022"
2,4.1123,4.1123,4.1123,4.1056,4.1056,4.1056,4.1056,4.1056
3,11.5588,11.5588,11.5588,11.559,11.559,11.559,11.559,11.559
4,3.2925,3.2925,3.2925,3.2924,3.2924,3.2924,3.2924,3.2924
5,1.6714,1.6714,1.6714,1.6714,1.6714,1.6714,1.6714,1.6714
6,4.0323,4.0323,4.0323,4.0322,4.0322,4.0322,4.0322,4.0322
7,5.4791,5.4791,5.4791,5.479,5.479,5.479,5.479,5.479
8,5.9654,5.9654,5.9654,5.9653,5.9653,5.9653,5.9653,5.9653
9,0.9356,0.9356,0.9356,0.9356,0.9356,0.9356,0.9356,0.9356
10,5.5126,5.5126,5.5126,5.5125,5.5125,5.5125,5.5125,5.5125
11,5.101,5.101,5.101,5.1009,5.1009,5.1009,5.1009,5.1009
12,1.5884,1.5884,1.5884,1.5884,1.5884,1.5884,1.5884,1.5884
13,4.5742,4.5742,4.5742,4.5741,4.5741,4.5741,4.5741,4.5741
14,4.3616,4.3616,4.3616,4.3615,4.3615,4.3615,4.3615,4.3615
15,6.9027,6.9027,6.9027,6.9025,6.9025,6.9025,6.9025,6.9025
16,7.2532,7.2532,7.2532,7.2397,7.2397,7.2397,7.2397,7.2397
17,4.5356,4.5356,4.5356,4.5356,4.5356,4.5356,4.5356,4.5356
18,6.1518,6.1518,6.1518,6.1517,6.1517,6.1517,6.1517,6.1517
19,8.3804,8.3804,8.3804,8.3802,8.3802,8.3802,8.3802,8.3802
20,3.9922,3.9922,3.9922,3.9922,3.9922,3.9922,3.9922,3.9922
21,9.1234,9.1234,9.1234,9.1232,9.1232,9.1232,9.1232,9.1232
22,3.1426,3.1426,3.1426,3.1425,3.1425,3.1425,3.1425,3.1425
23,2.8117,2.8117,2.8117,2.8116,2.8116,2.8116,2.8116,2.8116
24,1.8025,1.8025,1.8025,1.8008,1.8008,1.8008,1.8008,1.8008
25,6.5302,6.5302,6.5302,6.5301,6.5301,6.5301,6.5301,6.5301
26,11.2816,11.2816,11.2816,11.285,11.285,11.285,11.285,11.285
27,3.2083,3.2083,3.2083,3.2082,3.2082,3.2082,3.2082,3.2082
28,1.9404,1.9404,1.9404,1.9403,1.9403,1.9403,1.9403,1.9403
29,4.0831,4.0831,4.0831,4.083,4.083,4.083,4.083,4.083
30,4.7684,4.7684,4.7684,4.7716,4.7716,4.7716,4.7716,4.7716
31,3.8471,3.8471,3.8471,3.8471,3.8471,3.8471,3.8471,3.8471
32,0.8683,0.8683,0.8683,0.8683,0.8683,0.8683,0.8683,0.8683
33,2.5909,2.5909,2.5909,2.5908,2.5908,2.5908,2.5908,2.5908
34,9.2805,9.2805,9.2805,9.282,9.282,9.282,9.282,9.282
35,22.7934,22.7934,22.7934,22.793,22.793,22.793,22.793,22.793
36,5.9365,5.9365,5.9365,5.9364,5.9364,5.9364,5.9364,5.9364
37,2.4322,2.4322,2.4322,2.4322,2.4322,2.4322,2.4322,2.4322
38,18.8714,18.8714,18.8714,18.7499,18.7499,18.7499,18.7499,18.7499
39,6.6882,6.6882,6.6882,6.688,6.688,6.688,6.688,6.688
40,3.4788,3.4788,3.4788,3.4787,3.4787,3.4787,3.4787,3.4787
41,3.1315,3.1315,3.1315,3.1315,3.1315,3.1315,3.1315,3.1315
42,3.5228,3.5228,3.5228,3.5227,3.5227,3.5227,3.5227,3.5227
43,3.581,3.581,3.581,3.5809,3.5809,3.5809,3.5809,3.5809
44,2.2315,2.2315,2.2315,2.2314,2.2314,2.2314,2.2314,2.2314
45,9.5228,9.5228,9.5228,9.6514,9.6514,9.6514,9.6514,9.6514
46,2.8653,2.8653,2.8653,2.8652,2.8652,2.8652,2.8652,2.8652
47,1.3946,1.3946,1.3946,1.3945,1.3945,1.3945,1.3945,1.3945
48,18.9634,18.9634,18.9634,18.963,18.963,18.963,18.963,18.963
49,12.0398,12.0398,12.0398,12.0396,12.0396,12.0396,12.0396,12.0396
50,2.6769,2.6769,2.6769,2.6768,2.6768,2.6768,2.6768,2.6768
51,2.819,2.819,2.819,2.8189,2.8189,2.8189,2.8189,2.8189
52,5.0148,5.0148,5.0148,5.0147,5.0147,5.0147,5.0147,5.0147
53,4.3689,4.3689,4.3689,4.3688,4.3688,4.3688,4.3688,4.3688
54,8.3349,8.3349,8.3349,8.337,8.337,8.337,8.337,8.337
55,5.5261,5.5261,5.5261,5.526,5.526,5.526,5.526,5.526
56,2.9345,2.9345,2.9345,2.9344,2.9344,2.9344,2.9344,2.9344
57,1.6768,1.6768,1.6768,1.6768,1.6768,1.6768,1.6768,1.6768
58,2.1851,2.1851,2.1851,2.185,2.185,2.185,2.185,2.185
59,3.4454,3.4454,3.4454,3.4453,3.4453,3.4453,3.4453,3.4453
60,8.0108,8.0108,8.0108,8.0106,8.0106,8.0106,8.0106,8.0106
61,3.0121,3.0121,3.0121,3.0121,3.0121,3.0121,3.0121,3.0121
62,2.9105,2.9105,2.9105,2.9105,2.9105,2.9105,2.9105,2.9105
64,3.8151,3.8151,3.8151,3.8151,3.8151,3.8151,3.8151,3.8151
65,3.608,3.608,3.608,3.6079,3.6079,3.6079,3.6079,3.6079
66,3.6549,3.6549,3.6549,3.6775,3.6775,3.6775,3.6775,3.6775
67,0.9898,0.9898,0.9898,0.9898,0.9898,0.9898,0.9898,0.9898
68,12.6891,12.6891,12.6891,12.6453,12.6453,12.6453,12.6453,12.6453
69,3.7959,3.7959,3.7959,3.7959,3.7959,3.7959,3.7959,3.7959
70,2.9574,2.9574,2.9574,2.9574,2.9574,2.9574,2.9574,2.9574
71,3.5515,3.5515,3.5515,3.5498,3.5498,3.5498,3.5498,3.5498
72,11.6262,11.6262,11.6262,11.6423,11.6423,11.6423,11.6423,11.6423
73,40.7869,40.7869,40.7869,40.7846,40.7846,40.7846,40.7846,40.7846
74,2.0011,2.0011,2.0011,2.001,2.001,2.001,2.001,2.001
75,3.3857,3.3857,3.3857,3.4323,3.4323,3.4323,3.4323,3.4323
76,12.9555,12.9555,12.9555,12.9908,12.9908,12.9908,12.9908,12.9908
77,10.2619,10.2619,10.2619,10.2259,10.2259,10.2259,10.2259,10.2259
78,6.3035,6.3035,6.3035,6.343,6.343,6.343,6.343,6.343
79,0.7314,0.7314,0.7314,0.7314,0.7314,0.7314,0.7314,0.7314
80,6.8903,6.8903,6.8903,6.892,6.892,6.892,6.892,6.892
81,1.9324,1.9324,1.9324,1.9051,1.9051,1.9051,1.9051,1.9051
82,3.8041,3.8041,3.8041,3.7447,3.7447,3.7447,3.7447,3.7447
83,23.9896,23.9896,23.9896,23.9892,23.9892,23.9892,23.9892,23.9892
84,24.8523,24.8523,24.8523,24.8249,24.8249,24.8249,24.8249,24.8249
85,2.7557,2.7557,2.7557,2.7557,2.7557,2.7557,2.7557,2.7557
86,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907
87,1.9584,1.9584,1.9584,1.9584,1.9584,1.9584,1.9584,1.9584
88,4.296,4.296,4.296,4.2959,4.2959,4.2959,4.2959,4.2959
89,2.3768,2.3768,2.3768,2.3768,2.3768,2.3768,2.3768,2.3768
90,2.4984,2.4984,2.4984,2.4984,2.4984,2.4984,2.4984,2.4984
91,2.8257,2.8257,2.8257,2.8256,2.8256,2.8256,2.8256,2.8256
92,2.7002,2.7002,2.7002,2.7212,2.7212,2.7212,2.7212,2.7212
93,5.8573,5.8573,5.8573,5.8572,5.8572,5.8572,5.8572,5.8572
94,6.5611,6.5611,6.5611,6.561,6.561,6.561,6.561,6.561
95,4.4358,4.4358,4.4358,4.4194,4.4194,4.4194,4.4194,4.4194
96,7.2337,7.2337,7.2337,7.1892,7.1892,7.1892,7.1892,7.1892
97,5.443,5.443,5.443,5.4878,5.4878,5.4878,5.4878,5.4878
98,16.0224,16.0224,16.0224,16.0221,16.0221,16.0221,16.0221,16.0221
99,3.9687,3.9687,3.9687,3.9686,3.9686,3.9686,3.9686,3.9686
100,7.1856,7.1856,7.1856,7.1855,7.1855,7.1855,7.1855,7.1855
101,1.2646,1.2646,1.2646,1.2646,1.2646,1.2646,1.2646,1.2646
102,1.9703,1.9703,1.9703,1.9703,1.9703,1.9703,1.9703,1.9703
