,y_2020
0,24.21
1,99.77
2,11.28
3,4.92
4,17.2
5,9.69
6,22.25
7,7.1
8,35.14
9,24.57
10,32.01
11,35.21
12,38.01
13,20.43
14,57.53
15,34.37
16,34.21
17,39.49
18,28.66
19,35.68
20,10.59
21,13.0
22,13.48
23,33.5
24,32.49
25,40.63
26,9.57
27,10.4
28,23.36
29,19.3
30,2.96
31,11.12
32,29.29
33,20.32
34,22.68
35,21.4
36,21.1
37,27.4
38,34.06
39,15.57
40,26.98
41,9.85
42,13.87
43,51.53
44,19.89
45,17.25
46,21.28
47,15.81
48,27.0
49,17.15
50,21.15
51,30.08
52,18.34
53,19.76
54,8.02
55,14.21
56,17.5
57,32.75
58,34.67
59,8.65
60,37.09
61,38.73
62,25.59
63,28.11
64,12.73
65,25.26
66,12.57
67,13.74
68,52.34
69,25.17
70,33.97
71,8.8
72,19.71
73,32.13
74,59.95
75,25.59
76,19.96
77,21.43
78,12.13
79,34.6
80,14.95
81,3.63
82,10.71
83,23.93
84,11.01
85,12.48
86,12.29
87,17.71
88,24.79
89,27.1
90,13.04
91,13.7
92,25.29
93,77.03
94,39.4
95,33.19
96,18.91
97,24.77
98,17.97
99,14.2
100,16.92
101,18.88
102,12.83
103,22.48
104,12.95
105,20.11
106,17.8
107,49.71
108,15.41
109,42.41
110,11.44
111,47.59
112,47.01
113,42.27
114,16.43
115,24.6
116,15.07
117,21.13
118,0.0
119,19.44
120,16.89
121,30.5
122,12.71
123,29.47
124,25.79
125,23.72
126,16.8
127,21.09
128,6.4
129,8.06
130,19.63
131,15.95
132,14.26
133,9.91
134,6.83
135,14.3
136,23.88
137,8.26
138,25.5
139,17.22
140,26.14
141,21.98
142,20.47
143,23.14
144,23.48
145,8.95
146,12.52
147,42.71
148,5.94
149,44.99
150,28.1
151,36.24
152,48.8
153,9.08
154,26.4
155,14.39
156,28.97
157,21.95
158,23.76
159,11.66
160,50.19
161,27.42
162,5.94
163,5.63
164,18.02
165,24.22
166,12.38
167,10.15
168,44.92
169,9.72
170,17.25
171,24.72
172,31.58
173,30.58
174,38.36
175,15.22
176,21.07
177,29.44
178,7.9
179,10.76
180,15.98
181,25.95
182,27.95
183,12.85
184,18.18
185,13.99
186,16.38
187,25.28
188,35.15
189,10.11
190,30.01
191,6.74
192,17.14
193,25.93
194,13.65
195,44.23
196,9.84
197,22.61
198,27.51
199,18.55
200,18.81
201,8.96
202,17.8
203,34.94
204,19.38
205,30.01
206,17.07
207,27.3
208,17.94
209,15.68
210,8.82
211,5.93
212,13.72
213,28.75
214,22.96
215,21.43
216,24.22
217,15.45
218,21.65
219,25.22
220,10.04
221,7.25
222,28.34
223,8.48
224,43.97
225,30.37
226,19.51
227,41.54
228,25.0
229,41.31
230,23.68
231,18.48
232,43.6
233,18.78
234,18.36
235,16.99
236,15.07
237,0.55
238,20.8
239,17.13
240,19.04
241,7.04
242,18.99
243,26.73
244,5.54
245,19.97
246,11.99
247,21.59
248,9.54
249,27.01
250,45.53
251,36.86
252,50.39
253,28.86
254,39.46
255,21.57
256,35.19
257,23.99
258,16.35
259,11.06
260,28.68
261,61.95
262,24.18
263,26.94
264,11.98
265,15.27
266,19.39
267,21.76
268,10.22
269,24.33
270,21.54
271,18.68
272,14.97
273,12.44
274,24.54
275,10.69
276,16.4
277,25.64
278,17.56
279,0.0
280,8.64
281,24.72
282,22.89
283,47.98
284,0.91
285,23.54
286,10.8
287,9.73
288,8.23
289,11.15
290,20.85
291,4.72
292,12.91
293,28.75
294,7.0
295,27.47
296,25.91
297,13.72
298,7.09
299,11.3
300,7.65
301,32.89
302,10.64
303,20.71
304,26.7
305,8.77
306,12.09
307,15.6
308,19.81
309,17.99
310,37.31
311,7.7
312,20.47
313,29.01
314,11.81
315,13.03
316,13.46
317,29.74
318,18.36
319,31.32
320,9.7
321,18.48
322,20.25
323,17.74
324,25.98
325,17.21
326,21.51
327,26.77
328,7.67
329,30.42
330,62.1
331,21.3
332,17.22
333,21.73
334,18.09
335,16.14
336,15.72
337,32.72
338,9.76
339,28.66
340,16.56
341,18.99
342,14.8
343,21.91
344,22.65
345,20.76
346,26.53
347,50.0
348,24.17
349,41.78
350,25.75
351,47.67
352,14.21
353,30.96
354,23.88
355,28.07
356,19.78
357,6.46
358,53.89
359,32.79
360,7.34
361,34.1
362,70.78
363,133.23
364,31.0
365,25.6
366,31.54
367,36.97
368,66.36
369,46.77
370,36.78
371,63.22
372,38.04
373,27.09
374,52.35
375,45.32
376,17.91
377,31.13
378,20.89
379,91.31
380,16.59
381,23.34
382,99.81
383,56.93
384,29.96
385,24.85
386,25.23
387,18.64
388,10.21
389,19.62
390,33.09
391,27.06
392,13.35
393,23.73
394,19.68
395,31.11
396,22.28
397,15.88
398,36.72
399,28.2
400,12.36
401,10.54
402,3.57
403,36.32
404,11.53
405,27.61
406,33.93
407,29.48
408,23.59
409,20.79
410,29.43
411,27.54
412,15.51
413,16.5
414,27.31
415,20.21
416,29.2
417,17.72
418,29.65
419,8.84
420,38.93
421,3.82
422,20.63
423,41.58
424,26.42
425,20.31
426,9.5
427,22.02
428,22.39
429,15.71
430,31.12
431,36.47
432,28.96
433,36.5
434,42.14
435,12.46
436,24.31
437,18.37
438,19.9
439,17.09
440,9.6
441,10.98
442,26.67
443,48.01
444,32.18
445,19.42
446,42.58
447,24.96
448,29.18
449,17.35
450,18.89
451,18.58
452,28.26
453,12.6
454,21.33
455,17.86
456,13.68
457,151.79
