id,y_2013,y_2020,y_2021
2,5.04,5.3,5.33
3,19.66,21.22,21.3
4,3.71,4.26,4.33
5,1.89,1.89,1.93
6,6.43,6.49,6.56
7,4.24,4.68,4.74
8,4.5,5.06,5.11
9,2.68,2.91,3.0
10,14.12,14.72,14.76
11,7.63,8.48,8.63
12,,,
13,5.96,6.37,6.41
14,8.68,8.69,8.72
15,7.91,8.22,8.25
16,11.67,11.83,11.86
17,8.56,8.56,8.58
18,7.4,8.58,8.7
19,13.18,14.64,14.73
20,6.73,7.33,7.33
21,3.28,3.77,3.82
22,1.75,1.83,1.86
23,2.52,2.58,2.59
24,3.48,3.57,3.61
25,8.82,9.62,9.64
26,,,
27,6.62,6.71,6.81
28,2.88,3.53,3.61
29,3.77,4.39,4.41
30,1.05,1.1,1.08
31,5.76,6.24,6.32
32,1.0,1.28,1.26
33,0.41,0.4,0.4
34,6.37,10.77,10.84
35,,,
36,8.56,9.78,9.83
37,6.03,6.53,6.75
38,7.96,8.21,8.21
39,9.25,9.74,9.76
40,7.12,7.7,7.73
41,3.63,3.66,3.7
42,4.42,4.76,4.81
43,3.72,3.96,4.01
44,1.44,1.72,1.74
45,8.98,12.25,12.27
46,4.03,4.12,4.12
47,0.19,0.21,0.22
48,0.25,0.22,0.21
49,3.65,3.82,3.82
50,4.75,4.83,4.84
51,4.66,4.84,4.84
52,1.85,1.78,1.79
53,5.2,5.3,5.3
54,5.44,5.61,5.6
55,7.67,7.95,7.96
56,1.7,1.99,1.99
57,0.88,1.75,1.75
58,2.55,2.59,2.58
59,4.02,4.1,4.12
60,1.95,1.92,1.92
61,2.68,2.76,2.74
62,,,
64,2.55,1.91,1.95
65,,0.08,0.06
66,0.36,0.5,0.51
67,,,
68,4.23,4.64,4.65
69,2.43,2.63,2.66
70,4.72,4.89,4.91
71,2.23,2.44,2.45
72,2.35,2.39,2.39
73,7.14,7.13,7.17
74,2.85,3.93,3.96
75,2.6,2.68,2.68
76,3.78,4.66,4.66
77,5.99,6.05,6.07
78,4.35,5.14,5.18
79,,,
80,0.21,0.22,0.22
81,2.67,2.77,2.78
82,3.63,4.26,4.24
83,,,
84,,,
85,5.72,5.74,5.73
86,0.78,0.99,1.04
87,3.01,3.21,3.21
88,4.44,4.73,4.77
89,5.45,5.49,5.49
90,3.36,3.42,3.41
91,6.77,6.84,6.86
92,,,
93,,,
94,3.4,3.49,3.49
95,3.48,3.53,3.51
96,6.63,6.73,6.73
97,8.9,9.17,9.2
98,7.62,10.78,11.25
99,6.25,6.46,6.47
100,6.51,6.46,6.47
101,0.89,0.94,0.94
102,3.11,3.15,3.23
103,2.18,2.24,2.25
105,1.47,2.41,2.43
106,0.34,0.34,0.33
107,0.23,0.23,0.23
108,3.0,3.04,3.17
109,4.33,4.6,4.68
110,2.49,2.56,2.57
111,5.85,11.52,11.59
112,0.88,1.01,1.01
113,12.14,15.16,15.79
114,1.87,1.83,1.82
115,12.48,13.79,13.81
116,2.34,2.41,2.42
117,10.43,13.68,13.91
118,2.82,3.13,3.18
119,4.47,5.16,5.2
120,2.57,3.13,3.19
121,5.86,5.89,5.86
122,,,
123,6.87,6.99,7.02
124,6.4,6.72,6.77
125,8.83,9.81,10.03
126,0.37,1.27,1.27
127,3.27,3.28,3.27
128,5.38,5.64,5.71
129,7.51,8.06,8.17
130,,,
131,6.94,7.85,7.86
132,2.66,2.78,2.81
133,2.38,2.57,2.6
134,1.78,2.06,2.05
135,,,
136,5.91,6.94,7.04
137,5.17,5.22,5.28
138,2.38,2.52,2.63
139,4.85,5.03,5.06
140,9.38,9.72,10.13
141,2.7,2.7,2.7
142,4.17,4.87,4.94
143,4.83,5.91,6.0
144,3.05,3.35,3.38
145,1.57,1.57,1.57
146,5.82,6.21,6.22
147,5.57,6.06,6.06
148,6.12,6.9,6.96
149,0.52,0.65,0.67
150,5.27,5.86,5.87
151,9.28,10.39,10.44
152,2.78,3.07,3.1
153,11.91,12.17,12.15
154,7.25,7.48,7.48
155,7.39,8.31,8.35
156,8.93,10.1,10.72
157,2.76,1.83,1.82
158,8.23,8.41,8.46
159,2.73,3.07,3.11
160,8.5,8.86,8.91
161,0.86,1.3,1.31
162,6.88,6.91,6.94
163,2.04,2.73,2.75
164,5.49,5.73,5.79
165,2.53,2.5,2.49
166,1.06,1.06,1.08
167,0.97,0.97,0.97
168,4.41,4.43,4.44
169,4.13,4.19,4.18
170,4.28,4.58,4.57
171,1.77,1.9,1.9
172,5.76,6.35,6.36
173,3.33,3.91,3.94
174,3.88,3.86,3.83
175,6.65,7.0,7.04
176,9.28,9.77,9.79
177,6.4,6.92,6.98
178,1.53,1.58,1.58
179,6.29,6.88,6.99
180,4.69,5.23,5.26
181,7.49,8.43,8.46
182,2.15,2.17,2.16
183,1.72,1.73,1.74
184,6.67,6.89,6.95
185,,,
186,7.98,8.21,8.18
187,2.95,3.09,3.1
188,3.07,4.08,4.09
189,0.54,0.54,0.56
190,3.8,3.87,3.88
191,7.4,7.59,7.7
192,4.14,7.14,7.32
193,3.39,3.54,3.63
194,5.23,6.34,6.41
195,4.44,4.65,4.66
196,4.59,5.36,5.36
197,4.46,4.67,4.68
198,3.35,3.67,3.7
199,3.23,3.48,3.49
200,,,
201,6.72,7.56,7.61
202,4.46,4.46,4.47
203,5.11,7.01,7.05
204,3.2,3.9,3.92
205,2.94,3.53,3.62
206,2.83,2.86,2.87
207,0.1,0.48,0.58
208,6.82,7.53,7.71
209,9.47,9.75,9.78
210,1.26,1.91,1.94
211,8.45,8.76,8.79
212,2.5,2.71,2.74
213,4.11,4.17,4.19
215,3.19,3.36,3.36
216,2.17,2.31,2.37
217,4.79,5.25,5.29
218,8.04,8.11,8.09
219,2.05,2.14,2.13
220,3.66,3.64,3.65
221,3.48,3.72,3.76
222,6.12,6.57,6.61
223,6.24,6.02,6.01
224,4.47,4.63,4.62
225,,,
226,2.23,2.3,2.33
227,8.13,8.33,8.33
228,,1.87,2.96
229,9.62,15.83,16.78
230,2.23,2.2,2.21
231,6.33,6.51,6.84
232,9.52,10.29,10.28
233,5.27,5.89,5.89
234,13.18,13.64,13.74
235,7.14,7.67,7.78
236,3.82,4.13,4.17
237,8.68,10.69,10.89
238,8.51,8.68,8.73
240,5.61,5.8,5.88
241,6.62,7.36,7.42
242,4.81,5.0,5.04
243,0.39,3.71,5.13
244,6.61,6.76,6.78
245,2.16,2.22,2.24
246,2.6,2.87,2.93
247,0.19,0.21,0.22
248,0.46,0.47,0.47
249,0.53,0.51,0.51
250,3.17,3.19,3.18
251,6.2,6.95,6.97
252,3.27,3.39,3.45
253,5.05,5.29,5.3
254,0.48,0.44,0.43
255,7.89,8.59,8.67
256,,,
257,5.23,6.84,6.91
258,9.79,10.99,11.04
259,5.78,5.88,5.94
260,10.3,11.07,11.12
261,8.48,8.6,8.63
262,11.25,11.64,11.72
263,8.31,9.16,9.22
264,4.47,5.03,5.07
265,5.34,5.56,5.6
266,6.38,6.99,7.0
267,12.27,12.42,12.4
268,6.06,6.12,6.17
269,7.15,7.87,7.92
270,,,
271,4.41,4.35,4.36
272,,,
273,3.52,4.68,4.68
274,,,
275,4.37,4.41,4.42
276,6.47,6.65,6.68
277,4.84,7.22,7.79
278,1.52,1.68,1.75
279,,,
280,5.16,5.52,5.58
281,0.24,0.56,0.57
282,4.87,5.37,5.4
283,8.06,8.41,8.51
284,2.35,3.42,3.56
285,,,
286,,,
287,,,
288,1.51,1.82,1.83
289,12.49,16.34,16.98
290,2.15,2.16,2.16
291,1.56,1.6,1.6
292,2.34,2.37,2.41
293,3.03,3.18,3.17
294,1.48,1.66,1.71
295,2.5,2.43,2.47
296,3.47,5.86,5.9
297,1.44,1.54,1.55
298,0.22,0.4,0.43
299,6.96,8.26,8.31
300,,0.07,0.07
301,7.43,8.26,8.27
302,6.84,7.05,7.07
303,1.45,1.47,1.47
304,,0.08,0.08
305,2.32,3.08,3.37
306,0.49,0.47,0.49
307,7.74,7.82,7.85
308,4.67,4.87,4.89
309,4.28,4.61,4.66
310,6.74,6.94,6.98
311,5.17,5.3,5.37
312,2.57,2.66,2.69
313,4.45,4.57,4.58
314,4.37,4.32,4.35
315,2.63,2.88,2.89
316,5.04,5.1,5.13
317,1.96,2.1,2.12
318,6.49,6.69,6.71
319,9.46,9.51,9.53
320,4.16,4.46,4.46
321,4.02,4.04,4.11
322,4.19,4.22,4.22
323,8.21,8.14,8.11
324,4.91,5.16,5.53
325,7.28,8.23,8.32
326,2.34,2.41,2.43
327,3.29,3.31,3.34
328,3.63,3.71,3.74
329,6.01,6.08,6.09
330,6.85,7.22,7.21
331,1.65,1.97,1.95
332,5.33,6.09,6.11
333,9.82,10.99,11.0
334,,,
335,8.54,9.68,10.01
336,7.09,7.59,7.78
337,5.16,5.69,5.77
338,0.91,1.14,1.16
339,0.28,1.03,1.02
343,6.35,6.35,6.71
344,3.38,3.66,3.66
345,3.62,3.77,3.82
346,6.86,6.98,6.99
347,2.01,2.17,2.21
348,12.34,12.88,13.15
349,2.66,2.82,2.88
350,3.96,4.53,4.61
351,3.55,4.13,4.17
352,1.75,1.82,1.81
353,9.69,10.46,10.61
354,1.06,1.55,1.59
355,2.08,2.07,2.06
356,9.06,10.06,10.07
357,6.78,7.54,7.59
358,6.38,6.88,6.94
359,7.8,8.38,8.39
360,13.3,14.73,15.58
361,3.9,4.73,4.78
362,7.79,7.74,7.77
363,7.96,8.41,8.46
364,7.7,8.68,8.83
365,5.83,5.88,5.89
366,2.4,2.45,2.42
367,12.36,13.03,13.21
368,9.14,9.55,9.6
369,4.08,3.44,3.45
370,4.86,5.65,5.68
371,19.07,20.09,20.13
372,35.1,36.55,36.69
373,9.29,10.08,10.16
374,9.36,9.78,9.82
375,8.52,9.01,9.08
376,13.37,13.9,13.99
377,15.38,16.58,16.57
378,19.0,20.27,20.54
379,12.78,13.4,13.48
380,18.1,19.17,19.33
381,10.5,10.74,10.51
382,7.27,7.85,8.0
383,10.57,10.9,11.15
385,13.65,14.46,14.55
386,6.75,7.34,7.32
387,8.69,8.74,8.67
388,6.62,7.08,7.08
389,19.33,19.69,19.74
390,4.0,5.34,5.46
391,9.61,9.85,9.89
392,27.56,29.88,30.22
393,17.98,18.36,18.38
394,6.7,7.3,7.37
395,,,
396,,,
397,,,
398,,,
399,,,
400,0.53,0.54,0.54
401,,,
402,,,
403,,,
404,,,
405,,,
406,,,
407,,,
408,,,
409,,,
410,,,
411,,,
412,,,
413,,,
416,,,
417,,,
418,,,
419,,,
420,,,
421,,,
422,,,
423,,,
424,,,
425,,,
426,,,
428,,,
430,,,
431,,,
432,,,
433,,,
434,,,
435,,,
436,,,
437,,,
438,,,
442,,,
443,,,
444,,,
445,,,
446,,,
447,,,
448,,,
449,,,
450,,,
451,,,
452,,,
453,,,
454,,,
455,,,
456,,,
457,,,
458,,,
459,,,
460,,,
462,,,
463,,,
464,,,
465,,,
466,,,
467,,,
468,,,
469,,,
470,,,
471,,,
472,,,
473,,,
474,,,
475,,,
476,4.87,5.73,5.75
