id,y_2013,y_2020,y_2021,y_2022
2,6.6336,5.89,7.74,7.59
3,24.3874,27.18,35.25,25.16
4,6.2499,7.42,7.97,6.56
5,2.5535,2.67,3.35,2.87
6,8.7632,8.84,11.41,9.11
7,7.4201,8.44,8.35,6.53
8,6.6115,5.95,7.69,6.61
9,2.8989,4.38,4.64,4.42
10,20.2939,20.09,24.31,18.6
11,10.1209,12.87,12.91,9.83
12,,,,
13,7.6567,8.63,9.67,7.54
14,8.3002,11.54,9.89,10.16
15,9.9022,11.71,13.69,11.51
16,14.1808,18.8,19.68,16.77
17,11.6715,11.87,13.11,9.85
18,10.6804,13.38,14.57,12.81
19,19.1393,20.52,19.38,19.87
20,9.561,10.49,11.01,9.15
21,4.5331,4.83,5.11,4.4
22,2.6457,2.8,2.79,2
23,2.604,3.49,3.17,3.65
24,4.5383,3.84,5.31,4.36
25,12.0253,15.47,16.52,14.54
26,,,,
27,8.4655,9.36,10.76,10.2
28,4.8502,5.76,7.45,5.51
29,6.5878,7.16,6.65,5.53
30,1.5399,1.39,1.88,1.64
31,8.4826,8.56,9.22,9.93
32,1.8877,2.22,2.47,1.63
33,0.383,0.5,0.62,0.63
34,8.3923,15.09,15.59,13.68
35,,,,
36,13.2749,14.49,14.86,9.57
37,7.7548,9.2,9.64,7.51
38,8.7825,9.64,10.98,8.42
39,11.629,13.39,16.17,13.78
40,6.2093,10.46,13.79,13.19
41,4.7357,4.72,5.41,4.98
42,6.6422,5.82,7.12,7.36
43,6.3889,5.49,7.15,5.93
44,2.6529,2.29,3.96,2.06
45,11.2883,15.65,14.77,14.22
46,5.1282,5.76,5.96,5.42
47,0.256,0.39,0.27,0.25
48,0.3537,0.34,0.36,0.27
49,3.4809,4.28,5.23,5.3
50,6.3765,8.37,9.32,8.07
51,4.858,5.96,7.63,6.48
52,2.7978,2.09,2.84,2.59
53,7.9016,7.95,8.84,6.75
54,7.6759,8.88,10.43,7.46
55,11.6953,11.24,12.79,9.91
56,2.747,2.79,2.45,1.99
57,1.4189,2.8,2.96,2.69
58,3.7975,3.93,7.33,3.78
59,5.5689,5.73,9.1,5.77
60,2.5224,2.36,2.6,2.52
61,3.0745,3.19,3.94,4.01
62,,,,
64,3.6739,2.2,2.42,2.25
65,,0.13,0.09,0.06
66,0.3979,0.33,0.67,0.7
67,,,,0.02
68,4.868,6.68,7.45,6.1
69,4.8787,5.17,4.36,3.34
70,6.2733,6.33,7.61,5.81
71,3.2158,3.35,4.14,3.29
72,2.3124,2.9,2.73,3.16
73,8.2266,10.42,9.78,8.53
74,4.209,5.77,6.18,5.59
75,2.6099,4.03,4.53,4.23
76,4.2826,5.5,5.97,4.71
77,6.4847,7.27,8.14,6.58
78,6.8249,7.09,6.68,6.02
79,,,,
80,1.0601,0.36,0.3,0.29
81,3.1755,3.64,4.2,3.7
82,3.0875,5.08,5.98,4.81
83,,,,
84,,,,
85,7.2001,8.6,8.93,8.14
86,0.8313,1.09,1.52,1.14
87,4.4385,3.87,3.73,3.4
88,5.3355,6.08,7.49,5.99
89,6.9317,7.34,9.64,7.84
90,4.9779,4.39,4.87,4.69
91,9.3885,10.08,17.02,8.33
92,,,,0.04
93,,,,0.06
94,4.8472,4.72,6.06,4.65
95,3.7107,5.58,5.93,5.07
96,7.833,9.43,11.75,8.95
97,12.6737,10.87,9.1,8.64
98,8.7131,12.47,17.72,16.05
99,8.072,9.09,11.1,9.74
100,7.3092,7.55,10.15,9.2
101,1.182,1.45,1.61,1.24
102,3.9214,4.66,5.79,4.27
103,2.7621,3.31,3.71,2.95
105,1.8715,3.4,3.74,3.1
106,0.5682,0.5,0.58,0.44
107,0.3213,0.29,0.39,0.39
108,3.3638,3.84,4.54,4.85
109,3.8236,5.61,5.93,4.05
110,2.0302,2.89,3.33,2.19
111,7.8387,13.02,16.69,17.25
112,0.8164,1.16,1.25,1.29
113,12.6463,19.5,21.97,23.11
114,1.8941,2.68,2.9,1.84
115,17.9434,16.56,19.29,18.69
116,2.7055,3.33,4.06,3.15
117,10.5451,15.84,19.66,19.06
118,4.3358,4.47,4.83,4.12
119,5.0306,7.22,5.75,4.37
120,3.2272,4.26,5.7,4.86
121,7.9607,8.93,11.2,7.02
122,,,,
123,5.7304,8.61,9.69,8.27
124,10.2267,8.78,9.56,8.37
125,9.2201,13.35,13.95,13.02
126,0.2707,1.05,1.32,1.48
127,4.7219,5.18,5.91,5.09
128,8.4685,10.25,12.98,12.47
129,13.4393,11.17,13.93,10.74
130,,,,
131,8.6844,10.51,11.34,11.87
132,3.6664,3.4,4.05,3.74
133,3.1159,4.3,3.64,2.61
134,2.3288,3.09,3.44,2.84
135,,,,
136,7.4167,8.48,12.11,8.3
137,3.864,7.53,16.46,6.83
138,5.198,4.03,3.78,3.28
139,5.1438,6.46,7.35,4.93
140,12.7456,14.03,14.54,10
141,3.3174,3.66,3.7,4.25
142,4.1972,6.38,7.88,7.72
143,8.7617,5.85,16.48,6.16
144,5.7993,2.15,4.92,5.33
145,1.9578,1.99,2.34,2.3
146,7.4295,8.82,8.73,6.93
147,7.3539,7.89,8.95,7.23
148,11.2323,9.17,11.52,10.27
149,0.7332,0.77,1.03,0.93
150,6.3717,8,6.64,6.73
151,13.4591,12.02,11.8,12.06
152,3.04,3.36,4.52,2.78
153,12.9913,17.95,17.97,15.57
154,7.6071,9.26,10.56,9.26
155,7.2245,9.09,12.34,12.27
156,8.9904,10.78,16.84,13.62
157,2.6624,2.47,2.84,2.45
158,9.268,11.01,11.91,7.86
159,3.5305,4.21,5.09,4.7
160,10.7239,11.95,9.28,8.98
161,0.9924,1.94,2.15,1.61
162,8.5104,10.18,13.19,9.44
163,2.312,3.6,4.57,7.53
164,7.3911,7.79,8.67,7.33
165,3.0168,4.48,4.86,3.98
166,1.5517,1.89,1.98,1.45
167,1.4092,1.61,1.88,1.35
168,6.0622,6.81,6.94,6.59
169,4.2411,5.98,7.32,6.46
170,6.5109,6.05,7.1,8.61
171,2.247,2.76,2.97,2.23
172,7.1049,8.22,11.36,9.28
173,4.0698,5.61,8.12,5.38
174,4.0489,5.6,6.17,4.99
175,10.1439,12.79,11.98,8.83
176,12.4204,10.57,14.73,12.11
177,10.1899,10.11,10.04,8.46
178,2.0807,1.93,2.37,1.9
179,9.5727,13.81,9.14,8.97
180,6.3755,6.28,8.41,6.73
181,11.2428,10.84,12.84,10.4
182,2.5474,3.22,2.85,2.41
183,2.1845,2.6,3.28,2.78
184,8.304,8,9.98,7.75
185,,,,0.04
186,10.3522,12.13,14.14,11.02
187,4.8058,4.48,5.56,6.44
188,4.2745,5.27,6.14,8.5
189,0.8408,0.74,1.8,0.77
190,3.6593,5.04,8.08,4.92
191,8.1563,8.83,9.77,9.82
192,6.4633,11.78,11.43,7.88
193,5.5995,7.3,4.61,4.43
194,9.8396,10.01,9.94,5.74
195,5.3585,6.45,6.58,4.51
196,4.9951,7.31,6.92,5.51
197,6.6493,6.63,8.57,7.35
198,5.7658,4.49,5.41,5.3
199,4.1904,4.44,4.57,3.74
200,,,,
201,11.3316,11.65,14.98,9.76
202,5.5177,6.77,7.1,5.26
203,6.1331,10.29,11.82,9.74
204,4.8341,4.59,4.87,4.41
205,4.783,6.13,7.99,5.07
206,4.6775,4.37,4.34,3.18
207,0.1029,0.58,0.61,0.55
208,12.6886,13.23,13.72,10.7
209,9.9013,12.2,13.23,9.6
210,2.1095,2,2.83,2.34
211,7.2287,17.16,11.23,9.72
212,3.5037,4.16,4.91,3.67
213,7.047,5,6.43,6.02
215,5.4095,5.05,5.4,4.69
216,3.7846,3.2,3.69,3.49
217,7.4849,6.95,8.5,6.92
218,8.9329,8.37,9.36,10.3
219,2.6868,2.93,3.09,2.62
220,4.8408,5.07,5.5,5.18
221,4.7742,5.01,5.37,4.73
222,8.8404,12.21,12.08,9.37
223,7.6971,9.18,8.62,8.47
224,7.7783,5.72,7.01,6.58
225,,,,
226,2.7611,2.83,3.33,2.96
227,9.7642,10.05,10.98,8.47
228,,2.37,3.27,4.84
229,12.5333,21.09,30.49,27.26
230,3.0214,3.47,4.11,2.86
231,6.235,7.82,10.34,7.6
232,9.4402,12.28,14.2,12.66
233,8.5331,9.27,9.56,8.96
234,20.19,20.34,18.33,12.96
235,10.7869,22.94,11.47,10.97
236,5.9726,5.5,6.99,5.01
237,9.732,16.89,14.57,13.68
238,9.2287,11.55,13.45,12.02
240,7.8176,7.27,8.93,7.18
241,9.9809,10.42,12.56,9.14
242,4.6943,6.63,8.25,5.44
243,0.4827,4.78,8.02,7.19
244,8.3031,9.78,10.69,8.43
245,2.9778,3.19,3.32,2.2
246,3.9929,4.29,4.39,2.92
247,0.4733,0.31,0.37,0.23
248,0.6025,0.52,0.61,0.44
249,0.6477,0.76,0.71,0.53
250,3.0729,3.56,3.82,3.27
251,7.0231,9.07,9.95,8.1
252,4.933,4.38,4.92,4.16
253,7.2907,6.49,13.78,7.79
254,1.4936,0.5,0.56,0.55
255,12.1123,10.11,15.37,13.1
256,,,,
257,6.8718,9.7,10.42,13.29
258,13.4874,13.82,15.45,11.78
259,4.6584,7.27,8.25,7.5
260,10.7234,12.13,12.97,10.49
261,11.0383,10.81,12.91,11.94
262,15.7077,17.76,18.1,15.64
263,14.6677,12.39,13.67,13.92
264,3.7932,5.81,5.37,4.71
265,5.9101,6.29,7.47,7.46
266,8.0913,9.32,8.42,7.8
267,14.6206,16.59,20.51,14.91
268,8.0853,8.9,12.22,8.63
269,9.67,11.69,13.75,11.46
270,,,,
271,5.7975,5.43,5.26,4.62
272,,,,
273,3.5802,6.05,6.1,5.33
274,,,,
275,5.073,6.44,6.48,5.67
276,6.3793,7.59,8.71,7.04
277,5.2462,8.55,9.26,8.05
278,1.2924,2.17,2.35,1.67
279,,,,
280,3.8732,7.98,14.53,10.56
281,0.3989,0.74,0.82,0.61
282,5.0682,6.78,7.48,7.43
283,7.3192,10.15,12.08,11.43
284,3.9314,4.81,5.93,5.88
285,,,,
286,,,,
287,,,,
288,2.4261,2.28,2.55,2.33
289,15.0692,20.75,30.23,28.64
290,3.4847,2.38,3.58,2.94
291,2.066,2.38,2.67,2.1
292,3.1045,3.35,3.81,2.83
293,4.3607,4.16,5.61,3.8
294,1.8672,2.34,2.87,2.6
295,2.8903,3.64,3.34,2.81
296,4.3968,8.09,8.64,7.74
297,2.8498,2.12,2.87,1.94
298,0.5001,0.52,0.77,0.63
299,9.0827,11.7,12.97,10.76
300,,0.1,0.11,0.07
301,10.302,11.53,12.19,10.14
302,12.2134,9.93,13.98,9.04
303,2.1099,2.43,2.36,1.64
304,,0.12,0.13,0.09
305,4.0186,2.07,3.46,4.28
306,0.859,0.39,1.26,0.64
307,10.176,11.71,20.66,12.22
308,5.661,7.57,7.68,5.54
309,6.6074,5.46,6.41,5.55
310,8.9915,8.19,9.77,9.69
311,5.9217,7.14,8.48,6.38
312,3.3673,3.76,3.28,2.52
313,5.9404,7.06,8.17,7.61
314,6.5937,6.54,5.73,4.96
315,2.5018,3.63,4.36,3.9
316,7.3782,7.67,13.83,7.68
317,8.1444,3.96,4.15,3.6
318,9.8082,8.78,9.64,8.22
319,12.2642,14.49,12.73,13.03
320,5.3252,7.67,5.83,6.33
321,4.4845,6.02,6.63,4.19
322,5.3987,5.82,8.71,5.65
323,9.808,9.86,12.27,10.35
324,6.3527,6.64,8.73,7.27
325,9.8854,10.79,15.01,12.99
326,2.9224,3.5,4.21,3.77
327,3.8023,5.2,3.67,3.44
328,4.7697,5.21,5.86,4.6
329,6.4212,8.2,10.01,7.81
330,6.2632,10.57,10.62,7.83
331,2.1784,3,3.4,2.43
332,5.0346,6.97,15.46,6.96
333,13.3293,15.04,16.86,15.31
334,,,,
335,12.1297,13.08,14.45,10.51
336,8.2225,9.44,12.35,9.87
337,6.2639,7.34,15.1,5.61
338,2.2481,1.41,2,1.47
339,0.4031,1.4,1.43,1.33
343,7.5044,8.61,10.82,9.47
344,3.5414,4.15,6.33,4.38
345,3.6721,4.88,8.4,5.11
346,9.5714,9.27,10.43,9.62
347,2.4579,2.99,3.15,2.79
348,13.8915,15.4,21.64,15.41
349,4.7362,4.31,3.71,3.51
350,6.2461,6.27,6.5,5.61
351,5.4105,5.39,6.5,6.5
352,2.8276,2.9,3.05,2.13
353,14.2554,12.44,16.69,15
354,2.2242,2.34,2.93,2.17
355,2.6561,2.46,3.47,2.36
356,13.0274,13.35,21.09,14.92
357,8.3195,8.92,10.82,9.34
358,9.9259,12.04,10.47,6.52
359,13.996,12.41,13.43,9.69
360,16.165,19.45,25.36,19.31
361,7.0376,6.65,7.57,6.8
362,9.9753,9.26,11.45,10.66
363,10.4286,11.6,11.5,10.82
364,13.3225,11.45,11.89,9.74
365,7.8872,8.16,9.25,7.64
366,3.6722,3.06,3.25,3.38
367,13.0964,15.45,18.32,17.46
368,14.3442,10.75,14.3,11.2
369,4.1996,4.61,5.91,5.19
370,8.1114,7.17,8.81,8.86
371,25.3471,28.28,36.78,25.64
372,37.2933,45.38,53.7,44.34
373,11.5933,16.34,16.82,15.11
374,11.0066,12.91,15.43,10.15
375,13.0755,13.08,23.8,13.51
376,14.5699,16.44,20.81,19.08
377,15.6426,18.54,22.61,18.31
378,24.3338,29.57,31.48,27.57
379,20.9258,23.76,24.87,17.62
380,30.368,29.08,25.91,23.32
381,11.5864,12.14,15.78,11.05
382,8.7824,8.39,10.65,10.04
383,14.0919,14.27,18.13,15.44
385,18.9643,16.07,22.91,16.1
386,8.2372,10.54,12.59,9.61
387,12.0066,8.77,12.74,8.76
388,7.8878,9.13,10.81,8.54
389,27.3386,28.63,33.28,24.45
390,5.6299,7.25,7.04,6.52
391,11.3855,13.26,16.24,13.85
392,46.7117,46.21,52.39,43.48
393,26.8923,22.13,27.07,24.05
394,8.7208,9.51,10.3,9.99
395,,,,
396,,,,
397,,,,
398,,,,
