id,y_2012,y_2013
2,1261,1258
3,4140,4145
4,380,415
5,224,230
6,740,721
7,387,392
8,745,762
9,295,292
10,1598,1611
11,1278,1280
12,1347,1355
13,1597,1653
14,1590,1581
15,787,835
16,2105,2101
17,1116,1154
18,1446,1544
19,1771,1780
20,1314,1427
21,1096,1150
22,345,362
23,525,533
24,466,463
25,1093,1101
26,214,211
27,957,957
28,489,528
29,559,563
30,477,475
31,662,674
32,231,231
33,556,557
34,680,691
35,765,784
36,1019,1019
37,700,693
38,826,822
39,897,901
40,1107,1109
41,786,785
42,1312,1317
43,624,628
44,428,431
45,941,1000
46,929,932
47,578,623
48,893,895
49,818,888
50,965,966
51,910,917
52,826,833
53,1004,1062
54,545,545
55,791,797
56,353,354
57,461,543
58,461,464
59,1059,1074
60,1165,1177
61,445,447
62,,
64,761,765
65,1098,1180
66,1260,1279
67,344,345
68,1302,1302
69,774,776
70,563,568
71,1433,1442
72,571,566
73,1125,1133
74,732,729
75,642,681
76,780,847
77,2096,2123
78,822,853
79,853,888
80,1109,1106
81,447,443
82,674,675
83,555,560
84,239,242
85,669,678
86,825,860
87,514,477
88,429,427
89,563,566
90,670,676
91,822,827
92,981,967
93,622,623
94,398,406
95,666,665
96,1578,1582
97,1533,1529
98,883,888
99,658,653
100,717,722
101,778,840
102,531,529
103,436,442
105,394,420
106,659,675
107,1050,1047
108,,
109,686,690
110,911,903
111,857,998
112,454,497
113,1232,1336
114,304,290
115,912,1018
116,,
117,1374,1386
118,,
119,466,456
120,569,569
121,788,792
122,,
123,1002,1075
124,825,827
125,1110,1098
126,82,123
127,964,968
128,804,815
129,876,873
130,735,728
131,687,701
132,266,275
133,635,637
134,445,447
135,532,535
136,730,738
137,633,638
138,221,231
139,520,527
140,992,979
141,316,309
142,1282,1286
143,608,609
144,,
145,,
146,621,625
147,1029,1043
148,924,932
149,358,373
150,688,682
151,983,1041
152,279,279
153,1219,1228
154,1153,1158
155,946,952
156,1088,1103
157,423,429
158,1132,1236
159,312,321
160,1103,1093
161,1086,1132
162,681,679
163,520,526
164,1762,1755
165,892,888
166,518,515
167,353,355
168,606,606
169,730,768
170,596,653
171,399,400
172,998,1040
173,316,321
174,599,591
175,672,669
176,1153,1200
177,696,700
178,994,949
179,608,652
180,438,437
181,1209,1212
182,257,257
183,376,369
184,678,676
185,1193,1189
186,800,796
187,425,441
188,732,764
189,371,382
190,340,358
191,957,955
192,1005,1044
193,556,588
194,,
195,969,999
196,718,741
197,972,971
198,417,387
199,1109,1111
200,234,202
201,1098,1116
202,809,804
203,628,635
204,563,610
205,299,299
206,565,564
207,957,956
208,649,686
209,1003,1002
210,1134,1137
211,774,841
212,390,403
213,500,503
215,319,322
216,372,373
217,483,484
218,1256,1255
219,750,772
220,,
221,694,695
222,657,676
223,675,672
224,1056,1058
225,268,264
226,584,599
227,800,794
228,74,72
229,864,914
230,928,928
231,683,720
232,230,247
233,1106,1130
234,1245,1321
235,845,913
236,431,432
237,921,939
238,810,800
240,804,875
241,745,749
242,488,479
243,39,37
244,683,683
245,490,487
246,1307,1301
247,424,428
248,793,794
249,525,522
250,641,642
251,585,600
252,326,326
253,849,906
254,357,354
255,1168,1220
256,1017,999
257,1208,1309
258,963,966
259,939,923
260,1208,1202
261,854,853
262,1205,1213
263,935,944
264,905,916
265,534,534
266,1031,1032
267,1450,1504
268,660,664
269,1200,1205
270,628,629
271,397,414
272,786,783
273,626,627
274,529,530
275,901,900
276,663,657
277,510,514
278,863,878
279,857,857
280,563,554
281,443,442
282,489,520
283,1044,1036
284,287,286
285,,
286,341,332
287,,
288,,
289,1242,1242
290,217,221
291,678,763
292,277,279
293,308,304
294,406,395
295,542,543
296,435,438
297,152,153
298,,
299,1258,1267
300,,
301,709,714
302,1208,1210
303,902,904
304,105,120
305,406,403
306,258,253
307,1110,1108
308,398,428
309,575,588
310,804,800
311,569,566
312,463,477
313,584,579
314,916,918
315,380,379
316,1415,1407
317,295,291
318,672,669
319,1087,1084
320,489,536
321,417,420
322,377,380
323,893,888
324,576,570
325,1087,1069
326,379,374
327,652,658
328,386,384
329,749,740
330,686,680
331,674,694
332,589,605
333,988,986
334,388,388
335,,
336,1664,1722
337,709,705
338,991,989
339,882,882
340,3734,3756
