id,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021
2,4.1123,4.1123,4.1123,4.1056,4.1056,4.11,4.11,4.11
3,11.5588,11.5588,11.5588,11.559,11.559,11.56,11.56,11.56
4,3.2925,3.2925,3.2925,3.2924,3.2924,3.29,3.29,3.29
5,1.6714,1.6714,1.6714,1.6714,1.6714,1.67,1.67,1.67
6,4.0323,4.0323,4.0323,4.0322,4.0322,4.03,4.03,4.03
7,5.4791,5.4791,5.4791,5.479,5.479,5.48,5.48,5.48
8,5.9654,5.9654,5.9654,5.9653,5.9653,5.97,5.97,5.97
9,0.9356,0.9356,0.9356,0.9356,0.9356,0.94,0.94,0.94
10,5.5126,5.5126,5.5126,5.5125,5.5125,5.51,5.51,5.51
11,5.101,5.101,5.101,5.1009,5.1009,5.1,5.1,5.1
12,1.5884,1.5884,1.5884,1.5884,1.5884,1.59,1.59,1.59
13,4.5742,4.5742,4.5742,4.5741,4.5741,4.57,4.57,4.57
14,4.3616,4.3616,4.3616,4.3615,4.3615,4.36,4.36,4.36
15,6.9027,6.9027,6.9027,6.9025,6.9025,6.9,6.9,6.9
16,7.2532,7.2532,7.2532,7.2397,7.2397,7.24,7.24,7.24
17,4.5356,4.5356,4.5356,4.5356,4.5356,4.54,4.54,4.54
18,6.1518,6.1518,6.1518,6.1517,6.1517,6.15,6.15,6.15
19,8.3804,8.3804,8.3804,8.3802,8.3802,8.38,8.38,8.38
20,3.9922,3.9922,3.9922,3.9922,3.9922,3.99,3.99,3.99
21,9.1234,9.1234,9.1234,9.1232,9.1232,9.12,9.12,9.12
22,3.1426,3.1426,3.1426,3.1425,3.1425,3.14,3.14,3.14
23,2.8117,2.8117,2.8117,2.8116,2.8116,2.81,2.81,2.81
24,1.8025,1.8025,1.8025,1.8008,1.8008,1.8,1.8,1.8
25,6.5302,6.5302,6.5302,6.5301,6.5301,6.53,6.53,6.53
26,11.2816,11.2816,11.2816,11.285,11.285,11.29,11.29,11.29
27,3.2083,3.2083,3.2083,3.2082,3.2082,3.21,3.21,3.21
28,1.9404,1.9404,1.9404,1.9403,1.9403,1.94,1.94,1.94
29,4.0831,4.0831,4.0831,4.083,4.083,4.08,4.08,4.08
30,4.7684,4.7684,4.7684,4.7716,4.7716,4.77,4.77,4.77
31,3.8471,3.8471,3.8471,3.8471,3.8471,3.85,3.85,3.85
32,0.8683,0.8683,0.8683,0.8683,0.8683,0.87,0.87,0.87
33,2.5909,2.5909,2.5909,2.5908,2.5908,2.59,2.59,2.59
34,9.2805,9.2805,9.2805,9.282,9.282,9.28,9.28,9.28
35,22.7934,22.7934,22.7934,22.793,22.793,22.79,22.79,22.79
36,5.9365,5.9365,5.9365,5.9364,5.9364,5.94,5.94,5.94
37,2.4322,2.4322,2.4322,2.4322,2.4322,2.43,2.43,2.43
38,18.8714,18.8714,18.8714,18.7499,18.7499,18.75,18.75,18.75
39,6.6882,6.6882,6.6882,6.688,6.688,6.69,6.69,6.69
40,3.4788,3.4788,3.4788,3.4787,3.4787,3.48,3.48,3.48
41,3.1315,3.1315,3.1315,3.1315,3.1315,3.13,3.13,3.13
