id,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2020
1,41.0,40.0,36.0,37.0,37.0,37.0,45.0
2,394.0,378.0,373.0,369.0,365.0,366.0,625.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,18.0,17.0,17.0,15.0,13.0,13.0,18.0
5,70.0,69.0,69.0,69.0,69.0,68.0,93.0
6,35.0,35.0,35.0,33.0,33.0,34.0,136.0
7,7.0,7.0,7.0,6.0,6.0,6.0,12.0
8,19.0,19.0,19.0,19.0,18.0,18.0,18.0
9,63.0,62.0,62.0,62.0,61.0,61.0,73.0
10,38.0,39.0,39.0,39.0,39.0,39.0,70.0
11,9.0,9.0,9.0,9.0,9.0,9.0,12.0
12,61.0,61.0,62.0,61.0,60.0,60.0,100.0
13,8.0,9.0,9.0,9.0,9.0,9.0,15.0
14,5.0,4.0,4.0,4.0,5.0,5.0,9.0
15,42.0,39.0,40.0,39.0,39.0,39.0,50.0
16,21.0,21.0,21.0,21.0,20.0,21.0,21.0
17,12.0,13.0,13.0,13.0,13.0,13.0,34.0
18,5.0,5.0,5.0,6.0,6.0,6.0,7.0
19,2.0,2.0,2.0,2.0,2.0,2.0,6.0
20,178.0,174.0,172.0,172.0,172.0,172.0,247.0
21,83.0,78.0,77.0,76.0,75.0,74.0,96.0
22,6.0,6.0,6.0,6.0,6.0,6.0,10.0
23,19.0,17.0,15.0,15.0,15.0,14.0,23.0
24,6.0,6.0,6.0,6.0,6.0,6.0,5.0
25,7.0,6.0,5.0,5.0,5.0,5.0,5.0
26,3.0,3.0,4.0,4.0,4.0,4.0,5.0
27,3.0,3.0,3.0,3.0,3.0,3.0,41.0
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,125.0,127.0,124.0,123.0,123.0,119.0,164.0
30,3.0,2.0,2.0,2.0,2.0,2.0,3.0
31,9.0,9.0,9.0,9.0,9.0,9.0,138.0
32,7.0,8.0,8.0,8.0,8.0,8.0,9.0
33,7.0,7.0,7.0,7.0,7.0,8.0,12.0
34,43.0,42.0,41.0,41.0,40.0,44.0,63.0
35,29.0,30.0,31.0,31.0,32.0,32.0,42.0
36,32.0,32.0,30.0,32.0,30.0,29.0,34.0
37,95.0,99.0,106.0,106.0,108.0,107.0,197.0
38,5.0,6.0,5.0,5.0,5.0,5.0,6.0
39,5.0,5.0,5.0,5.0,5.0,6.0,13.0
40,2.0,2.0,2.0,2.0,2.0,2.0,25.0
41,2.0,2.0,2.0,2.0,2.0,2.0,2.0
42,3.0,3.0,3.0,3.0,3.0,3.0,4.0
43,6.0,6.0,6.0,6.0,6.0,6.0,11.0
44,2.0,2.0,2.0,3.0,5.0,8.0,35.0
45,7.0,7.0,7.0,7.0,7.0,7.0,10.0
46,8.0,8.0,8.0,7.0,7.0,7.0,14.0
47,6.0,6.0,6.0,5.0,5.0,5.0,17.0
48,9.0,9.0,9.0,9.0,9.0,9.0,13.0
49,16.0,15.0,15.0,15.0,15.0,15.0,17.0
50,48.0,48.0,48.0,47.0,47.0,47.0,78.0
51,80.0,74.0,72.0,73.0,73.0,70.0,126.0
52,25.0,25.0,26.0,26.0,25.0,25.0,26.0
53,21.0,21.0,21.0,21.0,21.0,21.0,23.0
54,27.0,27.0,27.0,27.0,26.0,26.0,79.0
55,7.0,7.0,8.0,8.0,12.0,12.0,32.0
56,14.0,11.0,9.0,9.0,9.0,8.0,14.0
57,21.0,21.0,21.0,21.0,20.0,21.0,26.0
58,18.0,18.0,17.0,17.0,15.0,15.0,35.0
59,15.0,15.0,15.0,17.0,17.0,17.0,36.0
60,3.0,2.0,2.0,2.0,2.0,2.0,15.0
61,,,,1.0,1.0,1.0,8.0
62,15.0,21.0,21.0,22.0,22.0,21.0,38.0
63,7.0,8.0,8.0,7.0,8.0,9.0,34.0
64,41.0,42.0,40.0,39.0,40.0,40.0,67.0
65,7.0,8.0,8.0,8.0,7.0,8.0,10.0
66,93.0,96.0,96.0,98.0,100.0,102.0,165.0
67,8.0,8.0,8.0,9.0,9.0,9.0,15.0
68,18.0,18.0,18.0,19.0,19.0,19.0,24.0
69,8.0,8.0,8.0,8.0,8.0,8.0,10.0
