"id","y_2011","y_2013","y_2015","y_2016","y_2017","y_2021"
2,0.02,0.02,0.02,0.0193,0.02,0.0193
3,0.06,0.06,0.05,0.046,0.05,0.046
4,0.02,0.02,0.02,0.0158,0.02,0.0158
5,0,0,0,0.0026,0,0.0026
6,,,,,,
7,0.01,0.01,0.01,0.011,0.01,0.011
8,0.05,0.05,0.03,0.03,0.03,0.0433
9,,,,,,
10,,,,,,0.0117
11,0.05,0.05,0.05,0.046,0.05,0.046
12,0.01,0.01,0.01,0.0127,0.01,0.0127
13,,,,,,0.0251
14,0.02,0.02,0.02,0.02,0.02,0.0201
15,0.02,0.02,0.02,0.0179,0.02,0.0179
16,0.02,0.02,0.02,0.0212,0.02,0.0212
17,0.01,0.01,0.01,0.0059,0.01,0.0059
18,0.03,0.03,0.04,0.0422,0.04,0.0422
19,0.05,0.05,0.04,0.0401,0.04,0.0459
20,0.01,0.01,0.01,0.0133,0.01,0.0133
21,0.05,0.05,0.04,0.0308,0.03,0.0308
22,0.03,0.03,0.03,0.0116,0.01,0.0121
23,0.02,0.02,0.02,0.017,0.02,0.017
24,,,,,,0.0049
25,0.03,0.03,0.03,0.0268,0.03,0.0268
26,0.03,0.03,0.03,0.0269,0.03,0.0269
27,0.02,0.02,0.02,0.0177,0.02,0.0177
28,,,0.01,0.0106,0.01,0.0106
29,0.06,0.06,0.06,0.0599,0.06,0.0599
30,0.01,0.01,0.01,0.0108,0.01,0.0242
31,0.02,0.02,0.02,0.0184,0.02,0.0184
32,,,,,,
33,,,,,,
34,0.04,0.04,0.04,0.0395,0.04,0.0395
35,0.02,0.02,0.02,0.0232,0.02,0.0232
36,0.04,0.04,0.04,0.0419,0.04,0.0419
37,0.01,0.01,0.01,0.0116,0.01,0
38,0.04,0.04,0.04,0.0355,0.04,0.0355
39,0.02,0.02,0.02,0.018,0.02,0.018
40,0.02,0.02,0.02,0.0202,0.02,0.0202
41,0.03,0.03,0.03,0.0279,0.03,0.0279
42,0.03,0.03,0.03,0.0253,0.03,0.0358
43,0.03,0.03,0.03,0.0345,0.04,0.0345
44,,,,,,
45,0.02,0.02,0.02,0.0204,0.02,0.0204
46,,,,,,
47,0.01,0.01,0.01,0.011,0.01,0.011
48,0.03,0.03,0.03,0.0309,0.03,0.0309
49,0.03,0.03,0.03,0.0259,0.03,0.0259
50,0.02,0.02,0.02,0.0237,0.02,0.0237
51,0.01,0.01,0.01,0.0109,0.01,0.0109
52,,,,,,
53,0.02,0.02,0.02,0.0163,0.02,0.0163
54,0.03,0.03,0.03,0.0334,0.03,0.0334
55,0.02,0.02,0.02,0.0156,0.02,0.0156
56,0.01,0.01,0.01,0.0147,0.02,0.0147
57,,,,,,
58,0.02,0.02,0.02,0.0195,0.02,0.0195
59,,,,,,
60,0.03,0.03,0.03,0.0282,0.03,0.0282
61,0.01,0.01,0.01,0.0053,0.01,0.0053
62,,,,,,
64,,,,,,
65,0.02,0.02,0.02,0.0191,0.02,0.0191
66,0.02,0.02,0.02,0.019,0.02,0.019
67,,,,,,
68,0.02,0.02,0.02,0.02,0.02,0.02
69,0.01,0.01,0,0.0026,0,0.0026
70,0.02,0.02,0.02,0.023,0.02,0.023
71,0.02,0.02,0.02,0.018,0.02,0.018
72,0.05,0.05,0.05,0.0501,0.05,0.0501
73,0.1,0.1,0.1,0.0748,0.08,0.0748
74,,,,,,
75,0.01,0.01,0.01,0.0083,0.01,0.0083
76,0,0,0,0.0017,0,0.0017
77,0,0,0,0.0018,0,0.0018
78,0.07,0.07,0.07,0.0675,0.07,0.0675
79,0.01,0.01,0.01,0.008,0.01,0.008
80,0.03,0.03,0.03,0.0268,0.03,0.0268
81,0,0,0,0.0013,0,0.0013
82,0.01,0.01,0.01,0.0079,0.01,0.0081
83,0.03,0.03,0.03,0.025,0.03,0.025
84,0.08,0.08,0.08,0.0832,0.08,0.0832
85,0.01,0.01,0.01,0.009,0.01,0.0186
86,0.01,0.01,0.01,0.01,0.01,0.01
87,,,,,,
88,0.04,0.04,0.04,0.0439,0.04,0.0439
89,0.01,0.01,0.01,0.0106,0.01,0.0106
90,,,,,,
91,0.02,0.02,0.02,0.0219,0.02,0.0219
92,,,,,,
93,0.06,0.06,0.06,0.0594,0.06,0.0594
94,0.02,0.02,0.02,0.0238,0.02,0.0238
95,,,,,,
96,0.03,0.03,0.03,0.0288,0.03,0.0288
97,0.06,0.06,0.06,0.0612,0.06,0.0612
98,0.03,0.03,0.03,0.0263,0.03,0.0264
99,,,,,,
100,,,,,,
101,,,,,,
102,,,,,,
103,,,,,,
105,0.02,0.02,0.01,0.0132,0.01,0.019
106,,,,,,0
107,0.01,0.01,0.01,0.0121,0.01,0.0121
108,0.02,0.02,0.02,0.0213,0.02,0.0213
109,,,0.13,0.1267,0.13,0.1267
110,,,0.07,0.0738,0.07,0.0738
111,,,,,0,7e-04
112,0.08,0.08,0.08,0.0787,0.08,0.0787
113,0.02,0.02,0.02,0.0224,0.02,0.0224
