id,y_2010,y_2012,y_2014,y_2016,y_2019
2,30.0,24.0,15.0,17.0,21.0
3,54.0,52.0,63.0,69.0,62.0
4,13.0,10.0,10.0,12.0,
5,7.0,12.0,7.0,8.0,14.0
6,26.0,33.0,43.0,50.0,37.0
7,,6.0,7.0,8.0,10.0
8,79.0,78.0,58.0,71.0,62.0
9,,6.0,9.0,6.0,
10,76.0,67.0,75.0,66.0,76.0
11,20.0,26.0,32.0,26.0,18.0
12,8.0,18.0,16.0,17.0,29.0
13,36.0,32.0,44.0,33.0,34.0
14,18.0,20.0,18.0,24.0,31.0
15,19.0,18.0,23.0,24.0,25.0
16,54.0,42.0,50.0,53.0,64.0
17,50.0,48.0,47.0,44.0,43.0
18,31.0,49.0,34.0,41.0,48.0
19,41.0,48.0,42.0,60.0,45.0
20,41.0,46.0,41.0,57.0,34.0
21,21.0,18.0,21.0,26.0,29.0
22,10.0,7.0,6.0,11.0,6.0
23,16.0,21.0,21.0,23.0,24.0
24,19.0,16.0,14.0,17.0,13.0
25,11.0,21.0,24.0,23.0,27.0
26,22.0,25.0,20.0,23.0,20.0
27,12.0,5.0,14.0,17.0,21.0
28,16.0,14.0,15.0,15.0,20.0
29,16.0,19.0,22.0,20.0,19.0
30,17.0,22.0,23.0,17.0,25.0
31,16.0,24.0,16.0,15.0,10.0
32,,5.0,,,6.0
33,,,7.0,7.0,
34,32.0,28.0,33.0,36.0,29.0
35,29.0,25.0,30.0,38.0,32.0
36,33.0,29.0,41.0,34.0,33.0
37,32.0,28.0,25.0,32.0,20.0
38,18.0,16.0,20.0,16.0,23.0
39,24.0,31.0,18.0,24.0,29.0
40,24.0,30.0,23.0,34.0,32.0
41,17.0,18.0,18.0,12.0,18.0
42,17.0,31.0,23.0,21.0,17.0
43,8.0,16.0,24.0,16.0,20.0
44,7.0,,,6.0,6.0
45,9.0,9.0,10.0,25.0,28.0
46,10.0,20.0,14.0,17.0,25.0
47,37.0,35.0,25.0,31.0,25.0
48,18.0,16.0,15.0,19.0,16.0
49,28.0,29.0,34.0,30.0,36.0
50,24.0,31.0,31.0,36.0,28.0
51,12.0,10.0,14.0,15.0,14.0
52,19.0,17.0,9.0,15.0,15.0
53,24.0,21.0,19.0,25.0,32.0
54,25.0,23.0,24.0,19.0,16.0
55,33.0,35.0,30.0,34.0,32.0
56,14.0,6.0,7.0,,12.0
57,7.0,7.0,17.0,13.0,9.0
58,15.0,11.0,10.0,9.0,18.0
59,12.0,14.0,20.0,21.0,34.0
60,5.0,7.0,7.0,5.0,12.0
61,,7.0,6.0,,14.0
62,,,,,
64,14.0,11.0,21.0,25.0,17.0
65,6.0,,8.0,7.0,5.0
66,53.0,60.0,49.0,44.0,31.0
67,,,,5.0,
68,11.0,20.0,12.0,22.0,21.0
69,11.0,13.0,11.0,11.0,17.0
70,36.0,47.0,52.0,59.0,58.0
71,17.0,17.0,24.0,20.0,19.0
72,7.0,5.0,10.0,10.0,21.0
73,36.0,36.0,40.0,50.0,41.0
