"id","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019","y_2021"
2,0.48,0.36,0.39,0.37,1.33,1.54,0.39
3,0.68,0.83,1,0.96,1.13,1.11,1.05
4,0.29,0.35,0.35,0.33,0.47,0.53,0.32
5,0.31,0.3,0.34,0.37,0.14,0.15,0.25
6,0.56,0.53,0.59,0.53,0.5,0.58,0.53
7,0.2,0.14,0.18,0.18,0.14,,0.06
8,0.14,0.12,0.17,0.21,0.16,0.12,0.11
9,0.06,0.07,0.08,,,,
10,0.94,0.78,0.66,0.69,0.58,0.6,0.69
11,0.57,0.47,0.62,0.62,0.75,0.71,0.66
12,0.93,1.01,1.08,1.14,1.12,1.31,1.2
13,0.4,0.46,0.66,0.79,0.66,0.62,0.67
14,1.35,1.27,1.32,1.3,1.37,1.16,0.83
15,0.37,0.43,0.41,0.34,0.3,0.28,0.35
16,1.48,1.47,1.5,1.6,2.21,2.4,1.76
17,1.31,1.21,1.07,0.97,1.13,1.16,1.2
18,0.54,0.65,0.77,0.87,0.95,0.79,0.57
19,0.8,0.71,0.77,0.86,0.6,0.49,0.55
20,0.84,0.84,0.92,0.97,0.79,0.59,0.77
21,0.99,1.05,1,0.81,0.6,0.64,0.73
22,0.13,0.12,0.11,0.13,,,0.06
23,0.39,0.46,0.53,0.46,0.36,0.43,0.35
24,0.34,0.24,0.24,0.18,,0.11,0.24
25,1.13,1.1,1.3,1.55,1.14,1.06,1.39
26,0.93,0.81,0.71,0.72,0.63,0.65,0.68
27,1.21,1.44,1.46,1.77,1.26,1.35,1.06
28,0.34,0.37,0.34,0.34,0.25,0.21,0.13
29,0.38,0.34,0.39,0.26,0.33,0.3,0.29
30,0.53,0.68,0.61,0.68,0.59,0.6,
31,0.44,0.49,0.49,0.51,0.41,0.4,0.53
32,0.05,0.05,,,,,
33,0.21,0.22,0.17,0.14,0.22,0.19,0.2
34,0.84,0.74,0.71,0.84,1.09,1.28,1.45
35,0.38,0.41,0.43,0.36,0.48,0.61,0.54
36,0.35,0.28,0.36,0.36,0.44,0.4,0.35
37,0.43,0.38,0.35,0.4,0.37,0.42,0.26
38,0.48,0.46,0.45,0.43,0.76,0.64,0.34
39,1.28,1.29,1.18,1.22,1.06,1.07,1.07
40,1.04,1.12,0.97,0.83,0.89,0.75,0.89
41,0.27,0.27,0.28,0.29,0.15,0.23,0.17
42,0.57,0.6,0.68,0.65,0.59,0.6,0.66
43,0.51,0.55,0.53,0.64,0.45,0.35,0.4
44,0.08,0.09,0.08,0.1,,,0.17
45,0.98,1.06,1.03,1.22,1.39,1.47,1.24
46,0.66,0.56,0.43,0.5,0.58,0.66,0.41
47,,,0.06,,0.11,0.12,0.06
48,0.65,0.76,0.8,0.89,0.71,0.68,0.7
49,0.53,0.6,0.59,0.65,0.86,0.82,0.84
50,1.1,1.21,1.33,1.36,1.57,1.74,1.49
51,0.13,0.09,0.06,,,0.12,0.1
52,0.84,0.5,0.39,0.58,0.36,0.4,0.81
53,1.08,1.06,1.5,1.28,1.84,1.84,1.38
54,0.72,0.82,0.82,0.84,0.9,0.99,1.01
55,0.32,0.28,0.32,0.38,0.27,0.35,0.31
56,0.29,0.25,0.25,0.25,0.18,0.18,0.29
57,0.57,0.57,0.67,0.57,0.62,0.71,0.73
58,0.62,0.54,0.58,0.59,0.64,0.59,0.65
59,0.74,0.65,0.69,0.78,0.9,0.82,0.86
60,0.41,0.36,0.43,0.36,0.42,0.41,0.53
61,0.29,0.25,0.23,0.22,0.25,0.31,0.25
62,,,,,,,
64,0.4,0.38,0.56,0.63,0.5,0.54,0.59
65,0.06,0.09,0.1,0.17,0.19,0.19,0.19
66,0.19,0.13,0.09,0.14,0.18,0.16,0.21
67,,0.06,0.07,,,0.11,0.15
68,1.03,0.76,0.81,0.92,0.85,0.88,0.89
69,0.22,0.22,0.34,0.43,0.21,0.18,0.21
70,0.28,0.34,0.28,0.39,0.6,0.56,0.29
71,1.46,1.18,1.48,1.5,1.22,1.51,1.9
72,0.4,0.36,0.48,0.74,0.66,0.67,0.7
73,1.02,1.03,1.05,1.14,0.96,1.08,1.32
74,0.19,0.12,0.1,0.13,,,0.05
75,0.8,0.77,0.91,1.01,0.73,0.69,0.94
76,0.99,0.98,1.04,1.16,1,1.04,1.03
77,1.87,1.84,2.07,2.12,2.04,2.02,2.03
78,0.6,0.7,0.63,0.69,0.59,0.6,0.63
79,0.65,0.76,0.86,0.72,0.52,0.84,1.3
80,0.26,0.18,0.22,0.27,0.32,0.17,0.25
81,0.38,0.34,0.39,0.31,0.35,0.25,0.25
82,0.66,0.85,0.86,1.09,0.89,0.88,0.68
83,0.76,0.8,0.87,0.98,0.91,0.98,1.07
84,0.12,0.17,0.15,0.15,0.18,0.15,0.12
85,0.78,0.67,0.7,0.54,0.62,0.87,0.64
86,0.63,0.65,0.75,0.73,0.76,0.87,0.77
87,0.43,0.48,0.34,0.18,0.21,0.17,0.07
88,0.52,0.44,0.52,0.45,0.47,0.58,0.56
89,0.55,0.46,0.44,0.52,0.58,0.54,0.46
90,0.44,0.4,0.38,0.4,0.17,0.25,0.19
91,0.94,0.89,0.92,0.88,0.82,0.71,0.61
92,0.13,0.11,0.2,0.25,0.27,0.24,0.33
93,0.47,0.44,0.47,0.42,0.44,0.39,0.37
94,0.43,0.41,0.6,0.49,0.41,0.43,0.44
95,0.47,0.52,0.42,0.64,0.52,0.47,0.29
96,0.84,1.02,1.17,1.3,1.14,1.24,1.01
97,0.91,1.02,1.07,1.07,0.99,1.04,0.8
98,0.95,1,0.9,1.22,1.29,1.36,1.3
99,0.33,0.35,0.36,0.32,0.37,0.47,0.49
100,0.75,0.72,0.67,0.5,0.51,0.6,0.61
101,0.77,0.85,0.94,0.88,0.94,1.06,1.1
102,0.65,0.69,0.75,0.56,0.46,0.38,0.55
103,0.54,0.54,0.56,0.59,0.57,0.58,0.55
105,0.24,0.32,0.23,0.32,0.33,0.37,0.31
106,0.61,0.5,0.56,0.47,0.2,0.25,0.49
107,0.9,0.95,0.91,0.87,1.05,1.09,0.77
108,0.44,0.58,0.54,0.57,0.7,0.64,0.59
109,0.57,0.53,0.68,0.52,0.44,0.4,0.56
110,0.46,0.46,0.49,0.54,0.45,0.46,0.49
111,0.87,0.97,1.01,1.2,1.29,1.42,1.15
112,0.45,0.44,0.47,0.54,0.48,0.56,0.47
113,1.53,1.72,1.83,1.84,1.8,1.82,1.53
114,0.4,0.33,0.36,0.44,0.51,0.4,0.69
115,2.08,2.39,2.64,2.93,2.56,2.37,2.5
116,1.43,1.2,1.5,1.53,1.51,1.62,1.82
117,1.77,1.59,1.78,1.8,2.04,2.18,2.09
118,0.39,0.37,0.41,0.36,0.37,0.28,0.49
119,0.44,0.42,0.5,0.49,0.47,0.35,0.62
120,0.64,0.51,0.57,0.58,0.52,0.56,0.63
121,0.8,0.91,1.2,1.25,1.05,1.16,0.86
122,,,,,,,
123,0.79,0.77,0.82,0.87,0.68,0.87,0.73
124,0.64,0.66,0.58,0.64,0.54,0.58,0.56
125,1.39,1.3,1.3,1.13,1.08,1.24,1.23
126,0.14,0.16,0.2,0.18,0.24,0.22,0.29
127,0.61,0.63,0.73,0.71,0.7,0.7,1.05
128,1.08,1.23,1.08,0.99,0.8,0.68,0.92
129,0.45,0.5,0.52,0.51,0.37,0.39,0.26
130,0.29,0.25,0.21,0.4,0.24,0.17,0.35
131,0.75,0.91,0.85,0.96,0.82,0.8,0.7
132,,,,,,0.12,
133,0.17,0.15,0.13,0.25,0.2,0.2,0.25
134,0.33,0.3,0.36,0.27,0.37,0.45,0.43
135,0.14,0.24,0.44,0.42,0.86,0.85,0.51
136,0.37,0.25,0.29,0.42,0.48,0.38,0.33
137,0.88,1.13,1.32,1.34,0.82,0.71,1.29
138,0.26,0.22,0.33,0.32,0.4,0.55,0.36
139,0.63,0.68,0.5,0.41,0.37,0.48,0.41
140,1.1,1.07,1.21,1.13,0.84,0.99,1.16
141,0.39,0.4,0.42,0.28,0.23,0.31,0.27
142,0.83,0.92,0.82,1.04,1.06,0.98,0.65
143,0.3,0.38,0.41,0.41,0.28,0.23,0.38
144,0.94,1.06,1.23,1.12,0.86,0.89,0.65
145,0.95,0.96,0.98,0.87,0.98,0.88,1.01
146,0.6,0.68,0.62,0.52,0.51,0.64,0.7
147,0.65,0.65,0.72,0.87,0.84,0.71,0.78
148,0.58,0.66,0.56,0.7,0.43,0.47,0.57
149,0.32,0.29,0.25,0.26,0.29,0.34,0.37
150,0.7,0.81,0.92,0.9,0.93,0.74,0.67
151,2.11,2.2,2.39,2.52,1.69,1.58,1.59
152,0.47,0.33,0.39,0.42,0.48,0.38,0.28
153,1.6,1.36,1.48,1.68,1.41,1.21,1.33
154,0.94,0.85,0.81,0.94,1.01,0.95,0.77
155,0.85,0.74,0.89,0.89,0.87,0.84,0.79
156,1.34,1.39,1.26,1.55,1.51,1.36,1.24
157,0.52,0.5,0.55,0.5,0.2,0.22,0.34
158,1.7,1.72,1.46,1.62,1.56,1.49,1.5
159,0.41,0.46,0.35,0.45,0.46,0.58,0.53
160,1.14,1.09,1,1.26,0.98,0.98,1.14
161,0.66,0.71,0.64,0.84,0.78,0.83,0.94
162,0.78,0.76,0.76,0.69,0.72,0.67,0.66
163,0.16,0.29,0.33,0.16,0.21,0.19,0.17
164,1.66,1.46,1.62,1.75,1.18,1.42,1.57
165,0.86,0.79,0.77,0.99,0.99,1.02,0.95
166,0.27,0.25,0.37,0.34,0.4,0.4,0.47
167,0.2,0.16,0.09,0.17,0.19,0.19,0.2
168,0.55,0.47,0.47,0.47,0.49,0.57,0.62
169,0.94,1.14,1.31,1.38,1.01,1.26,1.35
170,0.88,0.93,0.95,0.92,0.76,0.83,0.66
171,0.21,0.15,0.21,0.29,0.25,0.25,0.24
172,1.46,1.58,1.83,1.98,1.49,1.93,2.44
173,0.75,0.73,0.53,0.48,0.46,0.56,0.39
174,0.62,0.56,0.69,0.68,0.82,0.77,0.49
175,0.32,0.45,0.49,0.64,0.43,0.36,0.36
176,1.37,1.36,1.43,1.35,1.06,1.07,1.28
177,0.45,0.37,0.31,0.37,0.28,0.35,0.46
178,0.17,0.11,0.1,0.14,0.26,0.22,0.44
179,0.44,0.42,0.44,0.37,0.37,0.27,0.32
180,0.47,0.52,0.65,0.58,0.57,0.62,0.62
181,0.6,0.61,0.63,0.56,0.67,0.53,0.73
182,0.3,0.25,0.2,0.2,0.26,0.25,0.2
183,0.29,0.21,0.23,0.28,0.46,0.57,0.29
184,0.15,0.21,0.19,0.26,0.16,0.16,0.17
185,0.8,0.7,0.86,0.7,0.78,0.79,0.64
186,1.24,1.08,0.98,0.9,0.83,0.84,0.89
187,0.37,0.44,0.54,0.38,0.34,0.37,0.35
188,0.73,0.62,0.63,0.74,0.66,0.78,1.03
189,0.35,0.28,0.41,0.43,0.31,0.34,0.38
190,0.39,0.43,0.49,0.56,0.87,0.77,0.43
191,0.79,0.73,0.8,0.99,0.71,0.62,0.74
192,0.65,0.65,0.82,0.76,0.53,0.79,0.84
193,0.42,0.48,0.58,0.62,0.2,0.19,0.3
194,1.17,1.1,1.24,1.48,1.18,1.23,1.22
195,1,0.89,0.98,1.17,1.06,0.98,0.96
196,0.9,0.84,0.58,0.73,0.68,0.75,1.05
197,0.85,0.79,0.96,0.86,0.66,0.69,0.75
198,0.36,0.33,0.39,0.31,0.37,0.38,0.31
199,1.23,1.3,1.51,1.43,1.47,1.38,1.14
200,0.22,0.2,0.26,0.25,0.26,0.27,0.37
201,0.61,0.58,0.74,0.78,0.48,0.45,0.49
202,1.38,1.2,1.11,1.25,0.79,0.75,1.39
203,0.63,0.61,0.56,0.62,0.69,0.73,0.46
204,0.47,0.43,0.49,0.62,0.46,0.57,0.46
205,0.27,0.26,0.29,0.34,0.31,0.33,0.44
206,0.47,0.41,0.48,0.57,0.54,0.6,0.64
207,0.15,0.12,0.13,0.18,0.28,0.25,0.44
208,0.46,0.49,0.52,0.64,0.49,0.51,0.47
209,0.85,1.15,1.25,1.4,1.09,1.23,1.17
210,0.08,0.08,0.17,0.31,0.12,0.16,0.17
211,0.96,1.22,1.04,1.13,0.93,0.91,0.74
212,0.5,0.44,0.55,0.5,0.4,0.56,0.56
213,0.3,0.4,0.38,0.4,0.26,0.25,0.3
215,0.19,0.16,0.18,0.15,0.13,0.11,0.22
216,0.2,0.15,0.09,,,0.13,0.18
217,0.25,0.24,0.31,0.32,0.18,0.2,0.32
218,0.62,0.7,0.65,0.69,0.64,0.57,0.38
219,0.2,0.19,0.29,0.16,0.17,0.16,0.34
220,0.37,0.42,0.53,0.59,0.71,0.6,0.43
221,0.47,0.39,0.52,0.52,0.58,0.62,0.45
222,0.16,0.13,0.1,,0.11,0.14,0.19
223,0.59,0.67,0.66,0.54,0.64,0.67,0.43
224,0.54,0.6,0.69,0.68,0.87,0.57,0.62
225,0.4,0.41,0.4,0.31,0.65,0.71,0.28
226,0.14,0.13,0.14,0.14,,,0.12
227,1.11,1.17,0.93,0.81,0.96,0.97,0.86
228,0.28,0.25,0.23,0.27,0.21,0.15,0.12
229,1.03,1.2,1.55,1.65,1.4,1.4,1.81
230,0.4,0.44,0.4,0.45,0.55,0.5,0.42
231,0.72,0.7,0.88,0.99,0.93,0.83,0.87
232,1.05,1.18,1.12,1.13,0.99,0.95,0.96
233,0.62,0.55,0.61,0.73,0.62,0.64,0.58
234,1.49,1.6,1.67,1.54,1.58,1.75,2.15
235,0.52,0.49,0.45,0.57,0.38,0.46,0.51
236,0.14,0.1,0.12,0.11,0.13,0.17,0.12
237,1.05,1.08,1.12,1.17,1.08,1.04,1.07
238,1.14,1.07,1.18,1.04,0.9,1.05,1.23
240,0.25,0.16,0.18,0.17,0.32,0.29,0.24
241,0.4,0.4,0.37,0.34,0.24,0.31,0.39
242,0.92,0.92,0.81,0.71,0.64,0.74,0.74
243,,,,,,0.13,0.5
244,0.7,0.73,0.67,0.73,0.63,0.8,0.65
245,0.38,0.3,0.3,0.36,0.39,0.5,0.33
246,0.5,0.48,0.5,0.46,0.44,0.48,0.55
247,0.35,0.33,0.36,0.31,0.32,0.33,
248,0.42,0.41,0.54,0.52,0.54,0.62,0.54
249,0.68,0.77,0.9,0.72,1.02,1,0.59
250,0.45,0.55,0.5,0.5,0.5,0.47,0.18
251,0.71,0.7,0.83,0.86,0.71,0.73,0.51
252,0.23,0.19,0.17,0.22,0.23,0.24,0.23
253,0.65,0.63,0.71,0.82,0.62,0.86,0.7
254,0.06,,0.08,,0.11,0.17,0.08
255,1.03,0.78,0.84,0.84,0.89,0.96,0.91
256,0.53,0.51,0.6,0.91,0.85,1.07,1.63
257,1.23,1.34,1.58,1.64,1.34,1.65,2.14
258,1.28,1.28,1.16,1.22,1.3,1.23,1.26
259,0.9,0.71,0.81,0.76,0.61,0.75,0.85
260,1.06,1.1,0.87,0.99,0.92,1.01,0.99
261,0.75,0.72,0.62,0.52,0.66,0.52,0.5
262,0.62,0.67,0.68,0.68,0.6,0.67,0.84
263,0.48,0.49,0.66,0.75,0.53,0.4,0.49
264,0.6,0.58,0.66,0.66,0.52,0.61,0.54
265,0.55,0.56,0.5,0.36,0.29,0.34,0.39
266,1.04,1.22,1.28,1.32,1.3,1.3,1.12
267,2.02,1.96,2.12,1.95,1.83,1.77,1.59
268,0.52,0.54,0.61,0.63,0.44,0.5,0.5
269,0.56,0.59,0.65,0.77,0.67,0.52,0.58
270,0.51,0.36,0.37,0.5,0.68,0.65,0.45
271,0.41,0.37,0.35,0.29,0.36,0.34,0.29
272,0.27,0.24,0.29,0.23,0.31,0.39,0.31
273,0.4,0.5,0.41,0.41,0.49,0.54,0.68
274,0.29,0.26,0.27,0.2,0.28,0.33,0.23
275,0.59,0.56,0.53,0.58,0.55,0.46,0.38
276,0.73,0.75,0.75,0.71,0.5,0.51,0.47
277,0.63,0.61,0.53,0.6,0.67,0.75,0.76
278,0.49,0.53,0.47,0.41,0.46,0.4,0.42
279,0.15,0.17,0.17,0.24,0.22,0.25,0.22
280,0.75,1.17,0.93,1.28,0.84,1.02,1.2
281,0.5,0.48,0.46,0.36,0.39,0.37,0.39
282,0.93,0.68,0.66,0.67,0.74,0.63,0.6
283,1.08,0.9,0.85,0.84,0.83,0.81,0.94
284,0.55,0.53,0.59,0.52,0.72,0.77,0.97
285,,,,,,,
286,0.24,0.29,0.33,0.25,0.29,0.3,0.21
287,0.56,0.71,0.86,0.92,0.86,0.83,0.68
288,0.4,0.46,0.4,0.39,0.3,0.29,0.34
289,1.24,1.4,1.61,1.71,1.7,1.59,1.54
290,0.25,0.44,0.2,0.17,0.44,0.5,0.2
291,0.85,0.74,0.87,0.88,0.86,0.92,0.95
292,0.35,0.35,0.36,0.54,0.29,0.32,0.45
293,0.27,0.29,0.35,0.32,0.27,0.28,0.36
294,0.57,0.38,0.26,0.29,0.49,0.59,
295,0.5,0.39,0.45,0.36,0.34,0.31,0.48
296,0.38,0.33,0.5,0.61,0.64,0.78,0.77
297,0.12,0.12,0.14,0.1,,,0.06
298,0.36,0.34,0.39,0.25,0.45,0.49,0.52
299,0.74,0.74,0.79,0.9,0.76,0.86,1.03
300,0.19,0.17,0.13,0.14,0.14,0.14,0.15
301,0.84,0.74,0.68,0.8,0.77,0.69,0.64
302,0.73,0.64,0.77,0.81,0.67,0.59,0.86
303,0.27,0.25,0.33,0.35,0.49,0.44,0.39
304,0.26,0.33,0.31,0.35,0.54,0.5,0.44
305,0.28,0.27,0.3,0.22,0.21,0.32,0.34
306,,,0.35,0.39,0.44,0.44,0.73
307,1.01,1.28,1.35,1.28,1.15,1.26,1.06
308,0.54,0.57,0.54,0.64,0.59,0.58,0.74
309,0.67,0.64,0.67,0.78,0.65,0.65,0.75
310,1.31,1.19,1.33,1.35,1.11,0.99,1
