id,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
2,6.6,6.6,6.6,6.61,6.64,6.63,6.67,6.7,6.59,6.64,6.74
3,32.93,33.04,33.53,33.63,34.17,34.06,34.32,34.47,33.73,33.76,34.19
4,3.99,4.04,4.09,4.09,4.18,4.15,4.17,4.25,4.11,4.08,4.11
5,1.83,1.83,1.84,1.79,1.73,1.73,1.72,1.74,1.76,1.79,1.78
6,6.03,6.01,6.01,6.05,5.94,5.95,5.95,6.05,6.05,6.04,6.37
7,4.23,4.26,4.29,4.27,4.29,4.28,4.32,4.32,4.17,4.15,4.19
8,7.31,7.39,7.45,7.51,7.48,7.48,8.11,8.12,8.26,8.28,8.52
9,2.61,2.61,2.58,2.61,2.62,2.61,2.72,2.79,2.81,2.77,3.13
10,10.78,10.72,10.72,10.74,10.82,10.8,11.04,11.16,11.26,11.41,11.42
11,9.4,9.48,9.59,10.55,9.81,9.75,9.89,10.01,9.64,9.73,9.91
12,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,10.73
13,6.33,6.31,6.48,6.51,6.53,6.53,6.53,6.53,6.51,6.51,6.52
14,8.75,8.74,8.74,8.73,8.73,8.73,8.73,8.78,8.77,8.77,8.79
15,8.25,8.25,8.34,8.38,8.48,8.46,8.48,8.52,8.54,8.51,8.64
16,14.37,14.33,14.34,14.34,14.32,14.33,14.32,14.32,14.29,14.29,14.29
17,8.52,8.52,8.52,8.49,8.46,8.46,8.48,8.49,8.49,8.49,8.56
18,7.79,7.7,7.83,7.74,8.32,8.32,8.74,9.06,9.05,9.7,10.68
19,16.55,16.59,16.62,16.62,16.74,16.74,16.9,16.9,16.93,16.93,16.98
20,11.47,11.46,11.46,11.46,11.46,11.46,11.46,11.45,11.56,11.63,11.68
21,3.31,3.8,3.84,3.88,3.86,3.88,3.89,3.94,3.9,3.9,4.73
22,2.32,2.32,2.55,2.59,2.51,2.45,3.0,3.16,3.9,3.91,3.91
23,2.59,2.59,2.59,2.59,2.59,2.59,2.39,2.39,2.39,2.39,3.12
24,3.17,3.16,3.14,3.14,3.14,3.14,3.12,3.13,3.13,3.11,2.39
25,11.12,11.11,11.12,11.18,11.5,11.5,11.9,11.9,11.89,11.89,11.9
26,10.65,10.67,10.69,10.68,10.81,10.81,10.86,10.9,10.93,10.93,5.6
27,9.01,9.0,9.0,9.0,8.99,8.99,9.05,9.27,9.26,9.25,2.3
28,5.1,5.14,5.27,5.16,5.28,5.28,5.73,5.74,5.53,5.5,10.97
29,5.66,5.66,5.65,5.65,5.66,5.66,5.66,5.68,5.69,5.7,9.25
30,0.8,0.8,0.8,0.8,1.16,1.16,1.78,2.0,1.99,2.07,5.73
31,6.71,6.72,6.7,6.7,6.83,6.85,6.83,6.83,6.78,6.77,6.78
32,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
33,0.26,0.41,0.42,0.42,0.42,0.42,0.41,0.41,0.39,0.39,0.39
34,7.89,8.09,8.13,8.24,9.11,9.12,14.58,14.65,14.78,14.97,16.52
35,6.8,7.53,7.99,8.9,10.17,10.17,10.78,11.26,11.86,12.45,9.93
36,10.3,10.51,10.61,10.62,10.72,10.72,10.73,10.73,10.73,10.73,14.61
37,5.06,5.04,5.08,5.13,5.22,5.21,5.71,6.05,5.96,5.91,10.72
38,8.41,8.42,8.41,8.41,8.41,8.4,8.3,8.41,8.62,8.96,6.02
39,9.29,9.38,9.49,9.61,9.88,9.89,9.9,9.9,9.88,9.89,1.65
40,8.55,8.55,8.55,8.63,8.95,8.96,9.04,9.07,9.16,9.16,9.61
41,7.74,7.74,7.73,7.73,7.74,7.74,7.74,7.74,7.74,7.74,9.48
42,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.95,10.95,7.74
43,4.09,4.19,4.22,4.23,4.22,4.22,4.25,4.25,4.25,4.22,10.95
44,1.39,1.47,1.61,1.65,1.7,1.7,1.73,1.74,1.63,1.7,4.27
45,9.86,11.1,11.42,11.8,15.25,15.26,17.24,18.23,18.25,18.26,18.32
46,4.12,4.11,4.11,4.11,4.11,4.11,4.11,4.11,4.11,4.11,1.68
47,0.23,0.21,0.21,0.2,0.25,0.25,0.24,0.23,0.21,0.21,4.13
48,6.21,6.16,6.13,6.08,6.04,6.04,6.02,6.0,6.0,5.99,8.69
49,9.08,9.11,9.2,9.32,9.32,9.32,9.34,9.42,9.88,9.84,0.21
50,5.03,5.03,5.04,5.04,5.03,5.03,5.03,5.05,5.05,5.12,6.03
51,5.61,5.6,5.55,5.56,5.59,5.59,6.57,6.64,6.74,7.22,9.87
52,1.7,1.67,1.66,1.66,1.66,1.66,1.65,1.65,1.64,1.66,5.13
53,8.12,8.15,8.16,8.15,8.15,8.15,8.16,8.16,8.17,8.16,7.22
54,5.62,5.62,5.59,5.59,5.71,5.71,5.67,5.67,5.66,5.67,8.17
55,8.01,8.0,8.0,8.02,8.05,8.05,8.09,8.06,8.01,8.23,5.7
56,2.64,2.64,2.69,2.69,2.69,2.69,2.69,2.7,2.68,2.68,0.02
57,2.7,2.7,2.7,2.7,2.7,2.7,4.19,4.19,4.18,4.18,2.68
58,2.57,2.57,2.57,2.56,2.56,2.56,2.53,2.53,2.51,2.51,4.18
59,5.81,5.81,5.8,5.8,5.8,5.8,5.94,5.96,5.97,5.97,3.61
60,3.42,3.41,3.4,3.4,3.4,3.4,3.4,3.4,3.39,3.39,2.51
61,2.75,2.75,2.76,2.76,2.76,2.76,2.76,2.78,2.78,2.78,5.99
62,,,,,,0.02,0.02,0.01,0.0,,3.39
64,11.53,11.55,11.55,11.55,11.5,11.5,11.5,11.5,11.48,11.48,2.79
65,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.03,0.03,7.98
66,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,15.29
67,0.14,0.0,0.14,0.14,,0.02,0.02,0.02,0.01,0.01,0.0
68,7.0,7.0,7.0,6.99,6.99,7.01,7.0,6.99,6.97,6.97,0.0
69,3.7,3.71,3.72,3.7,3.71,3.71,3.72,3.72,3.62,3.61,11.48
70,5.18,5.18,5.16,5.16,5.15,5.15,5.14,5.18,5.17,5.18,2.34
71,2.47,2.56,2.64,2.64,2.65,2.66,2.65,2.65,2.55,2.55,2.01
72,5.61,5.6,5.59,5.59,5.56,5.56,5.57,5.57,5.55,5.67,0.01
73,10.27,10.44,10.65,10.93,11.35,11.34,12.39,12.57,13.64,14.8,3.7
74,6.12,6.12,6.12,6.12,6.12,6.12,6.12,6.12,6.12,6.12,6.97
75,6.71,7.4,7.95,7.95,7.98,7.98,7.98,7.98,7.98,7.98,5.21
76,7.88,9.73,11.05,11.54,11.73,11.76,11.68,11.84,12.42,12.68,6.97
77,10.59,11.38,11.82,11.82,11.81,11.82,12.27,12.48,12.71,12.8,0.02
78,5.74,6.32,6.48,6.55,6.55,6.55,7.93,8.29,8.29,8.29,2.56
79,,,,,,,,,0.0,,12.56
80,4.01,4.15,4.03,4.03,4.14,4.14,4.14,4.12,4.11,4.11,15.29
81,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,5.53
82,6.86,6.86,6.86,7.17,7.44,7.44,7.44,7.43,7.43,7.42,0.95
83,2.93,2.95,2.92,2.91,2.96,2.97,3.0,3.04,3.02,2.99,4.82
84,2.75,2.74,2.66,2.41,2.61,2.65,2.52,2.31,2.15,2.1,15.53
85,5.58,5.54,5.53,5.52,5.46,5.46,5.48,5.53,5.4,5.46,6.12
86,2.0,1.67,1.91,1.91,1.91,1.91,2.09,2.09,2.09,2.09,13.1
87,3.61,3.57,3.56,3.55,3.7,3.7,3.72,3.72,3.7,3.68,8.3
88,4.29,4.23,4.23,4.2,4.33,4.35,4.59,4.59,4.55,4.59,4.11
89,5.41,5.41,5.42,5.41,5.42,5.42,5.43,5.43,5.41,5.4,4.54
90,3.37,3.37,3.37,3.37,3.38,3.38,3.41,3.4,3.37,3.37,7.41
91,6.96,6.95,6.95,6.95,6.94,6.94,6.95,6.96,6.95,6.95,18.71
92,3.2,3.2,3.27,3.41,3.41,3.41,3.69,4.11,4.32,4.32,3.03
93,,,,,,0.04,0.04,0.04,0.02,0.02,5.49
94,3.55,3.55,3.55,3.54,3.53,3.53,3.53,3.53,3.54,3.55,2.37
95,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.55,3.55,3.55,5.33
96,9.04,9.32,9.67,10.28,11.51,11.51,12.52,12.52,12.52,12.52,8.76
97,11.66,11.66,11.71,11.72,12.21,12.21,12.21,12.21,12.22,12.22,5.41
98,9.16,9.25,9.45,9.77,11.29,11.31,12.75,13.0,13.7,14.1,3.44
99,6.37,6.38,6.37,6.37,6.37,6.37,6.39,6.39,6.38,6.42,4.32
100,5.75,5.75,5.75,5.73,5.73,5.73,5.73,5.73,5.73,5.73,3.56
101,0.91,0.9,0.9,0.9,0.91,0.91,0.96,0.97,0.95,0.94,3.55
102,3.16,3.16,3.17,3.18,3.18,3.18,3.18,3.28,3.26,3.29,4.09
103,4.79,4.8,4.79,4.79,4.8,4.8,4.8,4.8,4.79,4.79,12.23
105,3.87,4.84,5.84,7.36,9.14,9.14,9.5,9.5,9.5,9.5,6.52
106,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,5.72
107,2.56,2.56,2.56,2.56,2.56,2.56,2.55,2.55,2.54,2.56,8.29
108,5.43,5.44,5.45,5.44,5.45,5.45,5.46,5.47,5.89,5.91,5.45
109,6.42,6.83,7.19,7.53,7.69,7.69,7.72,7.76,7.97,8.15,1.12
110,5.14,5.19,5.17,5.21,5.18,5.17,5.24,5.31,5.8,6.11,5.47
111,6.39,7.25,7.79,8.28,10.1,10.1,13.88,14.48,14.53,14.61,3.31
112,5.04,5.15,5.3,5.62,6.26,6.25,6.35,6.35,6.36,6.32,9.5
113,13.25,13.72,14.15,14.4,14.98,15.0,16.08,17.05,17.66,17.99,0.29
114,1.85,1.83,1.81,1.81,1.8,1.85,1.81,1.77,1.31,1.34,2.56
115,12.25,15.15,15.94,16.23,16.22,16.22,16.22,16.22,16.2,16.2,6.77
116,5.94,6.71,7.11,7.38,8.51,8.57,11.44,13.26,15.03,16.14,5.95
117,10.36,10.92,11.35,11.61,12.48,12.47,14.94,15.04,15.78,16.09,8.21
118,4.16,4.17,4.26,4.32,4.44,4.44,4.43,4.44,4.43,4.43,9.04
119,4.63,4.62,4.61,4.61,4.6,4.62,5.7,8.68,8.71,8.69,6.32
120,2.54,2.53,2.55,2.59,2.66,2.66,2.85,2.85,2.81,2.82,14.61
121,7.75,7.74,7.75,7.73,7.75,7.74,7.74,7.73,7.71,7.7,7.09
122,,,,,,,,,0.0,,1.42
123,7.83,7.83,7.82,7.82,7.82,7.82,7.82,7.83,7.82,7.82,16.2
124,6.4,6.4,6.4,6.38,6.35,6.35,6.35,6.33,6.33,6.34,18.71
125,9.2,9.39,9.6,9.65,9.85,9.87,10.41,10.74,11.19,12.37,11.15
126,0.06,0.38,0.99,1.38,2.74,2.74,3.07,3.43,3.82,3.92,16.25
127,3.29,3.29,3.28,3.29,3.3,3.31,3.27,3.27,3.21,3.22,4.44
128,5.35,5.34,5.33,5.32,5.32,5.32,5.32,5.32,5.35,5.35,2.89
129,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.69,7.72
130,7.57,7.62,7.68,7.67,8.32,8.28,9.49,10.64,11.03,11.31,1.32
131,7.09,7.55,7.91,8.02,8.03,8.02,8.02,8.31,8.29,8.29,4.95
132,2.16,2.18,2.19,2.19,2.19,2.19,2.27,2.39,2.44,2.41,0.0
133,4.7,4.71,4.73,4.74,3.97,4.79,4.75,4.78,4.7,4.68,7.82
134,1.85,1.85,1.85,1.85,1.85,1.85,2.13,2.13,2.14,2.14,6.35
135,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,13.2
136,7.62,7.88,8.02,8.17,8.4,8.42,8.48,8.61,8.82,8.88,8.63
137,5.44,5.51,5.48,5.47,5.54,5.55,5.48,5.49,5.46,5.46,1.85
138,2.38,2.37,2.37,2.37,2.35,2.35,2.43,2.43,2.83,2.87,3.23
139,5.01,4.99,4.98,4.98,4.97,4.98,5.11,5.16,5.04,5.04,5.34
140,9.8,9.79,9.77,9.77,9.77,9.75,9.7,9.7,10.37,10.35,8.69
141,2.66,2.53,2.48,2.52,2.44,2.45,2.43,2.41,2.36,2.35,11.71
142,5.89,5.89,5.89,5.89,5.88,5.88,6.18,6.18,6.31,6.45,2.45
143,6.18,6.21,6.22,6.19,6.26,6.26,6.38,6.8,6.76,6.75,2.16
144,1.48,1.49,1.59,1.7,1.92,1.91,1.91,1.93,1.93,2.23,6.47
145,6.38,6.38,6.37,6.38,6.39,6.39,6.13,6.13,6.12,6.12,9.33
146,6.27,6.45,6.45,6.5,6.78,6.79,6.78,6.78,6.78,6.79,1.72
147,8.32,8.49,8.52,8.66,9.02,9.03,9.02,9.02,9.02,9.01,0.01
148,6.13,6.27,6.27,6.26,6.55,6.55,6.82,6.83,6.87,6.79,9.53
149,3.64,4.1,4.48,4.48,4.47,4.47,4.55,4.69,4.71,4.72,2.89
150,5.35,5.35,5.35,5.35,5.36,5.36,5.79,5.94,5.94,6.73,5.11
151,10.94,11.24,11.23,11.23,11.46,11.47,11.43,11.45,11.4,11.4,10.79
152,2.99,2.94,2.95,2.94,3.0,3.0,3.16,3.24,3.33,3.35,2.35
153,12.25,12.25,12.25,12.25,12.26,12.26,12.23,12.39,12.86,13.52,6.48
154,7.83,7.84,7.83,7.83,7.84,7.84,7.89,7.91,8.41,8.4,2.34
155,7.81,8.04,8.14,8.49,9.24,9.25,9.29,9.37,9.39,9.38,6.13
156,11.04,11.68,12.07,12.53,12.9,12.88,13.39,14.4,14.98,15.29,6.85
