"id","y_2017","y_2021","y_2022"
2,0.1317,0.1317,0.1317
3,0.5959,0.5995,0.5997
4,0.1151,0.1151,0.1151
5,0.0736,0.0736,0.0736
6,0.1754,0.1753,0.1753
7,0.2106,0.2106,0.2106
8,0.1947,0.1947,0.1947
9,0.0756,0.0757,0.0757
10,0.2793,0.2735,0.2735
11,0.2028,0.2051,0.2051
12,0.0207,0.0207,0.0207
13,0.1619,0.1619,0.1619
14,0.1654,0.1654,0.1652
15,0.238,0.238,0.238
16,0.2546,0.2533,0.2533
17,0.2009,0.2009,0.2008
18,0.2201,0.2213,0.2215
19,0.3411,0.3442,0.3442
20,0.144,0.1444,0.1446
21,0.2048,0.204,0.204
22,0.1452,0.1453,0.1448
23,0.0626,0.0627,0.0627
24,0.117,0.1171,0.1163
25,0.2003,0.2003,0.2003
26,,,3e-04
27,0.1234,0.1251,0.1251
28,0.0978,0.0978,0.0978
29,0.0867,0.0867,0.0867
30,0.1314,0.1322,0.1328
31,0.1755,0.1755,0.1755
32,0.039,0.039,0.039
33,0.0277,0.0278,0.0277
34,0.1904,0.2219,0.2219
35,,,2e-04
36,0.2011,0.2004,0.2004
37,0.1558,0.1558,0.1558
38,0.1903,0.1903,0.1903
39,0.2191,0.2191,0.2191
40,0.1168,0.1168,0.1168
41,0.1125,0.1125,0.1125
42,0.1238,0.1238,0.1238
43,0.1434,0.143,0.143
44,0.099,0.099,0.099
45,0.1984,0.2876,0.2943
46,0.0936,0.0936,0.0932
47,0.0336,0.0336,0.0336
48,0.0093,,0.0095
49,0.1084,0.1087,0.1087
50,0.1136,0.1136,0.1136
51,0.124,0.124,0.1258
52,0.0966,0.1064,0.1064
53,0.1628,0.1628,0.1628
54,0.136,0.136,0.136
55,0.2058,0.2058,0.2058
56,0.0541,0.0541,0.0541
57,0.0446,0.0538,0.0538
58,0.1007,0.1007,0.1007
59,0.1116,0.1116,0.1116
60,0.0396,0.0379,0.0376
61,0.0764,0.0764,0.0764
62,0.0036,0.0036,0.0034
64,0.066,0.0675,0.0677
65,0.0174,0.0174,0.0175
66,0.0189,0.025,0.0252
67,0.013,0.013,0.013
68,0.1512,0.1512,0.1507
69,0.1167,0.1167,0.1167
70,0.118,0.118,0.118
71,0.0923,0.0923,0.0921
72,0.0921,0.0922,0.0934
73,0.1161,0.1176,0.1176
74,0.0749,0.0749,0.0749
75,0.0785,0.0783,0.0786
76,0.0812,0.0834,0.0844
77,0.1162,0.1157,0.1151
78,0.1468,0.1469,0.1474
79,0.014,0.014,0.014
80,0.0413,0.0412,0.0411
81,0.0715,0.0732,0.0729
82,0.0884,0.097,0.0965
83,,,
84,,,
85,0.1313,0.1333,0.1333
86,0.0388,0.0388,0.0388
87,0.0867,0.0867,0.0867
88,0.1622,0.1638,0.1638
89,0.1196,0.1196,0.1196
90,0.0918,0.0918,0.0918
91,0.1177,0.1177,0.1177
92,0.04,0.0531,0.0535
93,0.0369,0.0403,0.0418
94,0.147,0.147,0.147
95,0.1045,0.1046,0.1044
96,0.0959,0.1054,0.1054
97,0.1772,0.1772,0.1774
98,0.166,0.1744,0.1745
99,0.1539,0.1539,0.1539
100,0.1848,0.1913,0.1913
101,0.0661,0.0661,0.0661
102,0.0622,0.0622,0.0622
103,0.0418,0.0493,0.0491
105,0.0525,0.0536,0.0536
106,0.0416,0.0416,0.0416
107,0.0339,0.0395,0.0395
108,0.0733,0.0733,
109,0.1482,0.1482,0.1484
110,0.0772,0.0772,0.0772
111,0.1764,0.2121,0.2102
112,0.0185,0.0185,0.0187
113,0.2645,0.2762,0.2768
114,0.1614,0.1594,0.1624
115,0.2366,0.2366,0.2366
116,0.2424,0.252,
117,0.2078,0.2326,0.2326
118,0.0903,0.0903,
119,0.144,0.1428,0.1428
120,0.1295,0.1293,0.1293
121,0.1478,0.1478,0.1587
122,0.0791,0.0902,0.0902
123,0.1749,0.1992,0.1993
124,0.1989,0.199,0.199
125,0.2231,0.2247,0.2247
126,0.0279,0.0544,0.0546
127,0.129,0.129,0.129
128,0.1218,0.1216,0.1216
129,0.1895,0.1895,0.1895
130,,,1e-04
131,0.1308,0.1308,0.1308
132,0.0776,0.0776,0.0776
133,0.0645,0.0645,0.0645
134,0.052,0.052,0.052
135,0.0202,0.0202,0.0202
136,0.115,0.1176,0.1177
137,0.1474,0.1474,0.1425
138,0.1014,0.1014,0.1014
139,0.1546,0.1781,0.1685
140,0.2571,0.2665,0.2672
141,0.1753,0.1753,0.1753
142,0.0819,0.0819,0.0819
143,0.1485,0.1485,0.1485
144,0.0393,0.0393,
145,0.0232,0.0232,
146,0.1488,0.1487,0.1487
147,0.0977,0.102,0.102
148,0.1692,0.1713,0.1713
149,0.0333,0.0333,0.0333
150,0.1217,0.1217,0.1295
151,0.1756,0.1756,0.1756
152,0.0912,0.0912,0.0912
153,0.2289,0.2289,0.2289
154,0.1692,0.1692,0.169
155,0.1556,0.1559,0.1559
156,0.1221,0.125,0.1324
157,0.1678,0.1678,0.1678
158,0.2357,0.2372,0.2419
159,0.1179,0.1216,0.1216
160,0.2108,0.2134,0.2137
161,0.0625,0.0659,0.0659
162,0.1599,0.1599,0.16
163,0.1226,0.1226,0.1226
164,0.1914,0.1914,0.1914
165,0.051,0.051,0.0511
166,0.0446,0.0446,0.0469
167,0.0603,0.0603,0.0603
168,0.1176,0.1176,0.1176
169,0.0878,0.09,0.09
170,0.1113,0.113,0.113
171,0.0409,0.0409,0.0409
172,0.1347,0.181,0.1965
173,0.0881,0.0882,0.0882
174,0.2041,0.2067,0.2062
175,0.2213,0.2213,0.2213
176,0.2038,0.2038,0.2038
177,0.1859,0.1859,0.1859
178,0.1874,0.2104,0.2105
179,0.2303,0.2301,0.2301
180,0.1162,0.1165,0.1165
181,0.1901,0.1904,0.1904
182,0.0864,0.0846,0.0846
183,0.0617,0.0617,0.0618
184,0.1076,0.1076,0.1076
185,0.0189,0.0189,0.0189
186,0.1955,0.1955,0.1955
187,0.0847,0.0847,0.085
188,0.0828,0.0916,0.0916
189,0.0398,0.0398,0.0405
190,0.1896,0.1896,0.1896
191,0.1087,0.1093,0.109
192,0.1016,0.1503,0.1504
193,0.1163,0.1163,0.1163
194,0.1346,0.1534,
195,0.0882,0.088,0.0035
196,0.0771,0.0828,0.0828
197,0.1207,0.1207,0.1207
