id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
2,4.1,4.1,4.1,4.11,4.11,4.11,4.11,4.11,4.11,4.11,4.11,4.10557,4.10557
3,11.6,11.6,11.6,11.56,11.56,11.56,11.56,11.56,11.56,11.56,11.56,11.5615,11.5615
4,3.3,3.3,3.3,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.2924200000000003,3.2924200000000003
5,1.7,1.7,1.7,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.6714099999999998,1.6714099999999998
6,4.0,4.0,4.0,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03223,4.03223
7,5.5,5.5,5.5,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.47938,5.47938
8,6.0,6.0,6.0,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.9652899999999995,5.9652899999999995
9,0.9,0.9,0.9,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.935625,0.935625
10,5.5,5.5,5.5,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51246,5.51246
11,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.10089,5.10089
12,1.6,1.6,1.6,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.58853,1.58853
13,4.6,4.6,4.6,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57411,4.57411
14,4.4,4.4,4.4,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.33432,4.33432
15,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.90225,6.90225
16,7.3,7.3,7.3,7.25,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.23974,7.23974
17,4.5,4.5,4.5,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.53181,4.53181
18,6.2,6.2,6.2,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15168,6.15168
19,8.4,8.4,8.4,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38024,8.38024
20,4.0,4.0,4.0,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,4.00661,4.00661
21,9.1,9.1,9.1,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12321,9.12321
22,3.1,3.1,3.1,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.13891,3.13891
23,2.8,2.8,2.8,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81161,2.81161
24,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.80077,1.80077
25,6.5,6.5,6.5,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53014,6.53014
26,11.3,11.3,11.3,11.28,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.3198,11.3198
