id,y_2000,y_2010,y_2020
2,911,688,448
3,611,669,809
4,78,16,19
5,484,502,550
6,1475,1288,1274
7,7,5,26
8,125,207,207
9,182,95,84
10,1860,1746,1203
11,33,59,47
12,693,1166,953
13,470,724,728
14,719,1616,2074
15,115,177,139
16,1163,2047,1834
17,2360,2252,1877
18,278,298,351
19,70,143,193
20,45,170,218
21,1259,1432,1636
22,458,367,445
23,458,487,591
24,129,62,54
25,78,108,122
26,571,938,1013
27,209,852,790
28,14,17,32
29,24,34,55
30,1156,1103,1122
31,21,21,12
32,15,30,37
33,321,373,436
34,638,847,1878
35,40,338,557
36,191,188,367
37,2021,1334,939
38,272,500,771
39,443,1180,1294
40,667,1685,1676
41,125,162,185
42,84,169,244
43,54,104,140
44,23,83,81
45,0,585,2045
46,560,972,1107
47,60,86,109
48,107,673,711
49,103,1089,1366
50,1394,1089,802
51,726,537,431
52,626,798,712
53,2011,1569,1429
54,304,430,372
55,98,119,91
56,59,64,65
57,668,455,723
58,364,628,599
59,871,1252,1396
60,478,764,1288
61,247,466,548
62,1026,636,1189
64,516,1326,2011
65,45,417,803
66,426,843,908
67,13,239,543
68,590,752,982
69,20,55,66
70,1295,1197,1048
71,527,831,872
72,129,503,1866
73,180,980,1345
74,79,92,118
75,2,198,378
76,52,513,1034
77,53,1375,2208
78,166,470,838
79,667,351,242
80,78,853,1048
81,103,297,377
82,0,488,1115
83,149,114,104
84,198,84,124
85,1716,1678,1477
86,1427,921,842
87,544,352,435
88,1392,974,924
89,559,603,439
90,439,499,513
91,561,758,686
92,,605,1087
93,329,640,568
94,1088,784,608
95,289,491,489
96,689,1344,1915
97,280,823,1182
98,34,1191,1868
99,238,295,211
100,1563,1376,1108
101,1007,622,665
102,708,690,586
103,528,698,902
105,170,184,270
106,342,325,321
107,340,880,973
108,208,337,330
109,31,557,737
110,37,511,750
111,113,937,2141
112,23,498,771
113,185,2259,2949
114,1076,831,772
115,25,215,455
116,781,1098,1149
117,99,2223,3239
118,26,45,46
119,85,301,662
120,696,1338,1278
121,841,1018,826
122,20,,0
123,2195,2242,2173
124,1175,1233,1234
125,662,2064,2099
126,789,13,768
127,639,1182,1082
128,1238,1057,897
129,47,61,59
130,47,94,283
131,347,418,546
132,62,25,23
133,34,31,35
134,417,346,443
135,667,812,643
136,7,403,748
137,25,952,1059
138,242,271,350
139,577,1217,1096
140,877,1207,1406
141,336,554,440
142,814,1131,1169
143,16,22,29
144,606,861,996
145,255,590,545
146,184,576,693
147,472,733,1104
148,43,131,136
149,3,55,129
150,453,1139,1299
151,25,227,301
152,225,388,388
153,157,1403,1779
154,432,862,1047
155,385,1031,1784
156,90,1847,2496
157,1233,1295,1060
158,1158,2619,2498
159,629,829,767
160,2129,2203,2098
161,478,1154,1039
162,771,965,739
163,513,304,434
164,1593,1063,1280
165,937,1106,833
166,413,656,760
167,312,446,382
168,812,782,677
169,5,240,375
170,29,110,140
171,26,108,172
172,21,234,428
173,245,700,800
174,44,397,361
175,50,50,77
176,42,177,203
177,19,60,68
178,99,348,713
179,89,40,94
180,249,393,465
181,110,166,179
182,888,704,584
183,328,444,439
184,153,49,27
185,509,962,861
186,714,961,785
187,26,81,150
188,30,151,249
189,52,186,147
190,258,572,616
191,439,802,978
192,259,913,1908
193,41,133,188
194,103,134,179
195,21,664,1918
196,41,1282,1406
197,840,919,937
198,171,159,185
199,1228,1618,1595
200,727,525,606
201,77,121,257
202,835,941,597
203,6,455,686
204,23,73,121
205,29,34,46
206,40,55,94
207,4,556,1897
208,4,20,35
209,482,1362,2511
210,149,98,282
211,270,1494,1554
212,525,474,379
213,30,28,30
215,7,3,34
216,27,47,47
217,0,10,11
218,254,686,937
219,281,391,1231
220,254,374,293
221,283,1163,1573
222,49,39,58
223,1295,1166,817
224,133,288,313
225,94,206,340
226,80,131,113
227,381,1239,1182
228,20,327,356
229,224,546,2128
230,782,823,720
231,130,657,1295
232,210,931,1218
233,56,246,258
234,682,1063,1198
235,91,156,116
236,66,28,17
237,459,1099,1809
238,772,1427,1417
240,245,367,411
241,33,35,20
242,,975,1014
243,11,7,472
244,901,943,875
245,536,706,586
246,518,926,1059
247,285,535,464
248,335,678,787
249,464,333,370
250,211,808,1066
251,185,741,1214
252,162,223,292
253,63,117,188
254,24,183,452
255,117,229,240
256,25,199,1648
257,28,408,778
258,1090,1733,1757
259,427,1507,1697
260,2493,2791,3402
261,173,147,174
262,123,164,194
263,65,76,87
264,408,699,1272
265,225,427,456
266,141,958,1382
267,92,1130,1432
268,474,701,662
269,52,148,188
270,399,660,490
271,1071,966,758
272,287,560,770
273,40,861,1499
274,,372,560
275,419,797,985
276,104,554,732
277,148,555,1375
278,235,549,992
279,81,551,817
280,86,610,586
281,501,493,727
282,214,760,844
283,725,1548,1570
284,11,21,187
285,,,
286,20,31,38
287,120,566,613
288,154,186,241
289,107,801,1332
290,411,356,362
291,1009,1009,1274
292,785,909,765
293,798,654,541
294,1034,840,848
295,1382,1232,1060
296,39,505,1397
297,3,5,15
298,134,341,449
299,740,1208,1840
300,143,261,256
301,472,899,1070
302,182,368,449
303,221,307,472
304,431,163,317
305,187,533,805
306,1387,1155,989
307,1602,1506,1444
308,44,37,66
309,19,102,156
310,59,167,222
311,1353,1068,871
312,1191,1081,769
313,297,620,583
314,661,596,397
315,374,50,138
316,1751,1332,1294
317,751,685,539
318,77,103,158
319,857,750,912
320,40,42,31
321,1171,1003,837
322,433,525,434
323,1162,1241,1201
324,233,359,418
325,939,1259,1116
326,1019,851,488
327,1225,1108,918
328,225,496,482
329,446,1302,1273
330,181,1159,1237
331,198,338,1034
332,160,633,989
333,830,1310,1462
334,,159,57
335,24,259,411
336,293,1486,3485
337,14,349,595
338,893,717,351
339,61,103,122
343,824,192,139
344,575,534,353
345,23,224,275
346,977,1505,1567
347,820,485,613
348,304,1022,1228
349,43,290,212
350,37,62,89
351,133,158,141
352,94,332,310
353,76,70,107
354,66,215,354
355,76,229,241
356,43,314,395
357,212,215,239
358,45,115,202
359,29,34,41
360,571,1748,2246
361,1817,831,752
362,2837,2597,2298
363,2281,2011,1995
364,11,6,11
365,237,296,227
366,391,140,177
367,645,349,527
368,335,408,345
369,1245,1081,719
370,2537,2179,2172
371,5554,5011,4083
372,554,2518,3364
373,46,72,110
374,2148,1981,2039
375,35,33,55
376,609,1368,1545
377,278,2705,3321
378,566,327,292
379,98,158,154
380,144,188,293
381,544,477,387
382,3380,2277,1601
383,667,593,354
385,3256,3096,3410
386,1707,1188,581
387,1281,1718,1679
388,1869,949,484
389,2317,2455,2084
390,172,291,382
391,94,159,87
392,165,230,290
393,391,311,340
394,649,675,639
395,72,123,217
396,22,92,257
397,11,148,190
398,,25,64
399,56,122,247
400,51,60,67
401,83,140,218
402,38,97,88
403,28,110,246
404,312,325,306
405,3,206,229
406,93,170,296
407,38,211,275
408,47,224,275
409,40,52,44
410,11,40,32
411,14,122,203
412,22,13,17
413,66,174,161
416,19,222,314
417,41,197,266
418,64,199,286
419,90,116,119
420,69,111,101
421,5,158,232
422,53,139,472
423,41,143,483
424,40,23,34
425,28,49,79
426,132,242,318
428,25,140,296
430,431,698,854
431,80,260,300
432,91,108,124
433,18,47,40
434,60,384,782
435,28,41,69
436,77,273,316
437,344,382,1122
438,4,30,236
442,455,504,596
443,94,210,244
444,169,225,218
445,111,156,216
446,39,139,160
447,53,228,444
448,6,117,288
449,48,85,52
450,112,392,504
451,41,87,172
452,130,128,236
453,103,268,698
454,23,129,103
455,63,92,130
456,38,27,40
457,25,25,35
458,55,52,59
