"id","y_2011","y_2013","y_2015","y_2017","y_2020","y_2022"
2,1082,664,662,663,652,651
3,3559,3306,3317,4109,7091,7502
4,175,156,167,163,162,172
5,332,329,331,319,341,346
6,825,820,817,814,773,811
7,113,0,0,0,0,0
8,431,208,208,215,217,243
9,305,305,302,294,322,320
10,1599,1595,1592,1586,1705,1736
11,1071,994,1006,1011,1014,1022
12,1257,1257,1257,1257,1257,1257
13,1665,1518,1535,1539,1195,1545
14,1314,1315,1614,1609,1382,1613
15,635,474,457,471,488,491
16,2119,2112,2076,2113,2113,2113
17,1256,1256,1256,1253,1253,1253
18,621,168,172,409,402,432
19,683,684,574,574,598,598
20,1092,1151,624,314,314,314
21,1167,1211,1219,1219,1269,1893
22,419,316,417,565,1532,2126
23,415,401,364,364,514,514
24,436,434,417,414,384,321
25,22,22,22,22,20,156
26,51,62,64,61,54,62
27,990,988,596,596,555,563
28,493,431,447,450,488,489
29,339,339,338,338,339,343
30,496,497,847,1089,1583,1598
31,466,0,366,373,373,372
32,220,220,220,220,220,220
33,596,589,624,628,625,624
34,479,496,525,504,585,1076
35,0,0,0,0,0,0
36,768,769,586,675,675,675
37,790,780,779,632,5,324
38,671,661,662,661,654,729
39,759,771,748,877,834,882
40,1183,1182,1183,1193,1237,1246
41,726,460,232,146,146,290
42,1096,2,193,193,193,193
43,496,485,488,488,489,488
44,335,0,0,0,0,0
45,24,0,812,882,1037,1044
46,957,956,956,641,641,641
47,278,277,277,529,540,541
48,515,497,495,493,487,505
49,669,671,708,602,598,752
50,1053,1053,1054,1054,976,985
51,737,737,702,731,1104,1270
52,577,624,286,331,544,546
53,1057,1060,1222,1060,1060,1394
54,534,534,333,311,308,309
55,261,262,262,263,261,261
56,0,0,0,0,0,0
57,683,669,566,669,817,817
58,485,485,485,485,483,483
59,1096,1101,1110,1010,1063,1279
60,656,249,429,729,858,1732
61,433,433,434,434,435,436
62,0,0,0,0,,
64,1971,1713,1887,2014,1306,1305
65,809,663,663,663,660,659
66,0,0,0,0,0,0
67,321,629,629,629,830,853
68,1093,1073,1073,1073,1072,1072
69,469,0,0,0,0,0
70,522,520,518,517,517,522
71,1408,1417,1425,1425,1406,1406
72,0,0,0,0,0,0
73,539,537,535,537,512,532
74,704,15,15,0,0,0
75,0,0,492,517,1027,1027
76,228,269,540,386,698,722
77,1999,1790,1890,2119,2157,2190
78,593,584,595,858,1063,1063
79,679,679,518,679,679,679
80,1002,1016,1003,1015,1016,1059
81,454,438,438,450,450,531
82,559,558,558,617,1146,1145
83,87,88,94,73,74,78
84,69,63,62,43,21,32
85,781,776,771,767,754,762
86,1050,969,1068,1068,2228,2228
87,690,677,677,677,715,714
88,481,474,469,475,481,540
89,549,549,543,543,476,541
90,826,828,828,425,424,424
91,840,839,839,838,813,839
92,883,1032,1206,1220,1407,1629
93,624,624,624,624,622,486
94,160,138,138,137,136,306
95,627,636,636,495,604,604
96,1180,1522,1804,1925,2172,2172
97,370,370,370,581,850,850
98,520,499,532,533,759,807
99,572,539,538,538,323,579
100,701,701,701,678,679,679
101,729,728,728,727,474,727
102,524,523,524,525,531,536
103,479,481,480,404,714,748
105,434,525,633,868,1000,998
106,726,720,720,720,720,719
