"id","y_2016","y_2017","y_2018","y_2019","y_2022"
2,230,231,205,211,959
3,4011,3976,2936,7239,8364
4,93,11,7,91,102
5,93,128,140,125,158
6,528,525,507,787,811
7,171,117,115,141,514
8,298,298,287,498,554
9,301,291,304,322,317
10,986,984,945,1263,1413
11,374,375,379,514,633
12,1169,1169,1169,677,1257
13,0,0,0,0,0
14,764,764,188,459,764
15,0,0,0,0,0
16,1208,275,300,1365,1403
17,383,383,394,405,974
18,1409,1202,1121,1502,1535
19,0,0,0,509,533
20,321,321,306,418,335
21,337,337,326,181,1494
22,0,0,0,0,850
23,3,3,8,0,3
24,0,0,0,0,6
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,550,488,490,585,588
29,0,0,0,0,0
30,948,1057,0,1550,1605
31,179,182,137,207,187
32,0,0,0,220,6
33,390,390,0,586,392
34,0,0,0,0,0
35,0,0,0,0,0
36,625,637,689,869,828
37,0,0,0,0,0
38,0,0,0,0,0
39,0,0,0,247,100
40,576,435,428,786,956
41,9,9,22,278,9
42,0,0,0,0,46
43,0,0,0,0,401
44,0,0,0,0,2
45,0,0,0,1227,1199
46,0,0,0,0,0
47,0,0,0,0,0
48,0,0,0,91,102
49,0,0,0,0,0
50,774,774,846,681,668
51,256,250,590,540,702
52,0,0,0,613,162
53,280,0,0,274,279
54,0,0,0,0,0
55,311,290,256,265,309
56,174,174,181,234,195
57,0,0,0,709,0
58,239,239,233,232,238
59,606,606,623,677,620
60,0,0,0,0,0
61,0,0,0,0,0
62,0,0,0,0,
64,528,0,0,0,1229
65,0,0,0,0,0
66,79,79,79,223,1353
67,0,0,0,0,0
68,643,643,0,0,0
69,0,0,0,0,37
70,121,139,16,157,118
71,416,417,416,405,597
72,1,0,0,99,331
73,0,0,0,0,0
74,0,0,0,509,508
75,758,690,633,1209,1200
76,75,81,64,177,128
77,1281,1270,1330,1381,1301
78,296,296,0,0,0
79,518,120,0,679,679
80,0,0,0,0,0
81,96,96,0,0,0
82,0,0,0,0,202
83,0,0,0,0,0
84,0,0,0,0,0
85,0,673,662,665,0
86,826,285,323,1673,358
87,325,305,620,648,400
88,0,0,0,0,0
89,0,0,0,0,0
90,123,123,126,292,266
91,0,0,0,11,0
92,0,0,0,0,1341
93,620,620,620,620,484
94,70,0,0,49,238
95,0,0,0,0,639
96,590,649,668,825,836
97,0,0,0,0,320
98,8,2,0,9,8
99,0,0,0,231,0
100,259,259,185,182,308
101,0,0,0,0,587
102,51,51,38,33,338
103,0,0,0,0,807
105,76,76,33,35,74
106,710,710,708,711,727
107,0,0,0,0,0
108,0,0,0,0,8
109,413,420,342,584,662
110,246,246,246,246,244
111,0,0,0,138,133
112,0,0,0,0,0
113,0,0,0,0,0
114,0,0,0,47,0
115,638,561,570,946,1043
116,709,708,706,995,1302
117,0,0,0,0,0
118,0,0,0,0,0
119,0,0,0,0,0
120,1,0,0,142,1
121,0,0,0,6,0
122,,,,,
123,889,888,765,819,888
124,722,518,592,854,853
125,0,0,0,0,0
126,0,0,0,0,632
127,462,188,189,379,765
128,11,11,14,729,731
129,123,123,108,219,236
130,0,0,0,0,0
131,0,0,0,0,0
132,0,0,0,184,54
133,0,0,0,559,562
134,0,0,0,0,0
135,555,555,555,654,654
136,10,10,13,13,19
137,0,0,0,0,0
138,247,246,228,240,296
139,308,308,114,236,212
140,0,0,0,0,0
141,0,0,0,0,0
142,0,0,0,0,0
143,0,0,0,73,81
144,0,0,0,0,0
145,0,0,0,0,0
146,0,0,0,0,0
147,569,517,609,629,605
148,0,0,0,0,0
149,0,0,0,0,0
150,0,0,0,0,0
151,0,0,0,544,868
152,0,0,0,0,0
153,487,487,467,501,741
154,580,579,579,596,619
155,0,0,0,0,0
156,0,0,0,0,0
157,124,121,0,0,328
158,0,0,0,0,0
159,0,0,0,0,0
160,0,0,0,0,0
161,0,0,0,0,0
162,194,194,187,283,248
163,528,522,837,880,912
164,1655,183,131,1772,1758
165,741,741,794,741,738
166,537,439,433,523,587
167,358,7,7,359,440
168,547,546,575,553,547
169,0,0,176,154,0
170,248,133,181,255,441
171,367,432,451,468,440
172,212,0,0,323,779
173,0,0,0,0,0
174,0,0,0,13,16
175,0,0,0,0,0
176,286,286,287,308,285
177,0,0,0,53,187
178,13,13,7,20,23
179,122,122,120,147,131
180,0,0,0,0,0
181,0,0,0,0,0
182,206,206,0,0,206
183,61,61,68,55,61
184,297,233,450,494,472
185,694,694,694,694,694
186,0,0,0,0,0
187,38,38,8,224,225
188,0,0,28,633,772
189,405,405,400,400,400
190,0,0,0,0,0
191,0,0,0,0,283
192,621,0,0,634,724
193,412,387,375,557,587
194,212,212,152,171,211
195,0,0,0,0,0
196,282,289,273,216,295
197,175,0,2,177,268
198,0,0,0,0,0
199,0,0,0,32,32
200,0,0,0,0,0
201,234,523,689,780,523
202,0,0,0,0,0
203,0,0,0,0,0
204,504,472,512,422,516
205,0,0,0,0,0
206,462,461,454,454,466
207,246,0,0,755,1019
208,69,0,0,71,64
209,0,0,0,13,77
210,1504,1508,1519,1541,1541
211,0,0,0,0,0
212,199,199,203,196,242
213,335,322,265,353,469
215,4,0,0,0,4
216,6,0,0,9,6
217,10,0,0,14,10
218,372,0,0,258,395
219,217,229,232,23,351
220,0,0,0,0,0
221,601,0,0,176,889
222,0,0,0,0,0
223,348,346,347,381,348
224,445,445,473,847,450
225,0,0,0,0,0
226,0,0,0,2,4
227,0,0,0,0,0
228,0,0,0,262,248
229,0,0,0,154,616
230,0,0,0,0,0
231,413,428,432,434,681
232,199,198,171,1083,1162
233,0,0,0,848,1103
234,139,140,140,0,1150
235,5,5,6,10,8
236,0,0,0,58,77
237,0,0,0,0,0
238,0,0,0,0,126
240,74,0,0,20,998
241,0,0,0,0,0
242,0,0,0,0,0
243,0,0,0,0,0
244,0,0,0,0,0
245,0,0,0,0,0
246,0,0,0,0,0
247,453,0,0,458,458
248,0,0,0,0,0
249,531,531,531,522,522
250,258,258,258,233,258
251,97,97,99,117,111
252,0,0,0,0,0
253,90,91,71,49,206
254,300,284,284,459,330
255,213,213,147,137,213
256,0,0,0,0,0
257,794,842,977,1802,1731
258,0,0,0,88,71
259,0,0,0,0,15
260,223,223,246,286,222
261,0,0,21,360,181
262,0,0,16,19,0
263,35,87,61,120,117
264,0,0,0,0,0
265,67,67,76,169,168
266,0,0,0,0,0
267,0,0,0,0,0
268,390,390,341,435,389
269,663,663,644,862,840
270,0,0,0,0,0
271,16,16,34,11,94
272,0,0,0,0,0
273,0,0,0,0,0
274,554,554,554,288,554
275,4,4,4,0,4
276,0,0,0,0,0
277,0,0,0,0,0
278,0,0,0,0,0
279,0,0,0,0,0
280,0,0,0,0,0
281,0,0,0,0,0
282,0,0,0,0,0
283,0,0,0,0,0
284,0,0,0,885,964
285,,,,,
286,0,0,0,0,0
287,1188,929,948,1199,1197
288,2,2,2,78,865
289,61,64,48,134,694
290,76,77,76,67,524
291,0,0,0,0,757
292,0,0,0,0,0
293,280,287,285,325,287
294,112,110,111,125,112
295,139,139,0,0,154
296,6,0,0,0,0
297,128,128,130,137,146
298,797,797,798,798,798
299,125,0,0,63,84
300,569,569,569,569,570
301,42,0,0,44,41
302,241,241,247,596,687
303,4,0,0,958,64
304,0,0,0,0,51
305,0,0,0,0,0
306,0,0,0,0,0
307,428,428,379,448,429
308,80,80,58,338,332
309,0,0,0,0,0
310,317,318,350,332,331
311,0,324,325,313,36
312,73,73,51,140,127
313,0,0,0,0,0
314,30,0,7,110,73
315,287,0,0,1208,46
316,1220,1220,1206,1298,1187
317,0,0,0,0,0
318,3,0,0,174,222
319,0,0,0,0,905
320,280,279,272,329,289
321,1,0,0,198,2
322,0,0,0,0,0
323,0,0,0,0,0
324,7,0,0,0,0
325,487,210,198,817,782
326,0,0,0,0,0
327,392,159,135,520,427
328,0,0,0,0,283
329,0,0,0,0,252
330,0,0,0,0,0
331,545,545,727,1367,1487
332,0,0,0,0,0
333,0,0,0,0,0
334,0,0,0,0,0
335,471,470,542,479,598
336,0,0,0,0,0
337,404,427,439,438,428
338,254,496,0,984,1857
339,1186,1341,163,1418,2107
343,403,404,377,360,1164
344,263,263,261,258,693
345,1,1,1,0,1
346,0,0,0,0,0
347,345,348,355,404,475
348,4,4,0,0,4
349,163,0,0,181,167
350,666,38,0,625,660
351,0,185,182,188,194
352,2,2,8,4,13
353,0,154,164,156,176
354,746,737,739,1003,821
355,285,285,359,304,285
