"id","y_2020"
2,61649410
3,572630760
4,301501206
5,27646796
6,16021576
7,292001168
8,55156944
9,93953910
10,11592072
11,94715732
12,13567815
13,65741184
14,20955418
15,191730751
16,53396376
17,51111917
18,187742568
19,151328188
20,62022624
21,43514785
22,140621138
23,26235318
24,287003500
25,157937712
26,92148612
27,61050780
28,19411380
29,48125490
30,63006768
31,93467880
32,36312944
33,65668722
34,34531303
35,89967129
36,100730685
37,31513461
38,79599121
39,31655367
40,36002369
41,104037275
42,96391500
43,206800188
44,38364256
45,195746673
46,39460233
47,52687488
48,57955000
49,14112000
50,34955685
51,59416590
52,35041860
53,33081028
54,51078580
55,111291446
56,44462684
57,1880256
58,65877288
59,64988737
60,26537046
61,33923287
62,0
64,19171850
65,2157368
66,26347636
67,60256296
68,47277880
69,
70,87311349
71,21160100
72,80509110
73,65364460
74,106815350
75,25237824
76,34107880
77,84322800
78,59036040
79,20469735
80,39853517
81,41511680
82,28095305
83,33402786
84,95072135
85,62733044
86,13958816
87,37114200
88,41942669
89,146376560
90,30286080
91,25995066
92,36614124
93,41460480
94,30985080
95,70784592
96,30171318
97,69191749
98,56333816
99,31616494
100,25179357
101,26553813
102,20832406
103,30750544
105,41063624
106,10022720
107,55865156
108,32146692
109,135721871
110,42561064
111,65069690
112,62511872
113,8494938
114,11588736
115,82746384
116,58376813
117,52437024
118,307075710
119,31314960
120,115487424
121,40064445
122,
123,25093219
124,35967816
125,31281524
126,100706079
127,42978276
128,51723750
129,30192330
130,94804592
131,119901250
132,141750495
133,92450754
134,17442148
135,9814948
136,101818330
137,60299874
138,40847038
139,11697792
140,46727439
141,22540831
142,32523036
143,56621712
144,10722140
145,28994049
146,23454648
147,345446171
148,64342322
149,34652712
150,58445672
151,91232590
152,84188750
153,113369090
154,88042104
155,77459122
156,53107416
157,33736014
158,53254680
159,13967014
160,40806112
161,209601180
162,98723352
163,60472982
164,19285671
165,25031730
166,53077612
167,19607500
168,21978132
169,86257561
170,53893125
171,30495042
172,70400407
173,
174,58335571
175,118552632
176,56182302
177,168006644
178,130561235
179,129403070
180,32095987
181,96853044
182,48592755
183,46881545
184,103273950
185,55429265
186,24571242
187,37452804
188,27218750
189,8276445
190,32080880
191,47919501
192,100020072
193,36784440
194,108472399
195,50420384
196,29545983
197,56538650
198,103942828
199,29380230
200,32581476
201,70055908
202,31787882
203,113838592
204,94516250
205,136991750
206,86642796
207,37314828
208,79844776
209,59933412
210,52151475
211,85432350
212,28367244
213,131003348
215,116750467
216,56891319
217,246485484
218,11441015
219,34976928
220,42661568
221,36153975
222,181981392
223,31382941
224,43838674
225,62517105
226,122098750
227,24630030
228,14654421
229,56335968
230,76123620
231,46815792
232,73998819
233,50510438
234,42515988
235,39725962
236,54578300
237,52122624
238,71708000
240,50098170
241,198156574
242,92291826
243,
244,66059586
245,26502822
246,35808031
247,25727268
248,63066822
249,48049648
250,27393782
251,55169259
252,88662216
253,65098148
254,29660125
255,76272000
256,47499789
257,55019935
258,38626440
259,51056210
260,31339127
261,26629636
262,58930196
263,133148552
264,34154982
265,67034157
266,107537312
267,38247167
268,38799299
269,106502815
270,35321769
271,36074808
272,84691456
273,141888960
274,58987500
275,52071777
276,64065096
277,121373448
278,37446080
279,64777000
280,20382048
281,65045814
282,51449211
283,74143264
284,70727040
285,
286,21445144
287,63003486
288,41142662
289,133860384
290,
291,41691686
292,11082456
293,18716149
294,16565040
295,56481000
296,34097728
297,350501402
298,24220000
299,91451327
300,55159567
301,106625064
302,115332000
303,72705000
304,11129706
305,13017508
306,9350202
307,23678786
308,74864728
309,130027944
310,89161251
311,41828750
312,54647565
313,32436352
314,18770334
315,
316,76831600
317,59605020
318,97459796
319,79337500
320,194090717
321,21059445
322,51433432
323,1141300
324,46003360
325,97195824
326,24047110
327,17792208
328,83757636
329,63218897
330,69988941
331,74927192
332,47163781
333,66131658
334,
335,124579953
336,42132954
337,115730052
338,79645334
339,46241100
343,39164580
344,29850062
345,49103208
346,28832880
347,86512584
348,35791797
349,95892675
350,67956250
351,74864445
352,130917000
353,468485352
354,34362405
355,111987400
356,235360000
357,109376102
358,107876538
359,87460924
360,50712204
361,69895564
362,60321768
363,27997648
364,124635136
365,96317859
366,21168721
367,96565944
368,40145296
369,3948714
370,9841944
371,38849496
372,40704418
373,57728640
374,11868036
375,158954784
376,62439160
377,111701513
378,50301533
379,73255080
380,182198100
381,167103645
382,57507696
383,81156250
385,25661646
386,65015865
387,34007212
388,32050780
389,28698925
390,27347499
391,81511624
392,116443750
393,92305854
394,21422232
395,77655864
396,45804528
397,91868784
398,42069900
399,53571705
400,125875152
401,61226875
402,102003200
403,31280104
404,31055982
405,44704836
406,86990670
407,38420800
408,45169404
409,123780578
410,27940749
411,114035916
412,
413,123179666
416,49160832
417,38149506
418,71967350
419,34610725
420,80804682
421,
422,46184040
423,99953371
424,95828589
425,88103526
426,78137500
428,28799055
430,37810000
431,100797840
432,170392168
433,169987114
434,123099230
435,
436,60282922
437,176021244
438,33869275
442,46076220
443,122384420
444,12015970
445,52787295
446,125147872
447,43062630
448,59436951
449,213370850
450,191883250
451,86519289
452,34242325
453,51353925
454,46949722
455,38114907
456,34824124
457,62044125
458,
459,33037868
460,167744667
462,85554084
463,62067823
464,37480950
465,79744536
466,40581891
467,140342034
468,
469,140419660
470,44589006
471,138656056
472,126112606
473,89618750
474,30802304
475,98325276
476,148870500
