"id","y_2011","y_2013","y_2015","y_2016","y_2017","y_2018","y_2020","y_2022"
2,1927,1960,1836,1850,1887,1924,2250,2300
3,23640,23436,23499,23247,23360,23424,36250,35612
4,28,30,32,33,34,35,37,39
5,936,901,935,795,676,689,954,990
6,3290,3243,3450,3519,3588,3604,5022,5225
7,700,770,840,825,858,884,4352,4686
8,231,217,231,204,210,198,408,432
9,1178,1216,1254,1273,1242,1260,1242,1278
10,2709,2790,2914,2976,2989,2989,3650,3744
11,2128,2301,2379,2418,2457,2496,4060,4130
12,243,261,279,288,297,306,432,456
13,2074,2196,2356,2379,2340,2400,4100,4343
14,128,171,189,198,207,216,375,405
15,140,144,152,156,225,230,396,420
16,1470,1404,1560,1560,1599,1599,2050,2150
17,672,714,756,777,780,798,798,836
18,252,312,338,351,364,377,1156,1224
19,210,220,230,270,270,276,350,364
20,14,18,22,24,24,28,72,84
21,8010,8004,8256,8256,8428,8600,12844,12932
22,4814,4524,4774,4788,4800,4736,5376,5060
23,120,132,144,156,150,156,300,320
24,874,833,735,750,765,728,1058,920
25,114,126,138,144,132,138,150,180
26,196,192,185,190,195,200,210,162
27,81,87,92,100,100,104,130,140
28,93,99,105,108,111,114,2050,2132
29,10,12,14,15,16,17,19,21
30,6000,6350,6448,6519,6519,6545,8856,8965
31,117,62,66,68,70,72,105,111
32,180,198,216,216,225,234,4968,5244
33,112,152,168,176,184,192,234,252
34,217,231,245,252,259,264,456,480
35,1591,1680,1640,1681,1720,1760,2520,2646
36,667,720,775,806,864,896,1218,1271
37,2016,2080,2040,2208,2010,1972,2346,2240
38,1900,2079,2438,2544,2700,2782,5516,6120
39,135,150,155,160,165,170,216,228
40,125,135,145,150,155,222,403,408
41,40,44,48,50,52,54,500,550
42,70,74,78,82,82,84,88,92
43,57,63,69,72,75,78,104,112
44,114,126,138,150,156,162,330,352
45,42,46,58,15,25,40,175,246
46,119,133,147,154,161,168,260,280
47,240,224,240,231,238,245,350,378
48,162,174,186,125,130,135,442,476
49,387,405,423,432,441,450,637,728
50,544,540,570,585,600,615,731,731
51,2640,2736,2832,2820,2820,2867,5616,5688
52,2880,2886,2952,2993,3066,2940,5040,5330
53,750,750,858,884,850,875,988,1015
54,504,546,588,609,630,609,713,748
55,594,648,702,756,780,806,2370,2496
56,133,147,168,176,264,276,800,858
57,448,396,315,315,315,280,518,546
58,693,735,777,798,780,798,1066,1118
59,612,648,646,663,555,570,1785,406
60,255,285,300,306,323,340,828,888
61,96,34,38,40,40,44,375,405
62,,,,38,39,40,336,352
64,300,504,483,528,550,525,798,858
65,49,64,88,84,104,108,408,490
66,697,756,800,819,840,880,1407,1470
67,84,96,112,120,112,136,200,220
68,2046,2208,2400,2548,2700,2754,3960,4498
69,64,64,80,90,99,108,195,225
70,630,666,702,722,760,760,1056,1104
71,288,304,320,328,336,344,410,430
72,266,369,462,484,540,598,952,1104
73,1080,1189,1260,1260,1320,1320,3564,3706
74,108,88,62,56,58,56,850,900
75,69,75,46,12,13,14,390,442
76,112,128,144,153,170,187,294,351
77,228,280,315,336,357,374,580,660
78,602,720,810,874,920,940,1600,1782
79,144,156,125,130,180,186,203,217
80,56,64,72,76,80,56,78,91
81,3,5,24,26,28,30,34,38
82,81,110,130,143,154,143,315,320
83,188,200,208,212,216,260,380,360
84,288,369,387,396,405,376,385,408
85,960,992,1024,1040,1056,1072,1206,1242
86,420,444,468,480,492,504,528,528
87,680,714,810,828,846,864,980,1020
88,2808,2754,2695,2800,2800,2850,3630,3540
89,48,52,56,58,60,62,33,35
90,770,814,858,880,902,924,840,882
91,10,12,14,15,16,17,19,21
92,330,408,468,504,555,570,784,918
93,792,864,925,972,999,1036,1392,1530
94,814,888,962,999,1036,1008,1376,1518
95,290,360,420,450,480,510,578,648
96,232,290,372,372,416,448,686,848
97,78,87,90,96,96,99,180,192
98,198,200,210,215,220,225,750,780
99,57,59,61,62,63,64,112,117
100,2064,2175,2349,2436,2552,2640,4288,4556
101,196,205,215,220,225,230,312,324
102,180,246,258,270,270,294,460,480
103,248,231,145,150,155,160,170,180
105,33,35,37,38,39,40,42,44
106,1365,1558,1634,1672,1672,1710,2288,2392
107,51,57,63,38,40,42,72,80
108,506,552,575,648,672,696,928,986
109,532,588,588,609,638,667,1029,1188
110,294,322,350,364,378,392,525,592
111,324,360,396,414,432,440,459,528
112,256,264,272,276,280,284,292,300
113,837,891,952,980,1008,1036,3210,3456
114,875,945,1080,1110,1147,1184,1564,1656
115,150,196,261,290,300,330,952,1104
116,8584,9176,9504,9801,10064,10132,17136,18019
117,240,264,288,300,312,324,522,558
118,22,26,30,34,34,36,40,44
119,512,544,576,592,608,624,738,740
120,612,648,684,663,672,688,1120,1176
121,644,690,690,690,713,736,750,928
122,782,720,780,676,702,702,5400,5976
123,672,754,750,780,810,870,1305,1426
124,3034,3192,3237,3320,3362,3320,4134,4200
125,1189,1271,1353,1394,1435,1476,1716,1925
126,156,164,172,176,180,150,245,252
127,720,558,561,560,527,512,544,455
128,817,855,846,864,833,867,1040,1080
129,,,,,,,2,4
130,156,168,180,186,192,198,528,560
131,,,,,,,,
132,780,810,770,784,798,812,918,954
133,,,,,,,,
134,88,96,104,108,112,116,124,132
135,544,578,612,629,646,624,840,880
136,190,210,222,228,238,245,256,272
137,2030,2183,2379,2340,2280,2340,3132,3230
138,2310,2450,2484,2553,2584,2622,3680,3784
139,924,945,980,1008,1036,1064,1462,1584
140,744,800,832,884,910,980,1254,1505
141,4387,4515,4725,4830,4888,5145,6834,7155
142,546,598,650,624,648,700,1269,1363
143,48,56,64,68,72,76,60,66
144,340,360,380,351,400,410,588,645
145,112,126,140,147,154,161,224,240
146,80,99,121,132,143,154,176,198
147,286,308,330,341,320,363,594,638
148,100,108,100,104,108,112,210,224
149,90,108,126,135,144,153,323,357
150,204,216,217,224,231,238,296,312
151,112,126,140,147,154,161,208,216
152,6,8,10,11,12,13,15,17
153,230,276,312,350,375,400,952,1064
154,144,168,221,234,247,260,648,700
155,288,306,324,333,340,360,435,475
156,220,242,230,240,250,234,312,336
157,7550,7800,7738,7830,7722,7755,12255,12702
158,1240,1320,1462,1440,1476,1554,2847,3034
159,704,660,690,644,660,588,663,702
160,1364,1452,1472,1485,1530,1575,2574,2560
161,140,150,160,165,144,148,351,369
162,825,864,912,936,960,984,1075,1125
163,2706,2838,2880,2904,2970,3036,3311,3634
164,2345,2516,2613,2680,2747,2788,3655,3784
165,325,351,377,392,406,420,726,770
166,144,161,175,182,189,196,308,330
167,168,184,200,208,216,224,961,1024
168,66,70,74,76,78,80,432,507
169,9,11,13,,,16,,
170,24,32,40,44,48,55,144,143
171,209,260,300,320,340,360,1080,1200
172,209,252,294,285,285,336,660,732
173,336,352,368,376,343,392,576,555
174,816,936,1040,1100,1120,1240,2247,2478
175,,,,,,,,
176,11,13,30,32,34,36,40,44
177,28,30,32,33,34,35,37,39
178,1980,2180,2376,2461,2568,2675,3952,4312
179,245,259,273,280,287,294,297,315
180,952,1008,1102,1140,1110,1073,1326,1360
181,119,126,140,126,154,161,405,364
182,341,363,420,444,418,432,574,602
183,63,69,75,78,81,84,120,130
184,330,342,354,360,366,372,770,795
185,442,468,504,476,448,464,759,864
186,243,261,279,224,189,196,864,918
187,6,10,15,18,21,15,187,221
188,87,93,99,32,32,34,48,70
189,26,30,32,36,36,38,63,69
190,1444,1520,1600,1640,1680,1720,3276,3300
191,130,140,150,155,160,165,174,192
192,672,756,840,882,1032,1075,2268,2523
193,888,936,984,1008,1008,1056,2812,3003
194,210,189,207,216,225,240,288,225
195,33,39,45,48,52,60,72,88
196,304,320,336,344,280,360,646,680
197,18,20,22,23,24,25,27,29
198,96,105,108,114,114,117,148,156
199,896,960,1024,1089,1056,1088,1666,1728
200,864,900,799,735,750,765,1372,1428
201,184,189,203,210,217,224,192,204
202,248,216,90,102,136,144,252,272
203,10,12,14,15,16,17,19,
204,70,98,126,140,154,168,476,544
205,,,,,,,,
206,42,46,50,54,54,56,60,64
207,341,408,481,494,532,570,748,855
208,,,,,,,,
209,62,64,69,80,15,90,105,120
210,234,266,289,306,323,340,620,672
211,86,90,105,108,111,114,120,126
212,2848,3026,3204,3256,3344,3382,4836,4940
213,575,621,667,713,768,775,1376,1462
215,108,114,120,123,126,129,135,141
216,60,62,64,65,66,67,138,142
217,,,,,,,,
218,130,150,176,187,150,153,228,216
219,1012,1081,1128,1152,1176,1152,2376,2600
220,816,864,864,888,836,936,1110,1170
221,403,429,462,476,490,504,555,624
222,,,,,,,35,37
223,473,460,480,490,500,468,650,676
224,105,115,125,130,135,125,156,144
225,56,64,72,75,84,90,120,143
226,28,30,32,33,34,35,37,39
227,46,50,54,56,58,60,75,56
228,282,294,308,322,322,336,330,360
229,180,192,217,224,231,238,280,252
230,133,152,168,176,189,198,242,189
231,54,72,80,96,99,110,285,308
232,70,80,98,105,112,130,210,187
233,132,176,216,250,264,286,540,636
234,1566,1705,1782,1749,1802,1836,2800,3010
235,84,93,96,84,87,90,112,120
236,192,216,144,133,140,132,572,621
237,648,629,738,760,779,798,1075,1125
238,910,972,1014,1025,1050,1066,1360,1428
240,1820,1674,1674,1595,1624,1653,2744,2726
241,85,72,57,60,63,66,124,132
242,38,42,46,48,50,52,132,140
243,26,28,30,31,32,33,35,
244,,,,,,,,
245,555,585,615,630,645,704,836,874
246,420,418,437,432,330,345,702,728
247,299,325,351,364,377,390,1209,1287
248,714,756,798,819,840,861,1271,1333
249,348,372,396,408,420,432,504,532
250,18,24,22,24,26,28,32,98
251,10,12,14,15,16,17,19,
252,,50,52,53,54,55,57,59
253,171,154,210,240,252,260,1020,1190
254,800,850,969,1060,1113,1176,3173,3540
255,55,65,64,68,68,72,147,161
256,280,304,266,387,396,420,513,486
257,72,110,168,192,216,250,600,714
258,363,385,451,516,528,540,735,768
259,800,756,792,810,828,846,1166,1210
260,1320,1488,1575,1638,1701,1792,2542,2720
261,,,,,,,,
262,21,23,25,26,27,28,120,128
263,32,36,40,42,44,46,100,108
264,38,42,44,48,48,50,56,60
265,,,,,,,,
266,224,184,240,248,256,210,264,231
267,493,551,620,651,682,704,1296,1372
268,7,9,11,12,13,14,16,18
269,121,143,165,176,187,198,551,609
270,261,279,297,306,315,324,555,585
271,,,,,,,,
272,1120,1276,1392,1425,1482,1539,4650,4960
273,57,63,69,72,75,78,85,98
274,170,190,200,220,198,207,297,319
275,238,272,306,323,340,357,391,425
276,145,270,282,288,288,276,323,342
277,34,36,38,39,40,41,84,88
278,84,98,112,119,126,133,242,264
279,11,13,15,16,17,18,44,48
280,1794,1988,2160,2117,2263,2263,3840,4092
281,252,270,306,342,361,380,672,736
282,38,40,42,43,44,45,47,49
283,25,27,29,30,31,32,87,93
284,14,18,20,24,27,45,204,255
285,4644,5046,5332,5568,5709,5808,10075,10989
286,1312,1376,1287,1326,1326,1122,1798,1710
287,5589,5808,6318,6642,6588,6972,12312,13456
288,800,840,840,814,836,851,1482,1560
289,84,84,108,117,130,140,384,442
290,9990,10569,10880,11152,11340,11298,14749,15092
291,185,195,205,210,168,172,184,192
292,1548,1620,1564,1488,1519,1550,2484,2590
293,676,636,660,672,684,696,770,798
294,594,595,684,646,640,704,1104,1152
295,210,162,174,165,170,192,130,140
296,3,5,7,8,9,10,12,14
297,22,24,26,27,28,29,93,99
298,1160,1298,1380,1440,1475,1560,3484,3808
299,300,385,407,420,432,444,595,629
300,1480,1584,1728,1750,1820,1872,3564,3780
301,,,2,3,4,5,7,9
302,84,90,96,99,102,105,111,117
303,483,504,546,567,525,616,1440,1519
304,120,132,144,110,115,120,253,275
305,246,258,270,276,306,312,416,432
306,975,1040,1120,1160,1160,1230,1300,1430
307,171,190,209,220,231,242,299,330
308,,,,,,,,
309,14,16,18,19,20,21,36,40
310,242,286,315,336,374,396,960,1056
311,637,663,689,825,840,855,1368,1416
312,172,114,124,128,132,136,215,225
313,544,627,693,714,748,782,1428,1560
314,470,490,510,520,530,540,616,638
315,5016,5133,5307,5394,5229,4851,6695,6336
316,806,868,930,930,961,992,1360,1440
317,203,248,264,272,280,288,504,525
318,112,126,140,144,144,152,690,736
319,880,968,1056,1100,1144,1188,2340,2548
320,684,720,756,792,748,714,1120,1176
321,407,559,585,576,600,588,689,715
322,27,29,31,,,,,
323,1080,1140,1240,1326,1353,1419,2822,3010
324,68,76,90,95,100,105,115,125
325,64,68,72,74,76,78,132,138
326,459,477,495,504,513,522,540,558
327,351,378,406,420,435,450,1122,1190
328,1080,1160,1271,1312,1353,1394,2318,2652
329,387,228,240,246,252,258,258,273
330,410,430,450,460,470,484,630,765
331,1386,1474,1541,1608,1656,1606,2300,2640
332,52,60,64,68,72,76,112,135
333,66,72,78,81,84,87,180,312
334,45,48,54,60,68,72,580,620
335,126,144,96,91,104,112,360,408
336,165,192,216,228,240,252,1260,1344
337,57,63,72,75,72,75,152,138
338,3358,3479,3500,3519,3588,3710,5250,5049
339,5050,5356,5247,5247,4929,4717,7956,8000
