id,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022
2,19.0,15.0,10.0,11.0,11.0,15.0,18.0,19.0,18.0,24.0
3,13.0,17.0,17.0,33.0,37.0,38.0,42.0,43.0,40.0,47.0
4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,13.0,19.0,14.0,16.0,13.0,9.0,20.0,19.0,15.0,9.0
6,45.0,55.0,42.0,53.0,71.0,51.0,54.0,57.0,51.0,37.0
7,0.0,0.0,0.0,2.0,5.0,1.0,0.0,2.0,3.0,1.0
8,1.0,2.0,1.0,2.0,2.0,3.0,0.0,5.0,1.0,5.0
9,2.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0
10,50.0,48.0,43.0,66.0,79.0,58.0,59.0,53.0,36.0,28.0
11,5.0,4.0,2.0,2.0,3.0,9.0,8.0,6.0,3.0,2.0
12,21.0,36.0,31.0,26.0,36.0,21.0,27.0,41.0,52.0,30.0
13,17.0,25.0,10.0,24.0,27.0,17.0,26.0,29.0,27.0,28.0
14,6.0,9.0,7.0,15.0,8.0,10.0,9.0,12.0,17.0,16.0
15,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,3.0,0.0
16,17.0,20.0,17.0,23.0,28.0,37.0,34.0,43.0,31.0,33.0
17,13.0,21.0,19.0,24.0,21.0,31.0,37.0,30.0,20.0,24.0
18,2.0,9.0,6.0,1.0,5.0,3.0,3.0,5.0,9.0,6.0
19,2.0,1.0,0.0,2.0,4.0,1.0,0.0,4.0,1.0,2.0
20,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0
21,25.0,17.0,22.0,41.0,28.0,30.0,36.0,36.0,26.0,38.0
22,10.0,10.0,7.0,11.0,12.0,11.0,14.0,11.0,10.0,13.0
23,8.0,5.0,0.0,10.0,7.0,6.0,2.0,7.0,8.0,13.0
24,4.0,7.0,2.0,4.0,4.0,8.0,1.0,2.0,3.0,4.0
25,2.0,0.0,2.0,2.0,0.0,2.0,5.0,1.0,1.0,0.0
26,2.0,5.0,3.0,2.0,3.0,3.0,8.0,5.0,4.0,4.0
27,4.0,7.0,2.0,1.0,13.0,10.0,10.0,4.0,5.0,13.0
28,2.0,2.0,2.0,2.0,2.0,6.0,0.0,0.0,4.0,3.0
29,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
30,21.0,34.0,28.0,38.0,40.0,45.0,49.0,36.0,62.0,42.0
31,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
32,4.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0
33,1.0,15.0,2.0,5.0,4.0,5.0,6.0,7.0,2.0,4.0
34,7.0,9.0,10.0,5.0,15.0,15.0,26.0,22.0,21.0,13.0
35,4.0,6.0,10.0,11.0,9.0,7.0,11.0,9.0,6.0,11.0
36,2.0,2.0,2.0,7.0,9.0,3.0,6.0,1.0,7.0,4.0
37,25.0,43.0,26.0,34.0,33.0,17.0,19.0,15.0,14.0,18.0
38,6.0,3.0,5.0,6.0,12.0,10.0,11.0,17.0,8.0,8.0
39,6.0,9.0,5.0,11.0,8.0,10.0,5.0,7.0,11.0,2.0
40,30.0,27.0,26.0,24.0,28.0,30.0,25.0,30.0,29.0,18.0
41,0.0,2.0,3.0,4.0,1.0,2.0,3.0,3.0,0.0,2.0
42,3.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0
43,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0
44,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0
45,2.0,0.0,3.0,3.0,4.0,13.0,9.0,21.0,17.0,21.0
46,0.0,9.0,4.0,8.0,11.0,18.0,5.0,11.0,13.0,11.0
47,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,5.0
48,3.0,5.0,9.0,6.0,7.0,11.0,8.0,5.0,4.0,2.0
49,6.0,7.0,5.0,6.0,7.0,9.0,7.0,11.0,4.0,4.0
50,24.0,16.0,33.0,24.0,32.0,26.0,34.0,40.0,26.0,13.0
51,7.0,12.0,18.0,11.0,12.0,7.0,11.0,10.0,13.0,5.0
52,34.0,38.0,21.0,27.0,27.0,31.0,23.0,47.0,37.0,34.0
53,36.0,37.0,48.0,60.0,51.0,42.0,62.0,64.0,78.0,69.0
54,6.0,10.0,7.0,16.0,6.0,7.0,17.0,21.0,25.0,21.0
55,3.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0
56,0.0,6.0,10.0,6.0,5.0,3.0,6.0,7.0,3.0,9.0
57,10.0,13.0,5.0,4.0,7.0,10.0,7.0,12.0,12.0,17.0
58,23.0,24.0,11.0,15.0,15.0,19.0,28.0,26.0,24.0,18.0
59,10.0,22.0,16.0,10.0,19.0,18.0,25.0,22.0,31.0,15.0
60,19.0,16.0,17.0,42.0,46.0,28.0,32.0,34.0,38.0,46.0
61,4.0,8.0,6.0,10.0,5.0,14.0,11.0,11.0,11.0,7.0
62,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
64,10.0,13.0,19.0,34.0,19.0,21.0,17.0,23.0,32.0,23.0
65,3.0,3.0,3.0,7.0,5.0,3.0,3.0,4.0,6.0,9.0
66,9.0,11.0,11.0,12.0,26.0,22.0,28.0,18.0,22.0,25.0
67,2.0,4.0,7.0,6.0,3.0,5.0,4.0,3.0,8.0,11.0
68,4.0,6.0,3.0,8.0,9.0,13.0,15.0,16.0,12.0,13.0
69,1.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,3.0
70,23.0,22.0,27.0,34.0,33.0,23.0,35.0,20.0,18.0,27.0
71,33.0,32.0,28.0,38.0,34.0,42.0,50.0,67.0,71.0,72.0
72,7.0,10.0,11.0,17.0,33.0,18.0,29.0,28.0,32.0,31.0
73,7.0,5.0,13.0,13.0,8.0,9.0,11.0,8.0,15.0,5.0
74,4.0,3.0,1.0,8.0,7.0,2.0,2.0,4.0,0.0,4.0
75,0.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
76,2.0,5.0,3.0,3.0,1.0,6.0,4.0,5.0,6.0,7.0
77,5.0,6.0,5.0,8.0,14.0,5.0,14.0,6.0,9.0,13.0
78,4.0,3.0,7.0,7.0,3.0,2.0,2.0,6.0,6.0,10.0
79,17.0,24.0,18.0,24.0,35.0,26.0,26.0,33.0,49.0,28.0
80,3.0,2.0,1.0,6.0,3.0,8.0,4.0,6.0,14.0,10.0
81,1.0,2.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0
82,3.0,2.0,4.0,9.0,9.0,5.0,7.0,10.0,12.0,10.0
83,5.0,3.0,0.0,8.0,4.0,10.0,5.0,3.0,7.0,0.0
84,0.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0
85,26.0,35.0,38.0,28.0,26.0,38.0,29.0,28.0,32.0,25.0
86,29.0,25.0,16.0,21.0,28.0,21.0,15.0,18.0,21.0,24.0
87,11.0,10.0,10.0,10.0,14.0,15.0,19.0,20.0,10.0,14.0
88,17.0,20.0,25.0,27.0,24.0,19.0,22.0,22.0,34.0,27.0
89,3.0,6.0,4.0,5.0,6.0,4.0,1.0,4.0,2.0,1.0
90,19.0,20.0,34.0,23.0,20.0,20.0,26.0,20.0,20.0,30.0
91,8.0,3.0,2.0,10.0,4.0,6.0,8.0,7.0,6.0,2.0
92,5.0,5.0,3.0,4.0,2.0,7.0,7.0,21.0,8.0,7.0
93,5.0,4.0,5.0,6.0,8.0,8.0,6.0,10.0,10.0,5.0
94,7.0,4.0,9.0,8.0,16.0,17.0,6.0,11.0,18.0,22.0
95,0.0,8.0,2.0,4.0,3.0,4.0,6.0,5.0,11.0,10.0
96,8.0,5.0,9.0,18.0,22.0,31.0,23.0,35.0,31.0,31.0
97,3.0,4.0,6.0,10.0,3.0,3.0,2.0,7.0,8.0,3.0
98,1.0,7.0,4.0,4.0,4.0,5.0,5.0,9.0,8.0,9.0
99,3.0,5.0,3.0,5.0,4.0,0.0,7.0,2.0,1.0,7.0
100,11.0,22.0,23.0,23.0,21.0,22.0,28.0,19.0,20.0,14.0
101,33.0,22.0,17.0,47.0,27.0,21.0,18.0,28.0,20.0,16.0
102,10.0,7.0,9.0,13.0,15.0,11.0,19.0,13.0,6.0,7.0
103,17.0,31.0,27.0,25.0,36.0,14.0,28.0,25.0,40.0,44.0
105,1.0,1.0,2.0,5.0,3.0,1.0,1.0,2.0,2.0,2.0
106,13.0,16.0,15.0,20.0,12.0,22.0,18.0,22.0,21.0,23.0
107,7.0,10.0,5.0,5.0,8.0,5.0,7.0,6.0,10.0,11.0
108,,10.0,10.0,1.0,8.0,,,,,
109,6.0,5.0,4.0,6.0,10.0,5.0,15.0,16.0,13.0,13.0
110,2.0,1.0,5.0,3.0,4.0,7.0,5.0,9.0,7.0,6.0
111,5.0,2.0,6.0,1.0,4.0,7.0,10.0,11.0,12.0,9.0
112,4.0,1.0,3.0,5.0,5.0,2.0,1.0,6.0,11.0,12.0
113,8.0,9.0,14.0,24.0,23.0,14.0,18.0,27.0,19.0,18.0
114,10.0,15.0,13.0,19.0,11.0,12.0,13.0,16.0,12.0,13.0
115,3.0,2.0,1.0,2.0,1.0,5.0,0.0,1.0,1.0,2.0
116,24.0,,,,,,,,,
117,5.0,10.0,7.0,12.0,13.0,19.0,18.0,16.0,21.0,17.0
118,,0.0,0.0,0.0,0.0,,,,,
119,6.0,3.0,12.0,9.0,13.0,9.0,6.0,15.0,10.0,7.0
120,6.0,30.0,26.0,23.0,26.0,35.0,22.0,23.0,20.0,23.0
121,17.0,11.0,14.0,10.0,19.0,13.0,14.0,17.0,25.0,19.0
122,,,,0.0,2.0,,3.0,0.0,2.0,5.0
123,12.0,18.0,23.0,29.0,32.0,18.0,20.0,34.0,30.0,25.0
124,35.0,60.0,47.0,65.0,65.0,52.0,80.0,61.0,75.0,77.0
125,28.0,32.0,26.0,25.0,30.0,44.0,28.0,47.0,34.0,24.0
126,1.0,1.0,5.0,2.0,4.0,8.0,6.0,8.0,7.0,5.0
127,21.0,18.0,12.0,16.0,28.0,16.0,32.0,29.0,24.0,24.0
128,19.0,35.0,24.0,40.0,51.0,29.0,31.0,30.0,32.0,16.0
129,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
130,1.0,2.0,4.0,1.0,4.0,1.0,0.0,3.0,4.0,3.0
131,2.0,2.0,0.0,3.0,0.0,2.0,4.0,3.0,1.0,4.0
132,2.0,2.0,1.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0
133,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
134,5.0,6.0,6.0,11.0,11.0,6.0,9.0,6.0,4.0,6.0
135,14.0,9.0,12.0,17.0,19.0,16.0,14.0,18.0,12.0,17.0
136,0.0,2.0,2.0,4.0,5.0,1.0,4.0,7.0,5.0,4.0
137,5.0,5.0,10.0,7.0,11.0,16.0,20.0,12.0,19.0,14.0
138,21.0,21.0,32.0,42.0,37.0,38.0,48.0,31.0,47.0,48.0
139,11.0,12.0,16.0,14.0,19.0,15.0,23.0,13.0,16.0,20.0
140,10.0,17.0,26.0,20.0,23.0,31.0,25.0,26.0,24.0,20.0
141,19.0,25.0,27.0,31.0,29.0,25.0,25.0,28.0,22.0,29.0
142,11.0,19.0,13.0,24.0,22.0,19.0,15.0,19.0,30.0,26.0
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
144,,21.0,13.0,,,17.0,2.0,0.0,0.0,
145,,5.0,9.0,,,7.0,7.0,7.0,7.0,
146,3.0,10.0,7.0,3.0,6.0,7.0,13.0,19.0,9.0,3.0
147,20.0,6.0,15.0,16.0,14.0,14.0,14.0,17.0,17.0,10.0
148,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
149,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
150,4.0,4.0,6.0,1.0,5.0,3.0,16.0,7.0,10.0,8.0
151,2.0,3.0,1.0,1.0,1.0,0.0,2.0,4.0,3.0,2.0
152,0.0,1.0,2.0,3.0,5.0,1.0,1.0,3.0,1.0,4.0
153,2.0,7.0,6.0,9.0,6.0,5.0,9.0,5.0,11.0,9.0
154,4.0,6.0,1.0,3.0,3.0,12.0,5.0,5.0,5.0,5.0
155,3.0,5.0,2.0,3.0,14.0,7.0,11.0,13.0,16.0,16.0
156,9.0,11.0,6.0,16.0,12.0,11.0,11.0,12.0,21.0,13.0
157,56.0,68.0,54.0,34.0,52.0,75.0,55.0,56.0,48.0,49.0
158,11.0,26.0,25.0,32.0,29.0,37.0,33.0,33.0,38.0,23.0
159,10.0,17.0,16.0,18.0,17.0,11.0,10.0,10.0,18.0,16.0
160,11.0,11.0,29.0,27.0,26.0,18.0,33.0,31.0,39.0,30.0
161,10.0,3.0,6.0,7.0,4.0,7.0,10.0,10.0,11.0,8.0
162,10.0,8.0,11.0,10.0,12.0,12.0,6.0,12.0,3.0,12.0
163,3.0,5.0,5.0,10.0,7.0,13.0,20.0,9.0,22.0,10.0
164,59.0,80.0,61.0,85.0,75.0,64.0,88.0,71.0,69.0,55.0
165,16.0,14.0,19.0,19.0,14.0,15.0,25.0,26.0,17.0,10.0
166,5.0,5.0,18.0,8.0,21.0,18.0,16.0,18.0,11.0,8.0
167,8.0,9.0,9.0,8.0,10.0,5.0,9.0,2.0,1.0,5.0
168,4.0,8.0,9.0,7.0,10.0,13.0,17.0,11.0,6.0,13.0
169,2.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0
170,0.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,2.0
171,3.0,1.0,1.0,1.0,3.0,1.0,8.0,7.0,7.0,5.0
172,1.0,3.0,3.0,2.0,1.0,4.0,1.0,2.0,4.0,6.0
173,2.0,9.0,15.0,14.0,7.0,8.0,4.0,4.0,14.0,4.0
174,4.0,7.0,5.0,9.0,7.0,5.0,8.0,5.0,5.0,7.0
175,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
176,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0
177,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
178,9.0,8.0,7.0,10.0,10.0,11.0,14.0,15.0,17.0,17.0
179,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0
180,8.0,3.0,6.0,4.0,7.0,7.0,10.0,3.0,6.0,4.0
181,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,0.0,2.0
182,11.0,9.0,16.0,18.0,14.0,8.0,15.0,17.0,18.0,10.0
183,3.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,8.0,5.0
184,0.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,4.0,1.0
185,10.0,11.0,17.0,12.0,13.0,17.0,20.0,23.0,29.0,14.0
186,6.0,12.0,12.0,11.0,11.0,13.0,14.0,15.0,12.0,10.0
187,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0
188,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0
189,0.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0
190,7.0,3.0,8.0,10.0,8.0,8.0,24.0,10.0,11.0,9.0
191,1.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,9.0,6.0
192,5.0,8.0,9.0,14.0,19.0,4.0,10.0,16.0,12.0,11.0
193,4.0,1.0,0.0,3.0,8.0,1.0,0.0,1.0,1.0,1.0
194,,2.0,2.0,1.0,0.0,,,,,
195,3.0,5.0,3.0,2.0,5.0,3.0,5.0,8.0,16.0,10.0
196,10.0,14.0,14.0,14.0,11.0,13.0,15.0,9.0,13.0,20.0
197,8.0,7.0,7.0,10.0,18.0,11.0,10.0,12.0,14.0,8.0
198,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,6.0
199,27.0,32.0,64.0,52.0,53.0,48.0,52.0,29.0,45.0,50.0
200,7.0,6.0,10.0,8.0,9.0,7.0,12.0,7.0,6.0,10.0
201,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0
202,18.0,18.0,13.0,13.0,14.0,15.0,12.0,10.0,16.0,12.0
203,0.0,2.0,1.0,1.0,0.0,1.0,5.0,2.0,1.0,2.0
