"id","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019","y_2021"
2,15,14,15,33,67,68,13
3,95,96,117,99,143,142,85
4,19,19,25,28,50,62,24
5,4,6,9,11,8,7,3
6,17,11,17,21,22,25,5
7,18,17,10,,,10,14
8,18,23,20,13,10,15,8
9,3,2,4,,8,5,11
10,25,22,31,35,38,31,10
11,61,81,82,89,80,79,54
12,23,22,25,29,33,40,8
13,31,29,32,28,45,41,15
14,42,44,39,39,43,34,13
15,26,24,24,35,18,21,20
16,47,60,82,93,116,121,37
17,38,46,44,47,47,32,9
18,59,57,67,56,63,53,33
19,54,55,50,58,49,52,40
20,50,46,68,56,62,71,64
21,43,46,58,49,31,28,14
22,3,4,3,,6,11,1
23,14,14,23,13,18,11,1
24,9,17,12,10,9,7,7
25,94,91,95,99,117,134,67
26,48,45,47,49,52,41,20
27,51,48,67,47,61,53,14
28,28,23,22,23,12,13,14
29,14,18,21,27,22,28,19
30,24,12,16,10,15,12,2
31,47,42,49,55,56,66,42
32,3,3,,,,,
33,6,18,19,15,14,17,12
34,19,27,25,41,47,57,26
35,20,18,19,18,27,22,12
36,32,31,34,34,24,22,14
37,7,12,13,14,11,14,3
38,30,28,28,29,34,37,12
39,53,53,56,59,60,61,15
40,37,30,38,40,27,40,18
41,17,29,23,21,9,11,10
42,47,41,58,63,67,78,63
43,37,35,38,32,25,31,30
44,15,6,11,16,15,12,26
45,70,56,77,102,112,120,53
46,30,24,22,22,24,24,20
47,7,10,13,,10,8,4
48,41,50,55,43,45,45,16
49,29,24,30,37,30,40,17
50,33,33,47,62,64,53,25
51,2,4,5,5,4,4,3
52,24,13,17,13,12,16,11
53,36,38,38,50,69,65,17
54,26,25,31,40,37,35,17
55,21,23,26,29,27,26,12
56,13,8,13,15,12,18,10
57,16,16,27,23,31,33,21
58,20,21,26,22,24,24,11
59,23,30,31,43,47,36,8
60,16,14,16,21,19,20,9
61,13,5,8,10,13,11,3
62,,,,,,,
64,17,15,27,30,20,22,6
65,7,8,14,9,6,9,3
66,7,7,14,9,13,14,3
67,3,,1,5,7,4,2
68,39,34,47,60,43,40,14
69,38,36,30,27,14,19,14
70,9,3,6,11,12,12,0
71,49,35,58,66,54,38,38
72,18,16,15,27,27,30,10
73,52,45,63,65,70,66,35
74,12,7,5,8,,,4
75,56,52,63,65,70,72,60
76,52,57,65,62,53,66,43
77,102,109,126,156,122,134,59
78,32,31,40,50,36,35,24
79,19,19,32,35,27,24,11
80,20,16,21,17,14,14,9
81,21,22,23,17,22,16,11
82,44,45,43,51,61,56,25
83,29,28,40,36,46,40,8
84,5,8,7,7,7,7,6
85,10,5,12,13,14,14,2
86,24,22,32,38,37,24,7
87,20,16,12,9,10,10,4
88,7,7,11,21,26,21,4
89,18,25,25,22,30,19,10
90,12,19,25,27,12,12,7
91,31,30,49,44,38,31,9
92,11,10,16,14,20,18,2
93,14,13,11,17,14,14,5
94,10,7,8,15,10,13,5
95,28,22,23,19,19,18,16
96,43,44,54,42,44,49,19
97,55,61,77,80,64,54,31
98,41,48,65,60,67,79,36
99,12,16,21,23,30,33,12
100,15,21,17,23,24,22,13
101,32,22,41,34,33,27,18
102,21,24,20,18,19,17,9
103,26,21,17,17,22,16,4
105,6,12,12,12,17,16,5
106,16,16,21,19,6,6,5
107,38,43,42,43,49,51,22
108,31,25,28,35,17,21,19
109,38,31,23,18,29,27,14
110,29,26,24,21,32,25,9
111,48,52,51,60,76,77,37
112,18,21,29,25,24,26,11
113,64,56,73,59,51,68,24
114,3,12,11,10,9,9,3
115,225,221,246,268,242,229,170
116,41,43,59,61,74,72,30
117,70,68,84,101,105,105,37
118,20,18,19,34,36,36,24
119,18,9,17,16,17,26,24
120,16,13,18,19,23,19,4
121,31,25,33,38,36,36,15
122,,,,,,,
123,20,28,23,33,32,21,5
124,9,11,15,12,17,16,5
125,37,48,48,53,55,44,14
126,6,7,7,7,5,5,3
127,34,30,56,31,30,37,15
128,30,25,30,31,28,34,27
129,53,50,57,52,44,51,26
130,25,19,32,33,33,31,17
131,33,25,34,27,34,28,16
132,5,2,5,,9,6,5
133,20,23,25,25,23,19,20
134,21,16,16,22,16,17,7
135,8,6,18,19,22,23,7
136,23,31,41,34,34,26,12
137,46,49,50,53,29,36,20
138,12,13,10,11,30,23,4
139,16,18,20,11,9,11,10
140,30,24,22,37,26,38,23
141,6,7,8,8,8,6,2
142,27,21,26,31,23,22,14
143,33,34,35,36,39,37,24
144,34,20,42,45,38,36,14
145,33,35,35,32,31,30,13
146,25,20,31,29,29,26,20
147,25,29,40,29,30,22,15
148,72,71,92,98,79,85,80
149,14,17,19,33,31,25,21
150,32,40,38,34,34,36,17
151,163,139,148,140,148,123,101
152,17,11,13,11,6,5,4
153,85,74,58,59,62,70,28
154,45,43,50,48,65,59,21
155,45,37,37,42,32,33,16
156,53,62,83,68,55,49,35
157,14,9,18,9,10,7,2
158,55,46,57,56,45,39,13
159,11,10,18,11,18,21,9
160,26,29,34,38,32,34,12
161,32,32,44,44,34,34,10
162,35,33,23,34,49,38,9
163,7,11,10,9,8,9,8
164,22,33,52,47,38,34,13
165,26,22,35,46,48,59,14
166,8,13,10,21,24,28,5
167,10,9,15,17,19,13,7
168,11,13,14,22,32,24,4
169,86,95,106,123,119,110,77
170,65,66,79,75,67,63,42
171,19,21,21,16,9,14,10
172,149,149,186,191,188,184,181
173,11,9,12,18,21,24,8
174,26,32,34,31,33,37,17
175,41,32,38,37,37,31,22
176,92,93,109,106,96,94,77
177,28,29,33,33,39,44,27
178,13,10,10,12,13,17,11
179,35,35,38,28,29,30,36
180,24,16,22,17,29,34,11
181,36,34,39,47,29,33,33
182,3,8,6,6,7,6,2
183,17,14,15,12,30,37,9
184,18,19,19,22,22,24,17
185,20,15,27,28,20,20,12
186,36,37,48,45,27,37,22
187,27,32,23,33,26,36,28
188,44,38,58,78,72,73,55
189,23,14,30,23,22,24,17
190,10,9,17,18,25,25,5
191,41,46,44,37,28,31,10
192,38,40,46,53,52,56,26
193,36,38,31,33,20,16,10
194,100,98,100,117,101,110,83
195,49,41,32,34,39,33,32
196,32,27,37,36,33,32,18
197,33,34,45,50,53,62,29
198,25,26,26,26,21,20,22
199,35,31,35,42,53,46,23
200,3,7,9,10,10,7,5
201,56,41,39,40,30,36,34
202,39,40,45,42,28,32,22
203,23,29,36,38,45,52,22
204,38,32,38,46,40,42,33
205,23,34,38,39,38,41,37
206,46,45,55,67,67,62,41
207,7,5,8,13,15,12,10
208,58,50,46,60,64,49,28
209,36,38,55,67,55,62,30
210,6,10,11,11,6,10,10
211,46,41,46,41,42,27,6
212,8,9,14,17,12,15,4
213,29,35,33,28,24,15,25
215,12,12,14,19,10,22,23
216,13,6,20,14,19,20,10
217,30,30,25,23,32,26,26
218,31,30,35,34,30,30,13
219,12,6,5,8,13,8,7
220,25,23,26,33,30,32,6
221,28,25,25,35,42,39,14
222,13,15,18,28,31,24,10
223,14,20,26,26,29,31,19
224,34,40,38,38,36,39,28
225,20,17,25,20,34,22,7
226,9,10,8,,,,6
227,44,47,47,41,54,47,14
228,15,13,8,3,7,8,8
229,41,45,50,68,80,76,48
230,4,7,15,14,12,23,13
231,45,47,41,42,41,44,18
232,62,48,49,53,49,39,23
233,48,44,46,46,53,51,28
234,70,54,69,73,76,67,23
235,52,45,45,50,52,42,18
236,11,13,18,19,12,,3
237,33,44,53,55,36,44,24
238,32,32,40,39,35,40,10
240,6,13,14,14,14,24,10
241,28,31,30,43,46,53,37
242,36,35,31,28,30,29,12
243,,,,,,,8
244,30,25,33,43,40,32,13
245,13,15,20,23,13,13,8
246,22,19,37,29,24,22,11
247,18,13,21,20,8,9,6
248,14,12,19,25,25,23,5
249,18,24,31,29,36,24,9
250,28,31,37,33,22,22,4
251,39,36,34,35,28,27,19
252,17,14,16,9,9,12,6
253,49,53,56,64,68,48,32
254,3,2,1,,4,5,2
255,69,68,80,81,85,114,67
256,37,40,80,108,126,127,113
257,84,78,114,124,142,139,124
258,28,31,24,36,35,36,17
259,29,27,37,39,36,27,13
260,45,35,55,51,38,37,9
261,36,43,40,49,40,47,25
262,44,40,56,59,60,55,43
263,59,66,56,53,47,50,46
264,21,18,21,25,20,15,7
265,20,20,25,23,19,13,13
266,56,43,71,65,74,60,22
267,116,116,103,114,104,111,60
268,22,22,29,25,24,24,10
269,49,51,76,69,58,54,50
270,19,21,21,19,22,25,12
271,6,7,4,11,16,17,9
272,14,12,12,6,6,13,11
273,31,25,28,25,24,19,11
274,13,7,10,15,6,7,1
275,21,21,21,14,18,16,10
276,50,38,39,29,33,21,15
277,28,28,35,47,41,40,27
278,18,13,14,14,16,10,8
279,3,12,10,9,12,14,5
280,29,37,42,44,31,25,20
281,13,10,14,10,9,9,3
282,20,21,27,24,22,27,8
283,37,35,38,46,47,35,14
284,38,40,38,37,54,75,61
285,,,,,,,
286,8,13,18,14,7,14,5
287,51,53,53,50,40,43,23
288,35,22,21,22,25,23,15
289,90,90,105,120,82,113,69
290,9,10,10,5,18,17,5
291,27,32,43,38,39,30,19
292,9,11,12,11,3,7,1
293,1,3,5,7,13,6,2
294,7,7,6,7,11,8,2
295,11,11,10,6,9,8,9
296,18,24,31,37,44,46,14
297,10,9,4,7,,,2
298,10,12,9,11,16,18,5
299,43,42,49,49,53,51,21
300,2,2,5,7,10,5,2
301,43,29,43,43,37,22,17
302,60,68,68,59,54,49,56
303,18,16,20,18,23,26,10
304,12,9,11,11,26,16,10
305,8,11,11,9,9,8,4
306,5,9,9,11,9,11,2
307,31,26,50,50,59,58,17
308,64,74,71,69,71,66,64
309,52,52,57,58,60,64,41
310,78,76,92,83,72,74,78
311,9,11,15,9,5,7,3
312,16,15,19,19,14,12,10
313,37,23,27,34,34,23,8
314,32,35,46,47,49,27,16
315,3,6,9,,,,2
316,36,38,60,61,45,36,14
317,7,5,7,10,5,,0
318,15,17,19,10,8,15,8
319,47,53,56,43,36,38,20
320,31,30,42,46,63,55,30
321,7,5,9,9,6,8,0
322,15,22,23,25,22,12,6
323,38,36,35,27,28,29,9
324,14,9,16,12,11,9,3
325,34,36,40,33,47,48,11
326,5,2,4,10,6,6,0
327,29,31,32,31,20,16,6
328,15,9,15,10,13,18,7
329,35,32,33,38,46,47,18
330,36,34,41,41,29,36,18
331,12,11,10,10,12,9,1
332,14,18,27,31,32,27,13
333,46,44,50,57,58,57,26
334,4,4,5,,,19,13
335,73,73,86,88,90,90,61
336,56,58,63,51,48,48,26
337,31,28,31,29,22,20,17
338,5,4,11,6,5,5,3
339,,5,3,,,,1
343,12,13,18,13,20,22,26
344,10,7,6,8,13,19,8
345,21,16,16,12,24,17,8
346,37,32,37,40,20,22,14
347,3,4,3,4,5,2,2
348,28,23,28,38,43,35,13
349,46,45,54,42,23,23,20
350,35,36,30,32,29,27,27
351,25,23,36,39,33,21,29
352,56,55,75,85,74,75,45
353,57,67,71,69,69,76,69
354,18,11,11,12,13,16,15
355,40,29,52,52,61,61,57
356,121,104,131,142,119,133,115
357,26,22,26,27,35,40,29
358,78,72,95,100,89,71,54
359,37,43,55,52,51,58,29
360,61,71,74,79,70,73,40
361,8,5,6,7,9,6,3
362,21,22,31,23,29,37,10
363,16,22,25,23,19,21,9
364,42,39,30,28,19,27,35
365,10,11,10,11,17,14,8
366,8,10,7,6,3,2,4
367,49,60,47,38,34,32,36
368,43,48,56,59,63,40,31
369,19,11,17,18,16,13,4
370,26,32,40,46,34,16,10
371,69,72,78,75,69,76,44
372,315,241,263,254,230,217,111
373,29,36,29,28,31,38,11
374,19,11,18,19,19,13,9
375,46,41,44,45,49,46,28
376,42,45,46,52,51,44,14
377,78,76,81,78,59,69,28
378,54,53,59,52,61,57,37
379,124,123,130,119,113,108,93
380,212,183,203,200,221,232,166
381,29,21,25,20,17,16,20
382,9,9,17,10,10,13,5
383,49,58,61,63,49,59,21
385,48,45,51,43,43,43,21
386,14,13,12,9,5,8,1
387,20,21,29,34,37,29,6
388,11,9,13,42,25,17,13
389,121,132,142,131,107,108,52
390,9,12,11,12,13,14,7
391,26,31,30,37,47,37,21
392,171,195,189,211,195,160,114
393,53,45,46,42,63,54,27
394,40,35,34,33,46,49,23
395,18,14,15,20,20,12,9
396,43,37,37,36,43,43,25
397,8,5,21,21,17,17,7
398,,6,6,13,15,11,15
399,39,34,36,37,33,32,29
400,70,73,75,70,56,61,51
401,42,57,58,58,49,52,30
402,34,31,28,27,24,24,13
403,57,57,65,64,57,48,37
404,32,22,25,31,28,22,12
405,91,74,95,92,96,77,58
406,19,15,16,15,16,16,11
407,28,23,30,35,31,34,35
408,50,47,52,42,32,47,33
409,41,34,50,39,44,53,41
410,6,6,11,12,,12,2
411,35,37,40,41,32,40,29
412,12,10,11,11,,8,6
413,124,108,103,117,114,112,73
416,22,20,31,42,30,26,14
417,33,40,50,55,46,51,39
418,110,104,103,111,135,101,62
419,89,73,84,89,67,73,47
420,36,35,39,56,48,50,45
421,33,32,40,36,34,31,25
422,25,35,29,33,49,47,15
423,43,45,53,67,56,73,87
424,23,14,16,10,14,13,9
425,34,31,26,19,27,21,11
426,29,31,37,36,28,27,11
428,27,26,32,21,26,21,6
430,28,28,34,51,60,64,29
431,22,20,30,36,26,20,15
432,55,58,56,68,57,57,44
433,26,19,24,19,17,15,14
434,38,38,37,28,31,32,21
435,4,6,6,,,,2
436,21,19,22,19,16,15,9
437,27,32,30,34,38,43,32
438,22,19,24,36,54,60,46
442,32,37,37,48,39,35,16
443,29,40,38,51,37,32,20
444,41,49,60,67,51,51,31
445,66,50,39,52,59,65,52
446,30,24,27,29,36,38,19
447,40,29,34,41,50,58,49
448,42,49,63,68,60,58,44
449,17,19,22,29,21,21,15
450,62,54,69,59,68,64,34
451,124,107,122,123,135,140,139
452,27,25,20,19,15,15,13
453,29,32,34,26,29,24,12
454,38,39,43,27,25,20,18
455,23,26,34,35,28,31,17
456,,,,,,,4
457,41,40,36,34,33,27,24
458,44,38,35,30,35,30,33
459,53,57,60,76,61,62,38
460,68,74,84,68,72,50,41
462,36,37,37,34,33,32,33
463,32,30,48,38,41,48,33
464,104,105,96,111,103,85,63
465,33,33,27,23,27,35,16
466,44,42,51,52,59,60,22
467,59,45,45,47,61,65,37
468,6,4,4,,,,
469,55,42,45,38,38,39,32
470,34,29,27,30,36,30,22
471,44,32,39,44,50,48,35
472,11,17,21,23,20,14,10
473,23,23,30,25,21,20,17
474,27,23,20,24,24,28,25
475,51,59,53,56,44,54,31
476,19,18,30,30,36,51,20
