id,y_2011,y_2013,y_2015,y_2016,y_2018,y_2020,y_2021,y_2022,y_2023
2,7.0,13.0,10.0,12.0,1.0,10.0,8.0,5.0,7.0
3,55.0,20.0,8.0,16.0,16.0,4.0,2.0,1.0,6.0
4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,26.0,31.0,66.0,41.0,11.0,6.0,3.0,9.0,12.0
6,35.0,54.0,54.0,54.0,17.0,16.0,14.0,10.0,16.0
7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
8,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0
9,4.0,3.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0
10,54.0,83.0,58.0,47.0,29.0,19.0,13.0,19.0,27.0
11,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0
12,14.0,15.0,22.0,16.0,10.0,27.0,19.0,30.0,69.0
13,7.0,13.0,10.0,8.0,7.0,2.0,5.0,24.0,25.0
14,3.0,7.0,6.0,6.0,3.0,6.0,5.0,4.0,6.0
15,1.0,6.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0
16,13.0,21.0,23.0,15.0,8.0,17.0,11.0,4.0,14.0
17,14.0,18.0,20.0,27.0,2.0,5.0,5.0,10.0,11.0
18,5.0,18.0,11.0,14.0,4.0,3.0,3.0,0.0,0.0
19,1.0,1.0,5.0,5.0,1.0,2.0,2.0,1.0,1.0
20,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0
21,6.0,11.0,24.0,11.0,2.0,1.0,7.0,2.0,4.0
22,8.0,7.0,5.0,8.0,15.0,3.0,0.0,0.0,1.0
23,3.0,9.0,7.0,10.0,5.0,4.0,7.0,3.0,4.0
24,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
25,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
26,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0
27,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0
28,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0
29,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
30,4.0,19.0,13.0,12.0,8.0,1.0,2.0,1.0,2.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,3.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0
34,9.0,17.0,25.0,42.0,7.0,6.0,6.0,1.0,28.0
35,3.0,7.0,5.0,4.0,4.0,1.0,0.0,1.0,2.0
36,2.0,2.0,5.0,3.0,1.0,3.0,0.0,2.0,2.0
37,39.0,53.0,63.0,34.0,7.0,15.0,24.0,8.0,11.0
38,0.0,3.0,5.0,4.0,2.0,0.0,2.0,3.0,3.0
39,4.0,9.0,7.0,2.0,0.0,1.0,1.0,6.0,6.0
40,12.0,31.0,26.0,25.0,11.0,5.0,10.0,8.0,12.0
41,2.0,7.0,2.0,3.0,2.0,3.0,5.0,3.0,6.0
42,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0
