"id","y_2011","y_2013","y_2015","y_2016","y_2017","y_2018","y_2019","y_2020","y_2021","y_2022"
2,7,6,7,2,1,1,0,0,0,0
3,24,17,4,6,0,0,0,1,1,0
4,1,0,1,0,0,0,0,0,0,0
5,11,1,4,2,0,1,0,1,0,0
6,7,9,6,7,0,0,2,1,0,1
7,0,1,0,0,0,0,2,0,0,0
8,3,3,0,1,0,0,0,0,0,0
9,3,1,3,3,0,1,0,0,0,0
10,15,9,6,4,0,3,0,1,0,0
11,4,1,3,0,0,0,0,0,0,0
12,30,12,0,3,0,0,0,0,0,0
13,2,3,5,0,0,0,0,0,0,0
14,13,17,13,3,0,1,2,0,0,0
15,3,4,6,1,0,0,0,0,0,0
16,17,20,20,13,2,2,0,2,0,0
17,15,11,10,3,0,5,5,1,0,0
18,9,3,1,0,0,0,0,0,1,0
19,11,12,3,7,2,2,4,3,0,0
20,6,9,4,2,0,0,0,0,0,0
21,7,1,13,6,0,1,1,0,1,0
22,5,3,2,0,0,0,0,0,0,0
23,8,3,2,0,1,1,0,0,0,0
24,2,2,3,0,0,0,0,0,0,0
25,8,6,5,1,1,1,0,1,0,0
26,12,8,17,9,5,5,0,3,0,0
27,19,30,13,11,1,1,0,0,0,0
28,0,1,1,0,0,0,0,0,0,0
29,3,4,2,0,1,1,0,0,0,0
30,0,0,0,2,0,0,0,0,0,0
31,1,2,0,1,1,1,0,0,0,0
32,3,4,0,4,0,0,0,0,0,0
33,0,0,0,0,0,1,0,0,0,0
34,22,17,14,20,0,3,1,3,0,0
35,7,4,16,2,0,0,0,1,1,0
36,4,8,12,8,1,1,0,1,0,0
37,8,4,7,0,0,3,0,0,1,1
38,4,11,6,3,0,2,1,0,0,0
39,17,24,16,12,6,6,2,0,1,0
40,41,24,28,8,0,4,7,1,1,0
41,7,10,6,3,4,4,0,0,0,0
42,1,4,2,1,0,0,0,0,0,0
43,1,4,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0
45,17,13,9,1,1,1,0,1,0,0
46,9,7,5,5,0,2,2,0,0,0
47,0,0,0,0,0,0,0,0,0,0
48,15,16,17,9,1,1,1,0,0,0
49,24,14,27,10,0,5,2,1,0,0
50,12,12,9,9,2,2,1,0,0,0
51,15,4,9,3,0,0,0,0,0,0
52,1,3,1,0,0,0,0,0,0,0
53,9,8,5,3,0,0,0,1,0,0
54,10,13,12,3,3,3,0,0,0,0
55,7,5,3,1,0,0,1,0,0,0
56,2,1,3,0,0,0,0,0,0,0
57,8,3,2,2,1,1,0,1,0,0
58,3,2,0,0,0,0,0,0,0,0
59,15,15,11,8,2,2,1,1,1,0
60,4,3,0,0,0,0,0,0,0,0
61,2,5,6,1,0,1,0,0,0,0
62,,,,,,0,0,0,0,
