"id","y_2017","y_2021","y_2022"
2,3.71,5.16,5.1564
3,31.13,32.7,34.2934
4,1.01,1.01,1.6147
5,1.85,1.85,1.8495
6,4.4,4.4,6.9526
7,5.91,5.91,9.7599
8,5.45,5.61,8.9502
9,0.91,2.86,2.9012
10,4.01,7.33,9.0277
11,10.51,10.6,10.601
12,0,0.19,0.1944
13,3.31,3.31,3.3146
14,0,2.02,2.0209
15,0,0,0
16,0.01,1.73,1.7295
17,0,3.23,3.2299
18,5.18,5.18,5.1813
19,3.52,6.85,6.8502
20,0.91,0.91,0.9493
21,5.71,8.36,8.3444
22,8.61,9.35,10.6109
23,0,0,0
24,2.36,2.36,3.0143
25,2.32,2.32,2.3261
26,,,0
27,0,0,0
28,2.41,2.41,2.4061
29,0,0,0.0103
30,5.6,6.7,8.3146
31,3.08,3.08,3.0775
32,0,1.05,1.3995
33,0.82,0.82,0.8238
34,0.23,0.23,0.2297
35,,,0
36,0,2.08,2.0795
37,4.78,6.83,11.8076
38,4.42,4.42,4.4253
39,0,0,0
40,0,0.98,0.9781
41,2.55,3.91,3.9136
42,2.75,2.75,3.2145
43,2.27,2.27,2.9591
44,2.85,3.33,3.4248
45,1.89,1.89,3.8901
46,1.06,0,0
47,0,1.22,1.2249
48,0,,0
49,3.14,2.74,2.7351
50,0.59,0,1.1379
51,4.29,4.29,5.1947
52,2.73,3.84,3.8399
53,0,1.46,1.4563
54,0,1.26,1.2635
55,1.4,1.4,1.4117
56,0,0,0
57,0,0.72,0.7171
58,0,0.71,0.7076
59,0,0,0
60,2.93,3.49,3.4681
61,2.76,2.04,2.0434
62,0.35,0.35,0.33
64,2.17,4.84,4.8607
65,0,0,0
66,0,0,0
67,0,0,0
68,0,2.69,2.6996
69,4.96,3.7,3.7041
70,1.8,1.8,2.0999
71,0,0,0
72,2.16,2.16,2.3033
73,0,0,0
74,2.17,2.47,2.4716
75,0,0,0.0292
76,0,0,0
77,0,0,0
78,0,0.78,0.7842
79,0,0,0
80,0,0,0
81,0,0.85,3.1585
82,0,0,0
83,,,
84,,,
85,2.97,5.88,5.8822
86,2.01,2.66,2.6567
87,3.56,3.56,3.5655
88,0.06,1.18,1.1855
89,0,0,0.0093
90,0.35,0.52,2.6657
91,0,0,0
92,0,0.78,0.8035
93,0,1.19,1.1934
94,0,2.35,2.345
95,2.77,4.87,4.8631
96,0,0,0
97,0,1.19,3.0789
98,0.02,0,0.0163
99,1.37,1.37,1.3745
100,0.75,5.39,5.3847
101,0,0.78,0.7762
102,0,0,0
103,0,1.37,1.3684
105,1.3,1.3,1.3012
106,0.97,0.97,0.9714
107,0,0,0
108,0,0,
109,0,0,0
110,0,0,0
111,0.93,0.93,0.897
112,1.11,1.11,1.1276
113,5.26,6.33,5.8047
114,1.78,1.78,1.7779
115,0,0,0
