id,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020
2,575.0,575.0,576.0,574.0,576.0,569.0,569.0
3,4467.0,4547.0,4524.0,4741.0,5373.0,7188.0,7188.0
4,6.0,6.0,6.0,6.0,6.0,6.0,6.0
5,306.0,307.0,302.0,311.0,310.0,333.0,333.0
6,536.0,533.0,534.0,527.0,542.0,518.0,518.0
7,357.0,360.0,362.0,367.0,367.0,355.0,355.0
8,697.0,695.0,701.0,694.0,916.0,981.0,981.0
9,305.0,302.0,305.0,294.0,304.0,322.0,322.0
10,1588.0,1585.0,1585.0,1579.0,1581.0,1698.0,1698.0
11,1212.0,1225.0,1225.0,1231.0,1253.0,1224.0,1224.0
12,738.0,738.0,738.0,738.0,738.0,1160.0,1160.0
13,1234.0,1248.0,1251.0,1263.0,1253.0,912.0,912.0
14,1396.0,1396.0,1395.0,1393.0,1081.0,1080.0,1080.0
15,480.0,488.0,493.0,503.0,511.0,502.0,502.0
16,984.0,984.0,986.0,986.0,1009.0,1524.0,1524.0
17,1120.0,1120.0,1117.0,1117.0,1122.0,1117.0,1117.0
18,1369.0,1365.0,1368.0,1322.0,1331.0,1523.0,1523.0
19,1336.0,1339.0,1339.0,1339.0,1356.0,1589.0,1589.0
20,225.0,225.0,225.0,225.0,196.0,648.0,648.0
21,1123.0,1123.0,1125.0,1122.0,1103.0,1174.0,1174.0
22,364.0,499.0,508.0,696.0,688.0,2176.0,2176.0
23,533.0,533.0,533.0,532.0,525.0,533.0,533.0
24,464.0,443.0,441.0,441.0,421.0,402.0,402.0
25,579.0,489.0,495.0,504.0,515.0,566.0,566.0
26,14.0,15.0,15.0,15.0,16.0,15.0,15.0
27,67.0,67.0,67.0,67.0,67.0,81.0,81.0
28,210.0,210.0,209.0,210.0,211.0,215.0,215.0
29,12.0,0.0,0.0,0.0,0.0,0.0,0.0
30,504.0,810.0,987.0,1096.0,874.0,1361.0,1361.0
31,141.0,141.0,141.0,141.0,141.0,141.0,141.0
32,176.0,176.0,176.0,176.0,168.0,168.0,168.0
33,0.0,0.0,0.0,1.0,0.0,1.0,1.0
34,0.0,0.0,0.0,3.0,0.0,3.0,3.0
35,16.0,16.0,0.0,0.0,0.0,9.0,9.0
36,865.0,1045.0,1046.0,1140.0,1145.0,1146.0,1146.0
37,780.0,779.0,774.0,776.0,787.0,1090.0,1090.0
38,516.0,516.0,516.0,516.0,507.0,510.0,510.0
39,133.0,135.0,138.0,145.0,594.0,667.0,667.0
40,850.0,852.0,859.0,860.0,894.0,910.0,910.0
41,773.0,773.0,773.0,774.0,774.0,774.0,774.0
42,1095.0,1095.0,1095.0,1095.0,1095.0,1095.0,1095.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,336.0,341.0,351.0,357.0,363.0,356.0,356.0
45,116.0,130.0,145.0,223.0,440.0,929.0,929.0
46,357.0,357.0,357.0,357.0,357.0,510.0,510.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,467.0,465.0,465.0,463.0,464.0,466.0,466.0
49,252.0,252.0,253.0,253.0,253.0,517.0,517.0
50,435.0,436.0,436.0,436.0,509.0,506.0,506.0
51,737.0,732.0,765.0,761.0,1137.0,1211.0,1211.0
52,653.0,283.0,316.0,361.0,476.0,809.0,809.0
53,1058.0,1220.0,408.0,408.0,1058.0,1058.0,1058.0
54,324.0,323.0,313.0,315.0,331.0,326.0,326.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,573.0,573.0,573.0,573.0,573.0,772.0,772.0
58,385.0,385.0,384.0,435.0,439.0,434.0,434.0
59,2.0,6.0,6.0,6.0,3.0,6.0,6.0
60,790.0,791.0,1047.0,1047.0,1047.0,1062.0,1062.0
61,101.0,101.0,101.0,101.0,101.0,101.0,101.0
62,0.0,64.0,64.0,64.0,64.0,,
64,1874.0,919.0,547.0,1399.0,1399.0,1063.0,1063.0
65,528.0,492.0,860.0,932.0,932.0,932.0,932.0
66,1229.0,1318.0,1318.0,1318.0,1319.0,1353.0,1353.0
67,631.0,643.0,643.0,631.0,631.0,610.0,610.0
68,188.0,188.0,188.0,188.0,188.0,188.0,188.0
69,394.0,273.0,256.0,254.0,257.0,626.0,626.0
70,523.0,521.0,521.0,520.0,519.0,520.0,520.0
71,1077.0,1085.0,1085.0,1085.0,1082.0,1075.0,1075.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,37.0,52.0,77.0,81.0,91.0,102.0,102.0
74,732.0,732.0,732.0,732.0,732.0,740.0,740.0
75,201.0,240.0,240.0,238.0,212.0,744.0,744.0
76,2.0,2.0,169.0,182.0,182.0,181.0,181.0
77,1258.0,1347.0,1365.0,1364.0,1363.0,1430.0,1430.0
78,246.0,246.0,246.0,246.0,246.0,360.0,360.0
79,679.0,518.0,0.0,0.0,679.0,679.0,679.0
80,540.0,528.0,528.0,540.0,12.0,12.0,12.0
81,448.0,448.0,448.0,460.0,460.0,460.0,460.0
82,669.0,669.0,871.0,870.0,895.0,870.0,870.0
83,65.0,65.0,66.0,66.0,67.0,86.0,86.0
84,28.0,28.0,26.0,32.0,40.0,149.0,149.0
85,776.0,771.0,769.0,767.0,763.0,754.0,754.0
86,993.0,1116.0,1116.0,1116.0,1113.0,2271.0,2271.0
87,684.0,682.0,681.0,682.0,696.0,720.0,720.0
88,474.0,469.0,466.0,475.0,483.0,481.0,481.0
89,0.0,0.0,0.0,0.0,2.0,0.0,0.0
90,827.0,827.0,827.0,827.0,827.0,827.0,827.0
91,2.0,15.0,15.0,15.0,11.0,286.0,286.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,376.0,247.0,375.0,375.0,373.0,374.0,374.0
95,9.0,9.0,9.0,9.0,9.0,10.0,10.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,896.0,902.0,902.0,1354.0,1381.0,1626.0,1626.0
98,173.0,173.0,173.0,176.0,216.0,379.0,379.0
99,645.0,643.0,645.0,645.0,643.0,645.0,645.0
100,694.0,694.0,692.0,690.0,692.0,691.0,691.0
101,33.0,33.0,33.0,33.0,37.0,40.0,40.0
102,255.0,255.0,256.0,256.0,268.0,262.0,262.0
103,7.0,7.0,7.0,7.0,11.0,7.0,7.0
105,483.0,625.0,775.0,859.0,961.0,1000.0,1000.0
106,12.0,12.0,12.0,12.0,12.0,12.0,12.0
107,431.0,431.0,431.0,431.0,415.0,414.0,414.0
108,187.0,188.0,187.0,188.0,188.0,182.0,182.0
109,257.0,256.0,255.0,38.0,39.0,141.0,141.0
110,255.0,255.0,255.0,254.0,254.0,254.0,254.0
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,120.0,121.0,121.0,121.0,121.0,176.0,176.0
113,395.0,395.0,395.0,393.0,394.0,646.0,646.0
114,231.0,232.0,249.0,411.0,495.0,421.0,421.0
115,313.0,371.0,364.0,364.0,364.0,362.0,362.0
116,191.0,179.0,189.0,333.0,334.0,342.0,342.0
