id,y_2013,y_2015,y_2017,y_2019,y_2021
2,9043000,12183500,27514000,27484000,35341000
3,186949500,134234500,244722500,276448000,382684000
4,31279500,23490500,40765000,59239500,82915500
5,226000,,524000,1679500,4457500
6,611000,369500,2910000,6712000,17367000
7,51324000,31474000,61451500,83049000,110931500
8,17419000,16360000,41116500,54675000,81384500
9,5403000,11709500,17585500,27114500,46649500
10,4623500,11199500,26222500,45930500,92008500
11,65548500,54577500,97650500,100307500,112567500
12,1042000,587000,2844000,3664000,6459000
13,13164500,17627000,20669500,24027500,35109500
14,6185500,7681500,15929000,18339000,24485000
15,18379500,23302000,33857500,39259000,51380000
16,5916000,6222500,19870000,14614500,34422500
17,573500,10984500,3786000,3830000,10691000
18,59291500,50077000,116689500,129651000,182009150
19,29799500,25029000,62236500,74859500,98939000
20,20828000,23798500,41931000,46007500,53877500
21,4173000,2942000,5237500,11252500,8761000
22,1238500,4875000,4163500,15399000,62948000
23,1820500,1287500,3828500,3931000,7743000
24,5824000,7847500,12780000,9003000,16622500
25,28372000,24249500,58038000,44567000,57359500
26,9171500,10720000,24733500,21814000,41369500
27,4825500,6080500,12315000,19500500,25668000
28,39467000,35373000,45935000,44691000,66671500
29,10506500,12371500,20093000,19910500,27590500
30,,,11657500,23835500,28082000
31,28828000,24144500,31426500,30560500,41799500
32,1380500,1218000,4965500,4964000,6032000
33,1652500,,,,1458500
34,3137000,1904000,14421500,53884000,34515500
35,30308500,18733000,48128500,41714000,83883500
36,18849000,14374000,26122500,26646500,36883000
37,2871500,4156000,9764500,35495000,47274500
38,13539500,16721500,21532000,25554000,38698000
39,4078500,6264000,10887000,14269500,24072000
40,895000,1548000,6925500,11636500,22981000
41,4683000,5315500,9601500,16333500,22115500
42,17533500,11869000,31011500,35555500,40399000
43,14426500,15904500,9105500,25894000,35952500
44,15987500,19168000,15474500,26723500,31180000
45,40108500,31896000,120862000,110888000,107185500
46,2761000,3112000,3765500,7737000,11705500
47,,,,,
48,972000,7797000,7218000,10075000,18376500
49,3994500,6265500,12159500,13988000,26411500
50,860500,1289000,2497500,3795000,8793000
51,9338500,11433000,30029000,39245000,57939000
52,898500,996500,1827000,2468000,3530000
53,1150500,1394500,2525000,2502500,5521500
54,552000,1234500,3085000,3028000,6213500
55,15489500,16112000,18809500,30650000,34399000
56,3295000,5459500,8644500,10033500,11895000
57,279000,645000,2371500,7905500,10250000
58,1339000,2047500,2901000,4293500,4855500
59,1763500,2389000,4380500,7513500,10692000
60,2116000,,2188500,1681000,2214000
61,1082500,1243000,2481500,4506500,7291500
62,,,,,
64,3247000,1113000,8768500,13653000,16399500
65,,,,,
66,1784000,1404000,3039500,5056000,8082000
67,,,,,
68,6101500,9196000,16050000,18188000,23705000
69,20271000,15965000,31615000,18588000,55887000
70,274000,296000,1533500,2505500,6523000
71,2819000,1461500,2678500,2195500,3691000
72,4844000,5153500,10616000,13653500,15132000
73,8232500,7386500,18979000,30241500,63162500
74,5899500,4869500,17187500,14251000,18125000
75,41261000,32228500,46460000,39902500,41528000
76,55830500,40664000,44634500,45262000,85529500
77,28839000,20253500,30491500,34369000,51085000
78,15958000,12528000,19135500,39154500,41278000
79,,,,,
80,1390000,1988000,6736000,10009000,14305000
81,4867500,6406500,13284500,15720500,15059000
82,5745500,9451000,24525500,26930500,20689500
83,2131000,3342500,5478000,3661500,13882000
84,744000,,9781500,5611500,11629000
85,603000,455000,1996000,3604000,6454500
86,486500,643500,1192500,6523000,8659000
87,2505000,3756500,12936000,11456500,20265000
88,322000,307000,912000,2686500,6089500
89,1831000,1979500,5410000,7594500,7603000
90,1650500,2141000,6561000,8065000,9938000
91,1611500,2735500,8168000,7703500,20323000
92,4698500,5317500,16625500,18666000,30098500
93,,,,,
94,,265500,1110000,2215500,3468500
95,1948500,3789500,6979000,6456500,9929000
96,9866500,6115500,24856500,40915000,37980000
97,11606500,11380500,30313000,33137500,35601000
98,4197500,6931000,37626500,25616500,56227500
99,6660000,7464000,15600500,12178500,20654000
100,458000,,2268500,2565500,13304000
101,,,,,1958500
102,563000,1472000,1775000,3197500,6304500
103,354500,,1717000,2461000,9086500
105,40990000,30413500,65772000,63969000,78328000
106,,2027000,2225500,2206000,3336000
107,1740500,1987000,5690500,6593500,6197500
108,3714000,4184500,11048000,10698500,24097500
109,28910000,26163000,38403000,39694000,59150500
110,7619000,5945000,11528500,13805000,36317000
111,24678000,20123500,57828000,73367000,64222500
112,5913500,3946000,20481000,10985000,21443500
113,12403500,10037500,20244500,35961000,84463500
114,,,350500,826000,1232500
115,142002500,77597500.01,92879500,89144000,103612500
116,29148000,15121500,38687000,72143500,209926000
117,10524500,8638000,23205000,27169500,51928500
118,13562500,16980500,25724000,20367500,20185500
119,1087000,1637000,3937000,14365500,66111000
120,468500,627000,2140000,2163500,5193500
121,580000,1927500,7196500,8353500,11568500
122,,,,,
123,522500,634000,2397500,3496500,11388500
124,560500,546000,1317500,3902500,11899000
125,5361000,4060500,10162000,15466000,36250500
126,14162000,12230000,26856500,17318500,50857000
127,458000,539000,2374000,3420000,4858500
128,665000,905000,1948500,5196500,11227000
