id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
2,10.0,11.0,18.0,17.0,28.0,22.0,21.0,14.0,18.0,21.0,24.0,17.0,17.0
3,67.0,65.0,94.0,89.0,109.0,109.0,83.0,98.0,75.0,77.0,112.0,94.0,82.0
4,27.0,14.0,21.0,20.0,20.0,40.0,20.0,20.0,71.0,24.0,26.0,26.0,26.0
5,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0
6,9.0,6.0,12.0,15.0,13.0,11.0,10.0,7.0,14.0,18.0,20.0,17.0,13.0
7,13.0,31.0,32.0,41.0,27.0,26.0,23.0,38.0,43.0,28.0,49.0,41.0,28.0
8,12.0,8.0,11.0,10.0,11.0,16.0,16.0,20.0,17.0,20.0,18.0,25.0,18.0
9,6.0,8.0,6.0,14.0,13.0,14.0,13.0,17.0,14.0,9.0,12.0,18.0,8.0
10,7.0,18.0,31.0,35.0,49.0,41.0,54.0,40.0,74.0,50.0,52.0,43.0,63.0
11,45.0,24.0,36.0,44.0,55.0,48.0,30.0,37.0,50.0,41.0,54.0,39.0,43.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
13,15.0,14.0,13.0,17.0,21.0,18.0,22.0,23.0,26.0,28.0,32.0,32.0,26.0
14,1.0,8.0,4.0,5.0,5.0,8.0,3.0,3.0,2.0,6.0,6.0,7.0,20.0
15,15.0,13.0,18.0,30.0,26.0,20.0,23.0,28.0,25.0,41.0,47.0,37.0,25.0
16,13.0,14.0,11.0,11.0,24.0,13.0,11.0,7.0,17.0,17.0,19.0,25.0,23.0
17,4.0,5.0,5.0,4.0,11.0,7.0,5.0,15.0,9.0,10.0,11.0,13.0,19.0
18,20.0,27.0,40.0,44.0,48.0,45.0,53.0,50.0,50.0,43.0,42.0,38.0,51.0
19,34.0,36.0,31.0,30.0,31.0,47.0,39.0,45.0,29.0,42.0,52.0,43.0,65.0
20,10.0,17.0,6.0,7.0,15.0,15.0,8.0,12.0,10.0,18.0,11.0,14.0,19.0
21,3.0,5.0,2.0,7.0,7.0,5.0,4.0,5.0,5.0,3.0,12.0,8.0,6.0
22,2.0,3.0,5.0,5.0,4.0,2.0,8.0,2.0,6.0,3.0,1.0,0.0,5.0
23,2.0,0.0,1.0,2.0,3.0,6.0,3.0,5.0,3.0,1.0,4.0,3.0,2.0
24,7.0,11.0,8.0,11.0,11.0,16.0,18.0,18.0,14.0,14.0,18.0,5.0,14.0
25,24.0,17.0,14.0,22.0,26.0,31.0,33.0,36.0,30.0,25.0,55.0,46.0,29.0
26,5.0,5.0,6.0,2.0,6.0,6.0,13.0,5.0,2.0,10.0,11.0,12.0,12.0
27,6.0,1.0,3.0,1.0,3.0,6.0,2.0,9.0,6.0,3.0,4.0,9.0,6.0
28,11.0,12.0,13.0,12.0,20.0,9.0,19.0,13.0,16.0,14.0,8.0,14.0,9.0
29,12.0,9.0,12.0,8.0,14.0,8.0,11.0,11.0,8.0,17.0,26.0,23.0,10.0
30,1.0,0.0,0.0,9.0,1.0,2.0,4.0,3.0,1.0,2.0,0.0,1.0,2.0
31,18.0,32.0,25.0,29.0,40.0,32.0,38.0,33.0,48.0,32.0,118.0,55.0,44.0
32,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
33,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
34,5.0,3.0,5.0,4.0,7.0,5.0,4.0,43.0,9.0,12.0,16.0,15.0,20.0
35,6.0,4.0,2.0,15.0,34.0,10.0,17.0,24.0,34.0,20.0,22.0,26.0,28.0
36,15.0,12.0,9.0,11.0,13.0,26.0,12.0,20.0,10.0,20.0,19.0,24.0,24.0
37,6.0,13.0,14.0,21.0,31.0,24.0,32.0,22.0,32.0,33.0,21.0,32.0,21.0
38,14.0,11.0,11.0,6.0,9.0,13.0,3.0,3.0,9.0,8.0,11.0,15.0,18.0
39,5.0,5.0,1.0,10.0,18.0,8.0,10.0,15.0,11.0,16.0,10.0,15.0,14.0
40,14.0,4.0,5.0,5.0,7.0,6.0,5.0,6.0,7.0,5.0,14.0,15.0,12.0
41,4.0,7.0,8.0,7.0,4.0,9.0,7.0,13.0,14.0,12.0,17.0,10.0,10.0
42,9.0,13.0,21.0,8.0,15.0,14.0,21.0,16.0,25.0,19.0,22.0,18.0,33.0
43,13.0,15.0,15.0,25.0,25.0,11.0,28.0,24.0,18.0,26.0,29.0,17.0,34.0
44,6.0,7.0,9.0,7.0,2.0,6.0,7.0,9.0,14.0,4.0,11.0,8.0,7.0
